exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback
CAN,1,2014,FALSE,TRUE,FALSE,TRUE,2,CANA141103,INF_A,8415,11,03,0.5356392743434499,0.08756696796129138,2923.608685179028,0.005830884227936639,1,91
CAN,1,2014,FALSE,TRUE,FALSE,TRUE,2,CANB141124,INF_B,5376,11,24,0.458123219201712,0.09840100938916853,509.49288967850987,0.0019572881398995665,1,91
CAN,2,2013,TRUE,TRUE,TRUE,TRUE,2,CANA131125,INF_A,6964,11,25,0.5436525080440767,0.09656234170360666,3599.6903387331863,0.002964410589669716,1,77
CAN,2,2013,TRUE,TRUE,TRUE,TRUE,2,CANB131209,INF_B,5888,12,09,0.5574020366603766,0.08683536704975132,965.1635028413094,0.0020271319950054554,1,112
CAN,3,2012,TRUE,FALSE,FALSE,TRUE,2,CANA121029,INF_A,1735,10,29,0.5576986242885711,0.08568522760315496,999.0733953712479,0.0032489702927806486,1,63
CAN,3,2012,TRUE,FALSE,FALSE,TRUE,2,CANB121203,INF_B,6770,12,03,0.5523505793238167,0.08771440694828604,778.8427206318792,0.0011737866690058173,1,105
CAN,4,2016,TRUE,TRUE,TRUE,FALSE,1,CANA161024,INF_A,6158,10,24,0.519947900069689,0.08782375436964958,944.8792998142493,0.006975033823522425,1,84
CAN,5,2011,TRUE,FALSE,TRUE,TRUE,3,CANA111212,INF_A,9267,12,12,0.4890310009247025,0.09330169112290414,1093.2637010250805,0.0012740364680138955,1,91
CAN,5,2011,TRUE,FALSE,TRUE,TRUE,3,CANB110117,INF_B,4171,01,17,0.48995064123531795,0.10087473250215588,4269.937336156921,6.052456221839032e-4,1,119
CAN,5,2011,TRUE,FALSE,TRUE,TRUE,3,CANB111226,INF_B,7311,12,26,0.5603957521163739,0.0903973255821457,542.9803373787458,0.0011680269389471648,1,63
CAN,6,2012,TRUE,TRUE,TRUE,TRUE,2,CANA121029,INF_A,2935,10,29,0.5538045581020832,0.0858720739354792,1142.3879894300467,0.003401323648626777,1,63
CAN,6,2012,TRUE,TRUE,TRUE,TRUE,2,CANB121203,INF_B,4750,12,03,0.5512629714751897,0.08800193496796078,782.3728106090439,0.0011495972596969242,1,98
CAN,7,2018,TRUE,FALSE,TRUE,TRUE,1,CANA181015,INF_A,2829,10,15,0.7856294554683168,0.06007976258652519,2025.3652088662298,0.017343504583027025,1,196
CAN,8,2010,TRUE,TRUE,FALSE,TRUE,1,CANA101108,INF_A,2185,11,08,0.6559248493906183,0.0755975239484594,2152.4933944941745,0.0036164344043046965,1,105
CAN,9,2011,TRUE,TRUE,TRUE,TRUE,3,CANA111212,INF_A,5537,12,12,0.4881756017884632,0.09319057319445732,1177.579414659714,0.0012973764449947293,1,98
CAN,9,2011,TRUE,TRUE,TRUE,TRUE,3,CANB110117,INF_B,1428,01,17,0.48930478307628844,0.10089107587650212,4183.413231084599,5.928327322973884e-4,1,119
CAN,9,2011,TRUE,TRUE,TRUE,TRUE,3,CANB111226,INF_B,2517,12,26,0.55613869557984,0.09088531138527073,609.5430613384983,0.0011574674789170453,1,63
CAN,10,2018,TRUE,FALSE,TRUE,FALSE,1,CANA181015,INF_A,5015,10,15,0.7865266813391228,0.06000956107156718,2020.3484782057749,0.017340727256438544,1,196
CAN,11,2015,FALSE,TRUE,TRUE,TRUE,2,CANA151214,INF_A,558,12,14,0.7370325956289339,0.07037765126401671,563.6260442332066,0.004396154572163608,1,56
CAN,11,2015,FALSE,TRUE,TRUE,TRUE,2,CANB151221,INF_B,8400,12,21,0.5592938260987539,0.0879509184830761,937.4952431674227,0.002553290950869222,1,91
CAN,12,2019,FALSE,FALSE,TRUE,TRUE,2,CANA191104,INF_A,9063,11,04,0.8003650291841844,0.06108211412975503,1520.176166902512,0.008461773214893817,1,112
CAN,12,2019,FALSE,FALSE,TRUE,TRUE,2,CANB191104,INF_B,9375,11,04,0.5068348595872685,0.09767895121314782,1376.0183615466037,0.0050772644643731326,1,98
CAN,13,2012,FALSE,TRUE,TRUE,FALSE,2,CANA121029,INF_A,3060,10,29,0.552564701007537,0.08594237419698493,1193.5049567938902,0.0034335403113783273,1,70
CAN,13,2012,FALSE,TRUE,TRUE,FALSE,2,CANB121203,INF_B,3106,12,03,0.5492096237178896,0.0883118323404134,781.1696927787943,0.0011793988533273366,1,98
CAN,14,2016,FALSE,TRUE,TRUE,TRUE,1,CANA161024,INF_A,7506,10,24,0.5202055867450716,0.0878544159498891,924.6522722345443,0.006915006762685039,1,84
