index,years,N_A_match,N_B_match,S_A_match,S_B_match
1,2014,FALSE,TRUE,FALSE,TRUE
1,2013,TRUE,TRUE,TRUE,TRUE
1,2012,TRUE,FALSE,FALSE,TRUE
1,2016,TRUE,TRUE,TRUE,FALSE
1,2011,TRUE,FALSE,TRUE,TRUE
1,2012,TRUE,TRUE,TRUE,TRUE
1,2018,TRUE,FALSE,TRUE,TRUE
1,2010,TRUE,TRUE,FALSE,TRUE
1,2011,TRUE,TRUE,TRUE,TRUE
1,2018,TRUE,FALSE,TRUE,FALSE
1,2015,FALSE,TRUE,TRUE,TRUE
1,2019,FALSE,FALSE,TRUE,TRUE
1,2012,FALSE,TRUE,TRUE,FALSE
1,2016,FALSE,TRUE,TRUE,TRUE
1,2013,TRUE,TRUE,FALSE,TRUE
1,2014,TRUE,TRUE,TRUE,TRUE
1,2013,FALSE,TRUE,FALSE,TRUE
1,2012,FALSE,TRUE,TRUE,TRUE
1,2017,TRUE,TRUE,TRUE,TRUE
1,2011,FALSE,FALSE,FALSE,TRUE
1,2012,TRUE,FALSE,FALSE,FALSE
1,2011,TRUE,TRUE,TRUE,TRUE
1,2017,TRUE,FALSE,TRUE,TRUE
1,2017,TRUE,FALSE,TRUE,TRUE
1,2019,FALSE,TRUE,TRUE,TRUE
1,2019,FALSE,FALSE,TRUE,TRUE
1,2016,FALSE,FALSE,TRUE,TRUE
1,2012,FALSE,TRUE,TRUE,TRUE
1,2014,TRUE,TRUE,TRUE,TRUE
1,2017,FALSE,TRUE,FALSE,TRUE
2,2017,FALSE,FALSE,TRUE,FALSE
2,2018,FALSE,TRUE,TRUE,TRUE
2,2013,TRUE,TRUE,TRUE,TRUE
2,2012,TRUE,TRUE,TRUE,TRUE
2,2015,FALSE,TRUE,TRUE,TRUE
2,2016,FALSE,FALSE,FALSE,TRUE
2,2014,TRUE,TRUE,TRUE,TRUE
2,2014,FALSE,FALSE,TRUE,TRUE
2,2011,TRUE,TRUE,TRUE,TRUE
2,2017,FALSE,TRUE,FALSE,FALSE
2,2018,FALSE,FALSE,TRUE,TRUE
2,2011,TRUE,FALSE,TRUE,TRUE
2,2016,FALSE,TRUE,TRUE,TRUE
2,2014,FALSE,TRUE,TRUE,TRUE
2,2015,FALSE,TRUE,TRUE,TRUE
2,2012,FALSE,TRUE,TRUE,TRUE
2,2018,FALSE,TRUE,TRUE,TRUE
2,2014,FALSE,FALSE,TRUE,FALSE
2,2018,FALSE,TRUE,TRUE,TRUE
2,2013,TRUE,TRUE,FALSE,FALSE
2,2012,FALSE,TRUE,TRUE,TRUE
2,2017,TRUE,TRUE,FALSE,FALSE
2,2017,TRUE,FALSE,FALSE,TRUE
2,2010,FALSE,TRUE,FALSE,FALSE
2,2010,TRUE,TRUE,FALSE,TRUE
2,2018,FALSE,TRUE,TRUE,TRUE
2,2014,FALSE,TRUE,FALSE,TRUE
2,2010,FALSE,TRUE,FALSE,FALSE
2,2012,TRUE,FALSE,TRUE,FALSE
2,2015,TRUE,TRUE,TRUE,TRUE
