country,continent,CBR,M1,M2,M3,M4
Burundi,Africa,46.691,0.018234999999999998,0.005730072727272727,0.005730072727272727,0.07918283316177054
Comoros,Africa,33.924,0.016613399999999997,0.004492981818181818,0.004492981818181818,0.08224360555966773
Djibouti,Africa,26.118,0.015356999999999996,0.005064981818181819,0.005064981818181819,0.07568876778686043
Eritrea,Africa,33.692,0.0110132,0.004480509090909092,0.004480509090909092,0.07261636772928617
Ethiopia,Africa,36.528,0.0164274,0.0050932,0.0050932,0.076057195010648
Kenya,Africa,35.422,0.0113232,0.006328545454545455,0.006328545454545455,0.07211885186787827
Madagascar,Africa,36.041,0.013899600000000002,0.004397727272727273,0.004397727272727273,0.07267441860465117
Malawi,Africa,40.825,0.016799799999999997,0.006997018181818182,0.006997018181818182,0.07668711656441718
Mauritius,Africa,12.028,0.0028958,0.0026180727272727277,0.0026180727272727277,0.06198859409868584
Mayotte,Africa,34.019,0.0011462,0.0019131818181818184,0.0019131818181818184,0.05722788142382969
Mozambique,Africa,42.013,0.0209412,0.006868054545454545,0.006868054545454545,0.0882768361581921
Réunion,Africa,17.352,0.001757,0.0015733272727272729,0.0015733272727272729,0.05090094675760969
Rwanda,Africa,34.836,0.012773399999999999,0.004867109090909091,0.004867109090909091,0.07678132678132679
Seychelles,Africa,17.183,0.0028166,0.0028585090909090905,0.0028585090909090905,0.06368615462998344
Somalia,Africa,47.696,0.033962599999999996,0.005812854545454545,0.005812854545454545,0.08180628272251309
South Sudan,Africa,40.18,0.0217736,0.006005363636363637,0.006005363636363637,0.08121497604158207
Uganda,Africa,43.068,0.0152482,0.0066217818181818185,0.0066217818181818185,0.08761170492377782
United Republic of Tanzania,Africa,39.729,0.0143678,0.005787309090909091,0.005787309090909091,0.07528419784687194
Zambia,Africa,41.794,0.015771199999999996,0.006833,0.006833,0.08124136810463889
Zimbabwe,Africa,37.056,0.0172162,0.009414072727272727,0.009414072727272727,0.08019246190858059
Angola,Africa,44.97,0.024013,0.005237636363636364,0.005237636363636364,0.07887057338906854
Cameroon,Africa,39.958,0.022018,0.005733545454545455,0.005733545454545455,0.07835762419683436
Central African Republic,Africa,43.237,0.029006999999999998,0.007629236363636365,0.007629236363636365,0.08490405841399219
Chad,Africa,48.764,0.029613600000000004,0.00670109090909091,0.00670109090909091,0.08666262241095415
Congo,Africa,38.858,0.0124584,0.005272272727272728,0.005272272727272728,0.07885191610156127
Democratic Republic of the Congo,Africa,44.526,0.0227682,0.005344036363636363,0.005344036363636363,0.07800920508620017
Equatorial Guinea,Africa,38.674,0.022214599999999998,0.005041854545454546,0.005041854545454546,0.08047642040882022
Gabon,Africa,33.177,0.0122436,0.004508690909090909,0.004508690909090909,0.07331915829606277
Sao Tome and Principe,Africa,36.873,0.006705200000000001,0.004638145454545455,0.004638145454545455,0.07869058860560277
Algeria,Africa,24.458,0.005488600000000001,0.0019157818181818184,0.0019157818181818184,0.06335128286347798
Egypt,Africa,27.16,0.0057366,0.0031332909090909093,0.0031332909090909093,0.07452120128176466
Libya,Africa,23.562,0.003387,0.0026913454545454546,0.0026913454545454546,0.06754931099702782
Morocco,Africa,21.402,0.0061926,0.0026349454545454543,0.0026349454545454543,0.07069136151562279
Sudan,Africa,37.497,0.0151538,0.004181763636363637,0.004181763636363637,0.07173601147776183
Tunisia,Africa,18.211,0.0036854,0.0018684,0.0018684,0.06025185274447189
Western Sahara,Africa,22.457,0.0094296,0.0033060363636363637,0.0033060363636363637,0.07447125409591897
Botswana,Africa,27.898,0.0104344,0.006653018181818183,0.006653018181818183,0.07634753397465262
Eswatini,Africa,30.083,0.0170394,0.011228672727272727,0.011228672727272727,0.08745080891998251
Lesotho,Africa,28.477,0.0193596,0.011280909090909091,0.011280909090909091,0.0908595311648192
Namibia,Africa,30.423,0.0095996,0.008721218181818181,0.008721218181818181,0.0756372437788367
