ISO3C Code,Name,ITZ,Source
AFG,Afghanistan,Asia-Europe,Chen et al.
AGO,Angola,Africa,Addition
ALB,Albania,Europe,Addition
ARE,United Arab Emirates,Asia-Europe,Addition
ARG,Argentina,Southern America,Chen et al.
ARM,Armenia,Asia-Europe,Chen et al.
AUS,Australia,Oceania-Melanesia-Polynesia,Chen et al.
AUT,Austria,Europe,Chen et al.
AZE,Azerbaijan,Asia-Europe,Chen et al.
BDI,Burundi,Africa,Addition
BEL,Belgium,Europe,Addition
BEN,Benin,Africa,Addition
BFA,Burkina Faso,Africa,Chen et al.
BGD,Bangladesh,Eastern and Southern Asia,Chen et al.
BGR,Bulgaria,Europe,Chen et al.
BHR,Bahrain,Asia-Europe,Chen et al.
BHS,Bahamas,Northern America,Addition
BIH,Bosnia & Herzegovina,Europe,Addition
BLR,Belarus,Europe,Chen et al.
BLZ,Belize,Northern America,Chen et al.
BOL,Bolivia,Southern America,Chen et al.
BRA,Brazil,Southern America,Chen et al.
BRB,Barbados,Southern America,Addition
BRN,Brunei,Eastern and Southern Asia,Addition
BTN,Bhutan,Eastern and Southern Asia,Chen et al.
BWA,Botswana,Africa,Addition
CAF,Central African Republic,Africa,Chen et al.
CAN,Canada,Northern America,Chen et al.
CHE,Switzerland,Europe,Addition
CHL,Chile,Southern America,Chen et al.
CHN,China,Eastern and Southern Asia,Chen et al.
CIV,Côte d’Ivoire,Africa,Chen et al.
CMR,Cameroon,Africa,Chen et al.
COD,Congo - Kinshasa,Africa,Chen et al.
COG,Congo - Brazzaville,Africa,Addition
COL,Colombia,Southern America,Chen et al.
COM,Comoros,Africa,Addition
CPV,Cape Verde,Africa,Addition
CRI,Costa Rica,Southern America,Chen et al.
CUB,Cuba,Northern America,Chen et al.
CYP,Cyprus,Asia-Europe,Addition
CZE,Czechia,Europe,Addition
DEU,Germany,Europe,Chen et al.
DJI,Djibouti,Asia-Europe,Addition
DNK,Denmark,Europe,Chen et al.
DOM,Dominican Republic,Southern America,Chen et al.
DZA,Algeria,Europe,Addition
ECU,Ecuador,Northern America,Chen et al.
EGY,Egypt,Asia-Europe,Chen et al.
ERI,Eritrea,Asia-Europe,Addition
ESP,Spain,Europe,Chen et al.
EST,Estonia,Europe,Chen et al.
ETH,Ethiopia,Africa,Chen et al.
FIN,Finland,Europe,Chen et al.
FJI,Fiji,Oceania-Melanesia-Polynesia,Chen et al.
FRA,France,Europe,Chen et al.
GAB,Gabon,Africa,Addition
GBR,United Kingdom,Europe,Chen et al.
GEO,Georgia,Asia-Europe,Chen et al.
GHA,Ghana,Africa,Chen et al.
GIN,Guinea,Africa,Addition
GMB,Gambia,Africa,Addition
GNB,Guinea-Bissau,Africa,Addition
GNQ,Equatorial Guinea,Africa,Addition
GRC,Greece,Europe,Chen et al.
GTM,Guatemala,Northern America,Chen et al.
GUF,French Guiana,Southern America,Chen et al.
GUY,Guyana,Southern America,Addition
