codes,country,country_altern,in_cluster,cluster,capital,latitude,longitude,new_cluster,validation
AFG,Afghanistan,Afghanistan,TRUE,Asia-Europe,Kabul,34.53,69.17,Asia-Europe,Asia-Europe
AGO,Angola,Angola,FALSE,0,Luanda,-8.82,13.24,Africa,Africa
ALB,Albania,Albania,FALSE,0,Tirana,41.33,19.82,Europe,Europe
ARE,United Arab Emirates,United Arab Emirates,FALSE,0,Abu Dhabi,24.48,54.37,Asia-Europe,Asia-Europe
ARG,Argentina,Argentina,TRUE,Southern America,Buenos Aires,-34.61,-58.37,Southern America,Southern America
ARM,Armenia,Armenia,TRUE,Asia-Europe,Yerevan,40.17,44.52,Asia-Europe,Asia-Europe
AUT,Austria,Austria,TRUE,Europe,Vienna,48.22,16.37,Europe,Europe
AZE,Azerbaijan,Azerbaijan,TRUE,Asia-Europe,Baku,40.39,49.86,Asia-Europe,Asia-Europe
BDI,Burundi,Burundi,FALSE,0,Bujumbura,-3.37,29.35,Africa,Africa
BEL,Belgium,Belgium,FALSE,0,Brussels,50.83,4.33,Europe,Europe
BEN,Benin,Benin,FALSE,0,Porto Novo,6.48,2.63,Africa,Africa
BFA,Burkina Faso,Burkina Faso,TRUE,Africa,Ouagadougou,12.37,-1.53,Africa,Africa
BGD,Bangladesh,Bangladesh,TRUE,Eastern and Southern Asia,Dhaka,23.7,90.39,Eastern and Southern Asia,Eastern and Southern Asia
BGR,Bulgaria,Bulgaria,TRUE,Europe,Sofia,42.69,23.31,Europe,Europe
BHR,Bahrain,Bahrain,TRUE,Asia-Europe,Manama,26.21,50.58,Asia-Europe,Asia-Europe
BHS,Bahamas,Bahamas,FALSE,0,Nassau,25.06,-77.33,Northern America,Northern America
BIH,Bosnia & Herzegovina,Bosnia and Herzegovina,FALSE,0,Sarajevo,43.85,18.38,Europe,Europe
BLR,Belarus,Belarus,TRUE,Europe,Minsk,53.91,27.55,Europe,Europe
BLZ,Belize,Belize,TRUE,Northern America,Belmopan,17.25,-88.79,Northern America,Northern America
BOL,Bolivia,Bolivia (Plurinational State of),TRUE,Southern America,Sucre,-19.06,-65.26,Southern America,Southern America
BRA,Brazil,Brazil,TRUE,Southern America,Brasilia,-15.78,-47.91,Southern America,Southern America
BRB,Barbados,Barbados,FALSE,0,Bridgetown,13.11,-59.61,Southern America,Southern America
BRN,Brunei,Brunei Darussalam,FALSE,0,Bandar Seri Begawan,4.93,114.95,Eastern and Southern Asia,Eastern and Southern Asia
BTN,Bhutan,Bhutan,TRUE,Eastern and Southern Asia,Thimphu,27.48,89.7,Eastern and Southern Asia,Eastern and Southern Asia
BWA,Botswana,Botswana,FALSE,0,Gaborone,-24.65,25.91,Africa,Africa
CAF,Central African Republic,Central African Republic,TRUE,Africa,Bangui,4.36,18.56,Africa,Africa
CAN,Canada,Canada,TRUE,Northern America,Ottawa,45.42,-75.71,Northern America,Northern America
CHE,Switzerland,Switzerland,FALSE,0,Bern,46.95,7.44,Europe,Europe
CHL,Chile,Chile,TRUE,Southern America,Santiago,-33.46,-70.64,Southern America,Southern America
CHN,China,China,TRUE,Eastern and Southern Asia,Beijing,39.93,116.4,Eastern and Southern Asia,Eastern and Southern Asia
CIV,Côte d’Ivoire,Côte d'Ivoire,TRUE,Africa,Yamoussoukro,6.82,-5.28,Africa,Africa
CMR,Cameroon,Cameroon,TRUE,Africa,Yaounde,3.87,11.52,Africa,Africa
COD,Congo - Kinshasa,Democratic Republic of the Congo,TRUE,Africa,Brazzaville,-4.25,15.26,Africa,Africa
COG,Congo - Brazzaville,Congo,FALSE,0,Brazzaville,-4.25,15.26,Africa,Africa
COL,Colombia,Colombia,TRUE,Southern America,Bogota,4.63,-74.09,Southern America,Southern America
COM,Comoros,Comoros,FALSE,0,Moroni,-11.74,43.23,Africa,Africa
CPV,Cape Verde,Cabo Verde,FALSE,0,Praia,14.93,-23.54,Africa,Africa
CRI,Costa Rica,Costa Rica,TRUE,Southern America,San Jose,10.97,-85.13,Southern America,Northern America
CUB,Cuba,Cuba,TRUE,Northern America,Havanna,23.13,-82.39,Northern America,Northern America
CYP,Cyprus,Cyprus,FALSE,0,Nicosia,35.16,33.38,Asia-Europe,Asia-Europe
CZE,Czechia,Czechia,FALSE,0,Prague,50.08,14.43,Europe,Europe
DEU,Germany,Germany,TRUE,Europe,Berlin,52.52,13.38,Europe,Europe
DJI,Djibouti,Djibouti,FALSE,0,Jibuti,11.56,43.15,Asia-Europe,Asia-Europe
DNK,Denmark,Denmark,TRUE,Europe,Copenhagen,55.68,12.57,Europe,Europe
DOM,Dominican Republic,Dominican Republic,TRUE,Southern America,Santo Domingo,18.48,-69.91,Southern America,Northern America
DZA,Algeria,Algeria,FALSE,0,Algiers,36.77,3.04,Europe,Europe
ECU,Ecuador,Ecuador,TRUE,Northern America,Quito,-0.19,-78.5,Northern America,Southern America
EGY,Egypt,Egypt,TRUE,Asia-Europe,Cairo,30.06,31.25,Asia-Europe,Asia-Europe
ERI,Eritrea,Eritrea,FALSE,0,Asmara,15.33,38.94,Asia-Europe,Asia-Europe
ESP,Spain,Spain,TRUE,Europe,Madrid,40.42,-3.71,Europe,Europe
EST,Estonia,Estonia,TRUE,Europe,Tallinn,59.44,24.74,Europe,Europe
ETH,Ethiopia,Ethiopia,TRUE,Africa,Addis Abeba,9.03,38.74,Africa,Africa
FIN,Finland,Finland,TRUE,Europe,Helsinki,60.17,24.94,Europe,Europe
FJI,Fiji,Fiji,TRUE,Oceania-Melanesia-Polynesia,Suva,18.14,178.42,Oceania-Melanesia-Polynesia,Oceania-Melanesia-Polynesia
FRA,France,France,TRUE,Europe,Paris,48.86,2.34,Europe,Europe
GAB,Gabon,Gabon,FALSE,0,Libreville,0.39,9.45,Africa,Africa
GBR,United Kingdom,United Kingdom,TRUE,Europe,London,51.52,-0.1,Europe,Europe
GEO,Georgia,Georgia,TRUE,Asia-Europe,Tbilisi,41.72,44.79,Asia-Europe,Asia-Europe
GHA,Ghana,Ghana,TRUE,Africa,Accra,5.56,-0.2,Africa,Africa
GIN,Guinea,Guinea,FALSE,0,Conakry,9.55,-13.67,Africa,Africa
GMB,Gambia,Gambia,FALSE,0,Banjul,13.46,-16.6,Africa,Africa
GNB,Guinea-Bissau,Guinea-Bissau,FALSE,0,Bissau,11.87,-15.6,Africa,Africa
GNQ,Equatorial Guinea,Equatorial Guinea,FALSE,0,Malabo,3.74,8.79,Africa,Africa
GRC,Greece,Greece,TRUE,Europe,Athens,37.98,23.73,Europe,Europe
GTM,Guatemala,Guatemala,TRUE,Northern America,Guatemala,14.63,-90.55,Northern America,Northern America
GUY,Guyana,Guyana,FALSE,0,Georgetown,6.79,-58.16,Southern America,Southern America
HKG,Hong Kong SAR China,"China, Hong Kong SAR",FALSE,0,Beijing,39.93,116.4,Eastern and Southern Asia,Eastern and Southern Asia
HND,Honduras,Honduras,TRUE,Northern America,Tegucigalpa,14.09,-87.22,Northern America,Northern America
HRV,Croatia,Croatia,FALSE,0,Zagreb,45.8,15.97,Europe,Europe
HUN,Hungary,Hungary,FALSE,0,Budapest,47.51,19.08,Europe,Europe
IDN,Indonesia,Indonesia,TRUE,Eastern and Southern Asia,Jakarta,-6.18,106.83,Eastern and Southern Asia,Eastern and Southern Asia
IND,India,India,TRUE,Eastern and Southern Asia,Ni Dilli,28.6,77.22,Eastern and Southern Asia,Eastern and Southern Asia
IRL,Ireland,Ireland,TRUE,Europe,Dublin,53.33,-6.25,Europe,Europe
IRN,Iran,Iran (Islamic Republic of),TRUE,Asia-Europe,Tehran,35.67,51.43,Asia-Europe,Asia-Europe
IRQ,Iraq,Iraq,TRUE,Asia-Europe,Baghdad,33.33,44.44,Asia-Europe,Asia-Europe
ISL,Iceland,Iceland,TRUE,Europe,Reykjavik,64.14,-21.92,Europe,Europe
ISR,Israel,Israel,FALSE,0,Jerusalem,31.78,35.22,Asia-Europe,Asia-Europe
ITA,Italy,Italy,FALSE,0,Rome,41.89,12.5,Europe,Europe
JAM,Jamaica,Jamaica,TRUE,Southern America,Kingston,17.99,-76.8,Southern America,Northern America
JOR,Jordan,Jordan,TRUE,Asia-Europe,'Amman,31.95,35.93,Asia-Europe,Asia-Europe
KAZ,Kazakhstan,Kazakhstan,TRUE,Asia-Europe,Astana,51.17,71.47,Asia-Europe,Asia-Europe
KEN,Kenya,Kenya,TRUE,Africa,Nairobi,-1.29,36.82,Africa,Africa
KGZ,Kyrgyzstan,Kyrgyzstan,TRUE,Asia-Europe,Biskek,42.87,74.57,Asia-Europe,Asia-Europe
