exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback
ARG,1,2012,TRUE,TRUE,FALSE,TRUE,2,ARGA120723,INF_A,7736,07,23,0.5780076346602665,0.08064675713615083,11621.867972920514,3.806092491260861e-4,1,0
ARG,1,2012,TRUE,TRUE,FALSE,TRUE,2,ARGB120723,INF_B,928,07,23,0.6619306371428307,0.08801977060455071,5085.853664647168,0.00024453243747685563,1,133
ARG,2,2010,TRUE,TRUE,TRUE,TRUE,2,ARGA100913,INF_A,6417,09,13,0.585131275967536,0.1069392330518614,12746.864896154413,1.5393722578104123e-4,1,84
ARG,2,2010,TRUE,TRUE,TRUE,TRUE,2,ARGB100531,INF_B,5618,05,31,0.7343081154892641,0.07690297919415508,7764.022045439869,0.00027157653425450374,1,189
ARG,3,2017,TRUE,TRUE,TRUE,TRUE,2,ARGA170327,INF_A,2316,03,27,0.5120468338692473,0.10005614960618629,409.7485872841181,6.195166031441125e-4,1,42
ARG,3,2017,TRUE,TRUE,TRUE,TRUE,2,ARGB170424,INF_B,9887,04,24,0.6637310701475438,0.08389287107428287,3561.8554771899935,3.7973853249422473e-4,1,210
ARG,4,2013,FALSE,FALSE,TRUE,TRUE,2,ARGA130520,INF_A,2708,05,20,0.7555268099836453,0.07839590330452491,9457.028842937696,0.0011765286508989394,1,126
ARG,4,2013,FALSE,FALSE,TRUE,TRUE,2,ARGB130805,INF_B,9199,08,05,0.5929136399956499,0.09862179243740417,22283.378236851513,7.361259944612528e-5,1,154
ARG,5,2015,FALSE,TRUE,FALSE,TRUE,2,ARGA150622,INF_A,2121,06,22,0.5631641840793363,0.0855394212445326,8732.655358327773,3.1311542549895187e-4,1,126
ARG,5,2015,FALSE,TRUE,FALSE,TRUE,2,ARGB150914,INF_B,287,09,14,0.6202788614925119,0.08631172404352895,7555.407128213537,1.055318134251768e-4,1,574
ARG,6,2017,TRUE,TRUE,TRUE,TRUE,2,ARGA170327,INF_A,7291,03,27,0.5116691685338318,0.09995009968086611,433.3769635536695,6.281539451107984e-4,1,49
ARG,6,2017,TRUE,TRUE,TRUE,TRUE,2,ARGB170424,INF_B,9257,04,24,0.6149746573734083,0.09077688103657247,3583.9475522935654,3.616713471101355e-4,1,203
ARG,7,2019,FALSE,TRUE,TRUE,FALSE,2,ARGA190318,INF_A,7162,03,18,0.6959137516344148,0.0832264521080255,499.3895505924316,0.001369565783811867,1,28
ARG,7,2019,FALSE,TRUE,TRUE,FALSE,2,ARGB190812,INF_B,1168,08,12,0.5560348245600738,0.09791105374538686,5487.274601536671,2.798470029628075e-4,1,336
ARG,8,2015,TRUE,FALSE,TRUE,TRUE,2,ARGA150622,INF_A,8467,06,22,0.5592140114460367,0.08589329077711669,8912.149260936509,3.1718526730191123e-4,1,133
ARG,8,2015,TRUE,FALSE,TRUE,TRUE,2,ARGB150914,INF_B,9060,09,14,0.6332683855331762,0.08705792980817656,12412.032227716318,5.252571549274544e-5,1,294
ARG,9,2018,TRUE,TRUE,FALSE,FALSE,2,ARGA180611,INF_A,7907,06,11,0.4708114801041129,0.10261715407594274,2788.048232351531,4.4691203327060935e-4,1,0
ARG,9,2018,TRUE,TRUE,FALSE,FALSE,2,ARGB180604,INF_B,1958,06,04,0.6204634787965961,0.09366893283241325,2047.931576013928,3.8023070908629425e-4,1,112
ARG,10,2010,FALSE,FALSE,FALSE,TRUE,2,ARGA100913,INF_A,5120,09,13,0.5769953718295265,0.10710861953952237,15067.92642113046,1.5333581737655101e-4,1,91
ARG,10,2010,FALSE,FALSE,FALSE,TRUE,2,ARGB100531,INF_B,3300,05,31,0.5481587871231338,0.1010577329482702,7127.102405151434,3.431476774414648e-4,1,245
ARG,11,2014,TRUE,FALSE,FALSE,TRUE,2,ARGA140616,INF_A,7366,06,16,0.6062459849418124,0.09191929332242649,16292.741780305838,5.480160045614164e-4,1,252
ARG,11,2014,TRUE,FALSE,FALSE,TRUE,2,ARGB140630,INF_B,6350,06,30,0.6095438257339192,0.0952827281324525,14288.170084546318,1.0610353519577943e-4,1,154
ARG,12,2014,TRUE,FALSE,TRUE,FALSE,2,ARGA140616,INF_A,6122,06,16,0.5625539831583055,0.10020982183251967,17128.20453952181,4.771526731601801e-4,1,210
ARG,12,2014,TRUE,FALSE,TRUE,FALSE,2,ARGB140630,INF_B,7093,06,30,0.7150415791750439,0.08129764042358228,15480.432635412133,1.0282795922920771e-4,1,154
ARG,13,2019,TRUE,TRUE,FALSE,TRUE,2,ARGA190318,INF_A,6523,03,18,0.6984693823106544,0.08302694771431225,472.7672142187589,0.001405927844063222,1,28
ARG,13,2019,TRUE,TRUE,FALSE,TRUE,2,ARGB190812,INF_B,5832,08,12,0.5706583709355814,0.09524653484594107,4962.21379844218,3.3079312237652196e-4,1,350
ARG,14,2011,TRUE,TRUE,TRUE,TRUE,1,ARGA110530,INF_A,3854,05,30,0.6720958498736362,0.08412255281148448,5388.9255973099835,6.033736632833677e-4,1,182
ARG,15,2014,TRUE,TRUE,TRUE,TRUE,2,ARGA140616,INF_A,3204,06,16,0.600515362522719,0.09324676604336105,17444.975420789917,5.06777191255372e-4,1,238
ARG,15,2014,TRUE,TRUE,TRUE,TRUE,2,ARGB140630,INF_B,4175,06,30,0.6720071576071599,0.08615944132930604,15248.213443192419,1.1694436766482445e-4,1,161
ARG,16,2013,TRUE,FALSE,FALSE,TRUE,2,ARGA130520,INF_A,3874,05,20,0.7626076376937284,0.07752132843813174,9222.447031736185,0.001216062632566625,1,126
ARG,16,2013,TRUE,FALSE,FALSE,TRUE,2,ARGB130805,INF_B,7585,08,05,0.640780563025135,0.09315911892476267,18386.466476161604,6.793560072319002e-5,1,119
ARG,17,2018,FALSE,TRUE,TRUE,TRUE,2,ARGA180611,INF_A,1207,06,11,0.46908939676395867,0.10226025259135606,3229.2778665764326,4.8490577063981324e-4,1,0
ARG,17,2018,FALSE,TRUE,TRUE,TRUE,2,ARGB180604,INF_B,7025,06,04,0.6006214984330168,0.09675174197594488,1843.1649375841178,3.9472689379276184e-4,1,105
ARG,18,2018,TRUE,TRUE,FALSE,TRUE,2,ARGA180611,INF_A,3384,06,11,0.46914368824445773,0.10173006764274779,3431.0879748704156,5.182991935402809e-4,1,0
ARG,18,2018,TRUE,TRUE,FALSE,TRUE,2,ARGB180604,INF_B,4329,06,04,0.6215471033633211,0.09400606762166315,1805.6807268327864,3.603994946808781e-4,1,105
ARG,19,2012,TRUE,FALSE,FALSE,TRUE,2,ARGA120723,INF_A,4885,07,23,0.6439207155882211,0.07246682309781534,11579.582230685548,3.9060252559140545e-4,1,0
ARG,19,2012,TRUE,FALSE,FALSE,TRUE,2,ARGB120723,INF_B,2673,07,23,0.7261655270817888,0.08068872704565572,4462.199672814307,2.395645502680526e-4,1,119
ARG,20,2016,TRUE,TRUE,FALSE,TRUE,3,ARGA160125,INF_A,6716,01,25,0.5094167751910045,0.099748174184815,9.895051135698106,7.285550771358594e-4,1,0
ARG,20,2016,TRUE,TRUE,FALSE,TRUE,3,ARGB160307,INF_B,3095,03,07,0.6012557912255941,0.07944330108438295,7050.64815160148,2.772462685581447e-5,1,133
ARG,20,2016,TRUE,TRUE,FALSE,TRUE,3,ARGB160801,INF_B,4963,08,01,0.6062881538044949,0.07456615409085304,13302.554971305677,1.0906806418659223e-4,1,294
ARG,21,2017,FALSE,TRUE,TRUE,TRUE,2,ARGA170327,INF_A,2657,03,27,0.5112843887314101,0.10004007666954648,432.1467283436051,6.152140975171879e-4,1,49
ARG,21,2017,FALSE,TRUE,TRUE,TRUE,2,ARGB170424,INF_B,6125,04,24,0.5733139390336399,0.09715161807018925,3804.8574013667317,3.710039832226528e-4,1,210
ARG,22,2013,TRUE,FALSE,FALSE,TRUE,2,ARGA130520,INF_A,578,05,20,0.7550079702984553,0.07844731052721586,9626.765807461219,0.0011820709918385485,1,126
ARG,22,2013,TRUE,FALSE,FALSE,TRUE,2,ARGB130805,INF_B,9651,08,05,0.6864670141534147,0.08637537259387182,17644.4073039562,6.868849852828444e-5,1,126
ARG,23,2010,TRUE,FALSE,FALSE,FALSE,2,ARGA100913,INF_A,8856,09,13,0.582468000225688,0.10815688967896418,12294.483996831888,1.4224554577347602e-4,1,84
ARG,23,2010,TRUE,FALSE,FALSE,FALSE,2,ARGB100531,INF_B,9428,05,31,0.6440989565830726,0.08751777046973704,7825.340947203661,2.6971367855092507e-4,1,196
ARG,24,2017,FALSE,TRUE,TRUE,TRUE,2,ARGA170327,INF_A,1623,03,27,0.5106874510938422,0.09988784102686768,477.5581701337931,6.257394186863448e-4,1,49
ARG,24,2017,FALSE,TRUE,TRUE,TRUE,2,ARGB170424,INF_B,3828,04,24,0.6076347916578831,0.09155403933452318,3927.352189364197,3.8763149092748875e-4,1,217
ARG,25,2011,TRUE,TRUE,TRUE,TRUE,1,ARGA110530,INF_A,8547,05,30,0.6839226041936354,0.0833499675124355,5059.314871632039,5.676451677055614e-4,1,161
ARG,26,2012,FALSE,TRUE,TRUE,TRUE,2,ARGA120723,INF_A,9455,07,23,0.6590002174628595,0.07132556710240424,10249.24467989693,3.6419172836590647e-4,1,0
ARG,26,2012,FALSE,TRUE,TRUE,TRUE,2,ARGB120723,INF_B,7054,07,23,0.66173349031952,0.0883113636332634,4687.934185236492,2.2806165210168648e-4,1,119
ARG,27,2016,FALSE,TRUE,FALSE,TRUE,3,ARGA160125,INF_A,6475,01,25,0.5083702578349432,0.09958485487799944,11.899107194813801,7.605853820554427e-4,1,0
ARG,27,2016,FALSE,TRUE,FALSE,TRUE,3,ARGB160307,INF_B,611,03,07,0.625510281317315,0.07527731398211673,1962.6791431858362,9.791842449263967e-5,1,126
ARG,27,2016,FALSE,TRUE,FALSE,TRUE,3,ARGB160801,INF_B,2975,08,01,0.5847958659053638,0.07862966882059623,10080.303383203367,9.929224177773295e-5,1,217
ARG,28,2010,FALSE,TRUE,TRUE,TRUE,2,ARGA100913,INF_A,3586,09,13,0.58550899658665,0.10708938163792786,13519.94625698895,1.4241741675100644e-4,1,84
ARG,28,2010,FALSE,TRUE,TRUE,TRUE,2,ARGB100531,INF_B,5786,05,31,0.6739243530044516,0.08318789923020142,7712.703695781754,3.0277349085361773e-4,1,210
ARG,29,2014,TRUE,TRUE,TRUE,TRUE,2,ARGA140616,INF_A,2846,06,16,0.6198833447746256,0.08999966440294953,16543.89547566062,5.29256597592129e-4,1,252
ARG,29,2014,TRUE,TRUE,TRUE,TRUE,2,ARGB140630,INF_B,1945,06,30,0.6721336941019173,0.0872281809298829,15427.533060797008,9.031847507375067e-5,1,140
ARG,30,2018,TRUE,TRUE,TRUE,TRUE,2,ARGA180611,INF_A,1582,06,11,0.4697004975781636,0.10202385971455566,3507.6431569151728,4.7745965541106555e-4,1,0
ARG,30,2018,TRUE,TRUE,TRUE,TRUE,2,ARGB180604,INF_B,7052,06,04,0.6010314997839953,0.09675310604949665,1810.6066149338167,3.8844070904955273e-4,1,105
CAN,1,2012,TRUE,TRUE,FALSE,TRUE,2,CANA121029,INF_A,2926,10,29,0.5533976863359289,0.08592043751802812,1151.9237013176667,0.0033711761305029444,1,63
CAN,1,2012,TRUE,TRUE,FALSE,TRUE,2,CANB121203,INF_B,7151,12,03,0.5528961925427951,0.08750636717547348,823.6887217931313,0.0011897541576774394,1,105
CAN,2,2010,TRUE,TRUE,TRUE,TRUE,1,CANA101108,INF_A,7675,11,08,0.6586918534895017,0.07532269263660035,2115.399978346068,0.0035758416168040963,1,105
CAN,3,2017,TRUE,TRUE,TRUE,TRUE,3,CANA170918,INF_A,1396,09,18,0.4769195123201915,0.09403770332971899,353.47549860136644,0.008609387498890763,1,84
CAN,3,2017,TRUE,TRUE,TRUE,TRUE,3,CANB170130,INF_B,8396,01,30,0.485491079141406,0.10045588945253885,3591.414525544161,0.0010265846312448687,1,133
CAN,3,2017,TRUE,TRUE,TRUE,TRUE,3,CANB171016,INF_B,6572,10,16,0.537041381444386,0.08512259657328801,351.4841296713986,0.005635379471149965,1,70
CAN,4,2013,FALSE,FALSE,TRUE,TRUE,2,CANA131125,INF_A,714,11,25,0.5439268766052412,0.09657456521365841,3580.0805606915415,0.002927328184756468,1,77
CAN,4,2013,FALSE,FALSE,TRUE,TRUE,2,CANB131209,INF_B,2530,12,09,0.5586732114912417,0.0868612407881112,878.3999027354923,0.0019809808474502487,1,105
CAN,5,2015,FALSE,TRUE,FALSE,TRUE,2,CANA151214,INF_A,2265,12,14,0.7383273709488861,0.07036347796878302,530.4076370002597,0.004336930439543341,1,56
CAN,5,2015,FALSE,TRUE,FALSE,TRUE,2,CANB151221,INF_B,8865,12,21,0.5605652910823852,0.08789089066497362,887.9511896832687,0.0025284853738536807,1,91
CAN,6,2017,TRUE,TRUE,TRUE,TRUE,3,CANA170918,INF_A,1314,09,18,0.4770640832147893,0.09404136647747711,354.8252590338471,0.008598060909221472,1,84
CAN,6,2017,TRUE,TRUE,TRUE,TRUE,3,CANB170130,INF_B,6194,01,30,0.48588993581881756,0.10024663916199619,3867.9705018526192,0.0010310166912725553,1,133
CAN,6,2017,TRUE,TRUE,TRUE,TRUE,3,CANB171016,INF_B,4659,10,16,0.537060336725898,0.08510581107545499,357.2576707059138,0.005670165525719545,1,70
CAN,7,2019,FALSE,TRUE,TRUE,FALSE,2,CANA191104,INF_A,3010,11,04,0.8022325700478148,0.06083273718129534,1541.606397130604,0.008689565167124765,1,119
CAN,7,2019,FALSE,TRUE,TRUE,FALSE,2,CANB191104,INF_B,4966,11,04,0.5071583007380109,0.09780158120712773,1315.75641066736,0.004957073519686235,1,91
CAN,8,2015,TRUE,FALSE,TRUE,TRUE,2,CANA151214,INF_A,3622,12,14,0.7392675927228526,0.07028382318917276,533.1036164518137,0.004348646899127819,1,56
CAN,8,2015,TRUE,FALSE,TRUE,TRUE,2,CANB151221,INF_B,2106,12,21,0.5591974014481721,0.08826658714772781,862.0707862585857,0.0024499213857959615,1,84
CAN,9,2018,TRUE,TRUE,FALSE,FALSE,1,CANA181015,INF_A,2175,10,15,0.7834999120383419,0.0602613296874057,2032.5464953388935,0.017143682769788005,1,196
CAN,10,2010,FALSE,FALSE,FALSE,TRUE,1,CANA101108,INF_A,3804,11,08,0.6567360162150452,0.07546665749528912,2202.034531835244,0.003628444931368189,1,105
CAN,11,2014,TRUE,FALSE,FALSE,TRUE,2,CANA141103,INF_A,9730,11,03,0.5359575628005224,0.08758790644287517,2866.2496841378397,0.0057820724691755076,1,91
CAN,11,2014,TRUE,FALSE,FALSE,TRUE,2,CANB141124,INF_B,2833,11,24,0.45774744076700763,0.09848625423941972,497.170402987671,0.0019176123186197913,1,84
CAN,12,2014,TRUE,FALSE,TRUE,FALSE,2,CANA141103,INF_A,4753,11,03,0.5360271785091959,0.08764075057514001,2833.617594028133,0.005731386292280624,1,91
CAN,12,2014,TRUE,FALSE,TRUE,FALSE,2,CANB141124,INF_B,6285,11,24,0.45795365105070013,0.09838691054486104,527.037854519266,0.0019424339983414507,1,91
CAN,13,2019,TRUE,TRUE,FALSE,TRUE,2,CANA191104,INF_A,865,11,04,0.8004087179022034,0.060985458781105596,1510.973493418572,0.008615954798449661,1,112
CAN,13,2019,TRUE,TRUE,FALSE,TRUE,2,CANB191104,INF_B,2725,11,04,0.5051077349178938,0.09781878251769228,1419.314753511576,0.0051658235982582216,1,98
CAN,14,2011,TRUE,TRUE,TRUE,TRUE,3,CANA111212,INF_A,1367,12,12,0.4902846637436595,0.09317222749849556,1042.3230384369579,0.0012470841886599218,1,91
CAN,14,2011,TRUE,TRUE,TRUE,TRUE,3,CANB110117,INF_B,33,01,17,0.48851389290869246,0.10100201009562407,3963.799377321807,6.220044837466084e-4,1,119
CAN,14,2011,TRUE,TRUE,TRUE,TRUE,3,CANB111226,INF_B,2974,12,26,0.5557650304825215,0.09079607285734786,623.3764815949745,0.001191372927578733,1,70
CAN,15,2014,TRUE,TRUE,TRUE,TRUE,2,CANA141103,INF_A,9776,11,03,0.535396466062206,0.0875484644819734,3007.042514891932,0.005873618760388339,1,91
CAN,15,2014,TRUE,TRUE,TRUE,TRUE,2,CANB141124,INF_B,9377,11,24,0.458031663122281,0.09842492941231779,512.6372251840256,0.0019568361656462203,1,91
CAN,16,2013,TRUE,FALSE,FALSE,TRUE,2,CANA131125,INF_A,1032,11,25,0.5436309138834665,0.09657848336482842,3647.328268687071,0.0029479740591545262,1,77
CAN,16,2013,TRUE,FALSE,FALSE,TRUE,2,CANB131209,INF_B,3728,12,09,0.5585812450521357,0.08685368997522314,926.4766517352235,0.001987210770181669,1,105
