country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Australia,AUS,1,2025,852019.4212822359,0,0,0,0,0,0,0
Australia,AUS,1,2026,748960.8903472248,0,0,0,71170.07842806171,0,0,0
Australia,AUS,1,2027,740715.6596466901,0,0,0,70232.4447312747,0,0,0
Australia,AUS,1,2028,734295.9370879221,0,0,0,69446.79071711744,0,0,0
Australia,AUS,1,2029,729255.1347553014,0,0,0,68828.97292885455,0,0,0
Australia,AUS,1,2030,725298.4668835003,0,0,0,68343.71321692299,0,0,0
Australia,AUS,1,2031,725488.7911838113,0,0,0,65470.31626480732,0,0,0
Australia,AUS,1,2032,719761.095429474,0,0,0,67663.27503330169,0,0,0
Australia,AUS,1,2033,717814.8655424506,0,0,0,67429.15427087678,0,0,0
Australia,AUS,1,2034,716262.4623648914,0,0,0,67242.202315261,0,0,0
Australia,AUS,1,2035,715004.4793482492,0,0,0,67092.92854793073,0,0,0
Australia,AUS,1,2036,717219.9478638979,0,0,0,64516.225557691985,0,0,0
Australia,AUS,1,2037,713111.8681785886,0,0,0,66873.27007380927,0,0,0
Australia,AUS,1,2038,712341.3450328493,0,0,0,66791.35237681537,0,0,0
Australia,AUS,1,2039,711646.0908164266,0,0,0,66718.12711980412,0,0,0
Australia,AUS,1,2040,710994.5092402,0,0,0,66652.08583433685,0,0,0
Australia,AUS,1,2041,710369.9911495318,0,0,0,66590.97364256138,0,0,0
Australia,AUS,1,2042,712977.983467724,0,0,0,64091.93113637105,0,0,0
Australia,AUS,1,2043,709139.3631609859,0,0,0,66473.8719097152,0,0,0
Australia,AUS,1,2044,708484.5461948134,0,0,0,66416.61018844627,0,0,0
Australia,AUS,1,2045,707806.6544065507,0,0,0,66355.6347269942,0,0,0
Australia,AUS,1,2046,707098.1357243409,0,0,0,66292.41922132051,0,0,0
Australia,AUS,1,2047,706354.2756829413,0,0,0,66226.2960088942,0,0,0
Australia,AUS,1,2048,708781.8883272205,0,0,0,63730.32353595689,0,0,0
Australia,AUS,1,2049,704770.8567999314,0,0,0,66083.87270810988,0,0,0
Australia,AUS,1,2050,703901.711240955,0,0,0,66008.77293189036,0,0,0
Australia,AUS,1,2051,703000.471452796,0,0,0,65928.31508174898,0,0,0
Australia,AUS,1,2052,702059.3282012056,0,0,0,65844.16688542654,0,0,0
Australia,AUS,1,2053,704273.1767942081,0,0,0,63344.7769441723,0,0,0
Australia,AUS,1,2054,700082.439698773,0,0,0,65664.86596981823,0,0,0
Fiji,FJI,1,2025,48112.23182519871,0,0,0,0,0,0,0
Fiji,FJI,1,2026,42054.047250024865,0,0,0,4004.7298852447293,0,0,0
Fiji,FJI,1,2027,41432.77091163338,0,0,0,3930.618640847608,0,0,0
Fiji,FJI,1,2028,40987.280004481065,0,0,0,3871.7387388155835,0,0,0
Fiji,FJI,1,2029,40666.90297724591,0,0,0,3828.2985652854472,0,0,0
Fiji,FJI,1,2030,40447.751194585006,0,0,0,3797.2003986130935,0,0,0
Fiji,FJI,1,2031,40491.27594567334,0,0,0,3637.4309843001824,0,0,0
Fiji,FJI,1,2032,40230.93436159427,0,0,0,3762.225688276738,0,0,0
Fiji,FJI,1,2033,40194.01959384183,0,0,0,3754.16661026106,0,0,0
Fiji,FJI,1,2034,40195.914705508054,0,0,0,3750.623050272509,0,0,0
Fiji,FJI,1,2035,40221.5495314693,0,0,0,3750.2915603291467,0,0,0
Fiji,FJI,1,2036,40445.9118538859,0,0,0,3614.581076409712,0,0,0
Fiji,FJI,1,2037,40325.566293814925,0,0,0,3756.3030040209464,0,0,0
Fiji,FJI,1,2038,40393.75811828438,0,0,0,3761.885179559306,0,0,0
Fiji,FJI,1,2039,40464.240378828705,0,0,0,3767.851640922969,0,0,0
Fiji,FJI,1,2040,40541.93116522536,0,0,0,3774.716408154993,0,0,0
Fiji,FJI,1,2041,40621.81896862243,0,0,0,3782.0359925415437,0,0,0
Fiji,FJI,1,2042,40885.49801655674,0,0,0,3650.4501369574646,0,0,0
Fiji,FJI,1,2043,40778.871546429495,0,0,0,3796.6174403483906,0,0,0
Fiji,FJI,1,2044,40850.721256143195,0,0,0,3803.664972044324,0,0,0
Fiji,FJI,1,2045,40920.18285593755,0,0,0,3810.401944434118,0,0,0
