country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Albania,ALB,1,2025,75427.09523770657,0,0,0,0,0,0,0
Albania,ALB,1,2026,65689.76081920642,0,0,0,6293.734707578466,0,0,0
Albania,ALB,1,2027,64485.01958148145,0,0,0,6159.231355390217,0,0,0
Albania,ALB,1,2028,63486.33805548243,0,0,0,6044.577187709454,0,0,0
Albania,ALB,1,2029,62646.87572607676,0,0,0,5949.201660111751,0,0,0
Albania,ALB,1,2030,62217.7705224871,0,0,0,5653.893538675518,0,0,0
Albania,ALB,1,2031,61322.62218229784,0,0,0,5801.357098783183,0,0,0
Albania,ALB,1,2032,60784.161232616796,0,0,0,5742.912221952533,0,0,0
Albania,ALB,1,2033,60311.145239883095,0,0,0,5692.121660158197,0,0,0
Albania,ALB,1,2034,59881.17367083909,0,0,0,5646.875747975161,0,0,0
Albania,ALB,1,2035,59489.819704519454,0,0,0,5606.290062325308,0,0,0
Albania,ALB,1,2036,59397.6535449327,0,0,0,5365.098538805355,0,0,0
Albania,ALB,1,2037,58788.90426397823,0,0,0,5535.2254689673855,0,0,0
Albania,ALB,1,2038,58466.92770956222,0,0,0,5503.552126356269,0,0,0
Albania,ALB,1,2039,58154.523004743765,0,0,0,5473.106170897647,0,0,0
Albania,ALB,1,2040,57849.25070288004,0,0,0,5443.615831411525,0,0,0
Albania,ALB,1,2041,57814.07945460221,0,0,0,5216.44899728043,0,0,0
Albania,ALB,1,2042,57257.935087424725,0,0,0,5387.025606158309,0,0,0
Albania,ALB,1,2043,56969.19375959522,0,0,0,5359.849029487049,0,0,0
Albania,ALB,1,2044,56680.390155476314,0,0,0,5332.719439143976,0,0,0
Albania,ALB,1,2045,56391.49540258296,0,0,0,5305.658618801791,0,0,0
Albania,ALB,1,2046,56102.56263332529,0,0,0,5278.626480895007,0,0,0
Albania,ALB,1,2047,56068.54458079349,0,0,0,5059.045817366755,0,0,0
Albania,ALB,1,2048,55524.667689358364,0,0,0,5224.584390147682,0,0,0
Albania,ALB,1,2049,55232.96367641556,0,0,0,5197.530803672747,0,0,0
Albania,ALB,1,2050,54938.902531847285,0,0,0,5170.143331321609,0,0,0
Albania,ALB,1,2051,54642.382214132354,0,0,0,5142.498961214406,0,0,0
Albania,ALB,1,2052,54594.224374841324,0,0,0,4927.257924942773,0,0,0
Albania,ALB,1,2053,54051.98154559915,0,0,0,5087.330713247151,0,0,0
Albania,ALB,1,2054,53755.21339910163,0,0,0,5059.873319036134,0,0,0
Austria,AUT,1,2025,230967.7414324745,0,0,0,0,0,0,0
Austria,AUT,1,2026,203198.67645502713,0,0,0,19294.635014165695,0,0,0
Austria,AUT,1,2027,200936.0402846681,0,0,0,19054.224761616086,0,0,0
Austria,AUT,1,2028,199019.0595562073,0,0,0,18840.296579476468,0,0,0
Austria,AUT,1,2029,197354.9617589231,0,0,0,18657.359748948395,0,0,0
Austria,AUT,1,2030,196793.96250175842,0,0,0,17821.05747074568,0,0,0
Austria,AUT,1,2031,194598.32561086994,0,0,0,18360.86248115626,0,0,0
Austria,AUT,1,2032,193412.45297176056,0,0,0,18237.45529339096,0,0,0
Austria,AUT,1,2033,192320.9811348598,0,0,0,18125.20351607646,0,0,0
Austria,AUT,1,2034,191301.42415753697,0,0,0,18022.06185987886,0,0,0
Austria,AUT,1,2035,190339.4486063916,0,0,0,17926.171007576973,0,0,0
Austria,AUT,1,2036,190281.47768449484,0,0,0,17181.300148318278,0,0,0
Austria,AUT,1,2037,188525.6833681765,0,0,0,17748.421484459635,0,0,0
Austria,AUT,1,2038,187651.1044909696,0,0,0,17664.74621527659,0,0,0
Austria,AUT,1,2039,186793.75013167574,0,0,0,17582.861442765152,0,0,0
Austria,AUT,1,2040,185945.66508827847,0,0,0,17502.4323183339,0,0,0
Austria,AUT,1,2041,185945.4539476366,0,0,0,16783.69244640348,0,0,0
Austria,AUT,1,2042,184263.63487252512,0,0,0,17343.579569780584,0,0,0
Austria,AUT,1,2043,183418.83228403318,0,0,0,17264.898457403055,0,0,0
Austria,AUT,1,2044,182574.4555344008,0,0,0,17185.896064545723,0,0,0
Austria,AUT,1,2045,181727.40398099434,0,0,0,17106.799458860183,0,0,0
