country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Angola,AGO,1,2025,3544364.5066947117,0,0,0,0,0,0,0
Angola,AGO,1,2026,3199217.3423216883,0,0,0,292534.7570544921,0,0,0
Angola,AGO,1,2027,3232639.881535631,0,0,0,295168.05126003217,0,0,0
Angola,AGO,1,2028,3276939.392230862,0,0,0,298229.00206111604,0,0,0
Angola,AGO,1,2029,3329414.50278084,0,0,0,302227.5537729661,0,0,0
Angola,AGO,1,2030,3403536.2082716147,0,0,0,295726.667063101,0,0,0
Angola,AGO,1,2031,3453795.5621397635,0,0,0,312404.1702063301,0,0,0
Angola,AGO,1,2032,3523308.060929186,0,0,0,318364.5496878331,0,0,0
Angola,AGO,1,2033,3596897.1950138127,0,0,0,324742.9937205564,0,0,0
Angola,AGO,1,2034,3673967.5992297195,0,0,0,331500.7929932002,0,0,0
Angola,AGO,1,2035,3754092.8544560294,0,0,0,338585.77563185117,0,0,0
Angola,AGO,1,2036,3853711.8854994397,0,0,0,333253.9232939276,0,0,0
Angola,AGO,1,2037,3922565.854353442,0,0,0,353581.8878292263,0,0,0
Angola,AGO,1,2038,4010041.144365695,0,0,0,361462.7661393309,0,0,0
Angola,AGO,1,2039,4099691.204532216,0,0,0,369523.57896443474,0,0,0
Angola,AGO,1,2040,4191373.938896103,0,0,0,377782.88452766556,0,0,0
Angola,AGO,1,2041,4303747.9292646125,0,0,0,372049.0541059092,0,0,0
Angola,AGO,1,2042,4380949.566525876,0,0,0,394860.8551426387,0,0,0
Angola,AGO,1,2043,4478303.623555748,0,0,0,403697.54033207754,0,0,0
Angola,AGO,1,2044,4577609.826706155,0,0,0,412675.0817343752,0,0,0
Angola,AGO,1,2045,4678824.928770865,0,0,0,421828.3017539258,0,0,0
Angola,AGO,1,2046,4781965.165446737,0,0,0,431157.6223939155,0,0,0
Angola,AGO,1,2047,4908431.4029184,0,0,0,424484.6076938189,0,0,0
Angola,AGO,1,2048,4994564.796528284,0,0,0,450352.46103247144,0,0,0
Angola,AGO,1,2049,5103563.791947488,0,0,0,460257.11447598255,0,0,0
Angola,AGO,1,2050,5214702.323886005,0,0,0,470309.08076808404,0,0,0
Angola,AGO,1,2051,5327974.063858739,0,0,0,480553.36245760473,0,0,0
Angola,AGO,1,2052,5467245.3087491905,0,0,0,472966.54000326374,0,0,0
Angola,AGO,1,2053,5561600.544054726,0,0,0,501637.5980393492,0,0,0
Angola,AGO,1,2054,5681462.951455868,0,0,0,512523.9021452769,0,0,0
Burundi,BDI,1,2025,1147486.6378563682,0,0,0,0,0,0,0
Burundi,BDI,1,2026,1020818.2437650273,0,0,0,94957.77661675641,0,0,0
Burundi,BDI,1,2027,1020304.5066039849,0,0,0,94612.22423873066,0,0,0
Burundi,BDI,1,2028,1024120.0880354431,0,0,0,94542.44343405869,0,0,0
Burundi,BDI,1,2029,1031199.4634222613,0,0,0,94857.56818326421,0,0,0
Burundi,BDI,1,2030,1045543.6010679135,0,0,0,91978.86943864732,0,0,0
Burundi,BDI,1,2031,1052816.6806103166,0,0,0,96358.04877903234,0,0,0
Burundi,BDI,1,2032,1066334.7913953187,0,0,0,97440.42900869784,0,0,0
Burundi,BDI,1,2033,1081251.6682038016,0,0,0,98677.83937741989,0,0,0
Burundi,BDI,1,2034,1097293.4603159616,0,0,0,100046.66274014126,0,0,0
Burundi,BDI,1,2035,1114254.8160792193,0,0,0,101522.28315830804,0,0,0
Burundi,BDI,1,2036,1136974.8733349643,0,0,0,99301.19559916206,0,0,0
Burundi,BDI,1,2037,1150401.9819185277,0,0,0,104719.5762892621,0,0,0
Burundi,BDI,1,2038,1169251.7726325174,0,0,0,106420.18897343057,0,0,0
Burundi,BDI,1,2039,1188563.9423995514,0,0,0,108162.71882080408,0,0,0
Burundi,BDI,1,2040,1208264.9502216508,0,0,0,109947.7434630003,0,0,0
Burundi,BDI,1,2041,1233728.7553785997,0,0,0,107666.43343840608,0,0,0
Burundi,BDI,1,2042,1248748.029606554,0,0,0,113623.12065823951,0,0,0
Burundi,BDI,1,2043,1269351.8582305878,0,0,0,115512.7929716763,0,0,0
Burundi,BDI,1,2044,1290234.4130841293,0,0,0,117420.28664358688,0,0,0
Burundi,BDI,1,2045,1311372.2633203783,0,0,0,119352.7334959555,0,0,0
Burundi,BDI,1,2046,1332750.7228394244,0,0,0,121308.5397353537,0,0,0
Burundi,BDI,1,2047,1360351.3968472488,0,0,0,118761.51606454283,0,0,0
Burundi,BDI,1,2048,1376330.270340296,0,0,0,125288.0900633583,0,0,0
Burundi,BDI,1,2049,1398401.1026590597,0,0,0,127319.3122846545,0,0,0
Burundi,BDI,1,2050,1420729.5498023797,0,0,0,129363.15596235485,0,0,0
Burundi,BDI,1,2051,1443305.392603946,0,0,0,131429.46094660126,0,0,0
Burundi,BDI,1,2052,1472613.3341672344,0,0,0,128617.81589848359,0,0,0
Burundi,BDI,1,2053,1489338.33460183,0,0,0,135632.24068394085,0,0,0
Burundi,BDI,1,2054,1512665.515488926,0,0,0,137778.05387901218,0,0,0
Benin,BEN,1,2025,1244503.8075367205,0,0,0,0,0,0,0
Benin,BEN,1,2026,1125500.0958899325,0,0,0,102405.71662860003,0,0,0
Benin,BEN,1,2027,1138074.2895097495,0,0,0,103471.59966554467,0,0,0
Benin,BEN,1,2028,1153831.6276217378,0,0,0,104625.8946941015,0,0,0
Benin,BEN,1,2029,1171922.7031296988,0,0,0,106049.414866881,0,0,0
Benin,BEN,1,2030,1197146.7037861426,0,0,0,103738.55317220198,0,0,0
Benin,BEN,1,2031,1213603.2001758213,0,0,0,109515.68239994944,0,0,0
