country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Afghanistan,AFG,1,2025,3755160.1126395403,0,0,0,0,0,0,0
Afghanistan,AFG,1,2026,3347649.026510064,0,0,0,310877.06778187014,0,0,0
Afghanistan,AFG,1,2027,3352036.5519091245,0,0,0,310337.4127325333,0,0,0
Afghanistan,AFG,1,2028,3370578.8769905437,0,0,0,310674.03234582045,0,0,0
Afghanistan,AFG,1,2029,3399834.1062019668,0,0,0,312268.5659557543,0,0,0
Afghanistan,AFG,1,2030,3453028.2551990994,0,0,0,303323.3057581337,0,0,0
Afghanistan,AFG,1,2031,3482954.536284272,0,0,0,318313.0831471068,0,0,0
Afghanistan,AFG,1,2032,3533533.019963072,0,0,0,322433.5919679754,0,0,0
Afghanistan,AFG,1,2033,3588821.877083723,0,0,0,327070.69856893737,0,0,0
Afghanistan,AFG,1,2034,3647960.6363688055,0,0,0,332151.233897206,0,0,0
Afghanistan,AFG,1,2035,3710292.219209746,0,0,0,337596.3902782675,0,0,0
Afghanistan,AFG,1,2036,3791953.192318923,0,0,0,330739.9549491518,0,0,0
Afghanistan,AFG,1,2037,3842862.0448837928,0,0,0,349344.1883779803,0,0,0
Afghanistan,AFG,1,2038,3912010.531070318,0,0,0,355581.93307483586,0,0,0
Afghanistan,AFG,1,2039,3982906.164444211,0,0,0,361975.8621022943,0,0,0
Afghanistan,AFG,1,2040,4055329.337465689,0,0,0,368531.17387843935,0,0,0
Afghanistan,AFG,1,2041,4147338.038789336,0,0,0,361455.3635863326,0,0,0
Afghanistan,AFG,1,2042,4204534.623153646,0,0,0,382058.050889547,0,0,0
Afghanistan,AFG,1,2043,4280738.021917208,0,0,0,389031.20523501013,0,0,0
Afghanistan,AFG,1,2044,4358139.775177794,0,0,0,396086.61790846084,0,0,0
Afghanistan,AFG,1,2045,4436669.237102906,0,0,0,403250.1849979228,0,0,0
Afghanistan,AFG,1,2046,4516305.706725844,0,0,0,410518.5117771513,0,0,0
Afghanistan,AFG,1,2047,4617317.401461821,0,0,0,402549.6036440691,0,0,0
Afghanistan,AFG,1,2048,4679242.784295165,0,0,0,425363.9835090134,0,0,0
Afghanistan,AFG,1,2049,4762104.555355716,0,0,0,432968.1652750287,0,0,0
Afghanistan,AFG,1,2050,4846150.285326831,0,0,0,440642.21320011915,0,0,0
Afghanistan,AFG,1,2051,4931360.3104314115,0,0,0,448422.14970857755,0,0,0
Afghanistan,AFG,1,2052,5039887.934324717,0,0,0,439558.85959494364,0,0,0
Afghanistan,AFG,1,2053,5105742.484748057,0,0,0,464306.7992675891,0,0,0
Afghanistan,AFG,1,2054,5194484.372738821,0,0,0,472446.8764076024,0,0,0
United Arab Emirates,ARE,1,2025,250232.7309351439,0,0,0,0,0,0,0
United Arab Emirates,ARE,1,2026,218002.65446378564,0,0,0,20887.680100173293,0,0,0
United Arab Emirates,ARE,1,2027,214393.23857573545,0,0,0,20448.884804643647,0,0,0
United Arab Emirates,ARE,1,2028,211660.98434762354,0,0,0,20102.35127436235,0,0,0
United Arab Emirates,ARE,1,2029,209589.255597866,0,0,0,19838.32092418818,0,0,0
United Arab Emirates,ARE,1,2030,208977.2006680797,0,0,0,18917.98123407549,0,0,0
United Arab Emirates,ARE,1,2031,206844.30449135936,0,0,0,19486.547059240795,0,0,0
United Arab Emirates,ARE,1,2032,205943.03235615024,0,0,0,19372.316997248206,0,0,0
United Arab Emirates,ARE,1,2033,205249.55385054965,0,0,0,19285.078748800664,0,0,0
United Arab Emirates,ARE,1,2034,204707.93127536526,0,0,0,19218.454555183256,0,0,0
United Arab Emirates,ARE,1,2035,204262.42406501411,0,0,0,19165.91738529063,0,0,0
United Arab Emirates,ARE,1,2036,204813.0481805054,0,0,0,18422.15249657419,0,0,0
United Arab Emirates,ARE,1,2037,203543.6079885679,0,0,0,19087.233544016133,0,0,0
United Arab Emirates,ARE,1,2038,203211.2450782852,0,0,0,19054.947104012408,0,0,0
United Arab Emirates,ARE,1,2039,202874.90522745068,0,0,0,19023.54910277128,0,0,0
United Arab Emirates,ARE,1,2040,202527.116318358,0,0,0,18992.340219916307,0,0,0
United Arab Emirates,ARE,1,2041,203073.60156817507,0,0,0,18264.378372358926,0,0,0
United Arab Emirates,ARE,1,2042,201754.08124623916,0,0,0,18924.993921527315,0,0,0
United Arab Emirates,ARE,1,2043,201310.9588174356,0,0,0,18887.557753004618,0,0,0
United Arab Emirates,ARE,1,2044,200835.79286760162,0,0,0,18846.83787457878,0,0,0
United Arab Emirates,ARE,1,2045,200317.99388641605,0,0,0,18802.37475526179,0,0,0
United Arab Emirates,ARE,1,2046,199762.8019975199,0,0,0,18754.439382448254,0,0,0
United Arab Emirates,ARE,1,2047,200075.70901369423,0,0,0,18016.8842339103,0,0,0
United Arab Emirates,ARE,1,2048,198535.90957597466,0,0,0,18647.194072261096,0,0,0
United Arab Emirates,ARE,1,2049,197860.83739987857,0,0,0,18588.31574325355,0,0,0
United Arab Emirates,ARE,1,2050,197154.15430262723,0,0,0,18525.827301143014,0,0,0
United Arab Emirates,ARE,1,2051,196410.2175521251,0,0,0,18459.761536379152,0,0,0
United Arab Emirates,ARE,1,2052,196529.4999235586,0,0,0,17716.2601578362,0,0,0
United Arab Emirates,ARE,1,2053,194836.35562454458,0,0,0,18318.576102412895,0,0,0
United Arab Emirates,ARE,1,2054,193997.86334365586,0,0,0,18243.583300561822,0,0,0
Armenia,ARM,1,2025,85489.43762500369,0,0,0,0,0,0,0
Armenia,ARM,1,2026,74294.15883361072,0,0,0,7129.41976029284,0,0,0
Armenia,ARM,1,2027,72823.02226887636,0,0,0,6963.560787587387,0,0,0
Armenia,ARM,1,2028,71619.9058369941,0,0,0,6823.608817838689,0,0,0
Armenia,ARM,1,2029,70624.2918331044,0,0,0,6708.750468438713,0,0,0
Armenia,ARM,1,2030,70111.3269231168,0,0,0,6371.078892030837,0,0,0
Armenia,ARM,1,2031,69086.5096561657,0,0,0,6534.017296156659,0,0,0
Armenia,ARM,1,2032,68481.08522057494,0,0,0,6466.951156046512,0,0,0
Armenia,ARM,1,2033,67955.34453053471,0,0,0,6409.469940323409,0,0,0
Armenia,ARM,1,2034,67492.18041207518,0,0,0,6359.694995992427,0,0,0
Armenia,ARM,1,2035,67072.11455482285,0,0,0,6315.4242313210225,0,0,0
Armenia,ARM,1,2036,66995.2616292616,0,0,0,6045.740859739677,0,0,0
Armenia,ARM,1,2037,66338.01156611869,0,0,0,6239.826643190595,0,0,0
Armenia,ARM,1,2038,66004.07061073672,0,0,0,6206.618652555127,0,0,0
Armenia,ARM,1,2039,65687.12320412515,0,0,0,6175.375418108993,0,0,0
Armenia,ARM,1,2040,65379.527839848626,0,0,0,6145.52544045498,0,0,0
Armenia,ARM,1,2041,65373.47895058424,0,0,0,5892.11895846959,0,0,0
Armenia,ARM,1,2042,64783.44938451376,0,0,0,6088.304030846703,0,0,0
Armenia,ARM,1,2043,64489.58942409534,0,0,0,6060.764776931624,0,0,0
Armenia,ARM,1,2044,64195.79446492568,0,0,0,6033.176477721749,0,0,0
Armenia,ARM,1,2045,63904.41729775948,0,0,0,6005.876300458113,0,0,0
Armenia,ARM,1,2046,63607.90260068817,0,0,0,5978.227705532309,0,0,0
Armenia,ARM,1,2047,63600.29352857801,0,0,0,5732.342690995846,0,0,0
Armenia,ARM,1,2048,63014.9779891777,0,0,0,5922.851453568253,0,0,0
Armenia,ARM,1,2049,62715.62407553212,0,0,0,5895.232709679703,0,0,0
Armenia,ARM,1,2050,62413.98466176067,0,0,0,5867.226025949706,0,0,0
Armenia,ARM,1,2051,62112.319847086495,0,0,0,5839.238506537253,0,0,0
Armenia,ARM,1,2052,62087.724278769834,0,0,0,5597.730038368477,0,0,0
Armenia,ARM,1,2053,61501.66732784298,0,0,0,5782.4515510822375,0,0,0
Armenia,ARM,1,2054,61189.76219655386,0,0,0,5753.740972966327,0,0,0
Azerbaijan,AZE,1,2025,324275.3818388427,0,0,0,0,0,0,0
Azerbaijan,AZE,1,2026,281390.5133284246,0,0,0,27002.26529742032,0,0,0
Azerbaijan,AZE,1,2027,275618.2446511861,0,0,0,26334.396650309973,0,0,0
Azerbaijan,AZE,1,2028,271019.26708223944,0,0,0,25784.613184221987,0,0,0
Azerbaijan,AZE,1,2029,267313.80889795907,0,0,0,25344.31477468252,0,0,0
Azerbaijan,AZE,1,2030,265519.76741171535,0,0,0,24073.629410793517,0,0,0
Azerbaijan,AZE,1,2031,261845.70244775387,0,0,0,24702.476194611434,0,0,0
Azerbaijan,AZE,1,2032,259791.36964104787,0,0,0,24467.544362440647,0,0,0
Azerbaijan,AZE,1,2033,258054.5927527319,0,0,0,24271.842525748016,0,0,0
Azerbaijan,AZE,1,2034,256554.6980726113,0,0,0,24106.533393074198,0,0,0
Azerbaijan,AZE,1,2035,255231.54577153953,0,0,0,23964.18491955454,0,0,0
Azerbaijan,AZE,1,2036,255194.19103309195,0,0,0,22964.663398030127,0,0,0
Azerbaijan,AZE,1,2037,252937.86697979437,0,0,0,23726.058572502978,0,0,0
Azerbaijan,AZE,1,2038,251893.37150283402,0,0,0,23622.720526073826,0,0,0
Azerbaijan,AZE,1,2039,250884.2045405208,0,0,0,23524.412469153114,0,0,0
Azerbaijan,AZE,1,2040,249895.34945360266,0,0,0,23429.79044119962,0,0,0
Azerbaijan,AZE,1,2041,250050.2194857341,0,0,0,22481.666025644332,0,0,0
Azerbaijan,AZE,1,2042,247941.06368304617,0,0,0,23246.10895590952,0,0,0
Azerbaijan,AZE,1,2043,246942.46940757977,0,0,0,23154.611059040777,0,0,0
Azerbaijan,AZE,1,2044,245929.16365121258,0,0,0,23061.53887301063,0,0,0
Azerbaijan,AZE,1,2045,244900.43962352097,0,0,0,22967.425756510052,0,0,0
