country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Argentina,ARG,1,2025,693819.860425018,0,0,0,0,0,0,0
Argentina,ARG,1,2026,603870.1280533399,0,0,0,21889.996428229002,0,0,0
Argentina,ARG,1,2027,593425.5170092519,0,0,0,21415.435240751714,0,0,0
Argentina,ARG,1,2028,585394.7376537404,0,0,0,21040.92363049383,0,0,0
Argentina,ARG,1,2029,579243.1027427309,0,0,0,20751.97506660585,0,0,0
Argentina,ARG,1,2030,574566.7823564649,0,0,0,20530.471183730242,0,0,0
Argentina,ARG,1,2031,573655.3186937767,0,0,0,19658.420959091003,0,0,0
Argentina,ARG,1,2032,568428.1421789152,0,0,0,20234.93650323975,0,0,0
Argentina,ARG,1,2033,566495.3267824604,0,0,0,20140.386933517264,0,0,0
Argentina,ARG,1,2034,565098.4013937544,0,0,0,20070.61678317138,0,0,0
Argentina,ARG,1,2035,564105.9115153393,0,0,0,20020.043705094802,0,0,0
Argentina,ARG,1,2036,565977.1871019923,0,0,0,19293.189946096547,0,0,0
Argentina,ARG,1,2037,562955.2551522603,0,0,0,19958.939883666637,0,0,0
Argentina,ARG,1,2038,562643.6264571584,0,0,0,19942.072663602074,0,0,0
Argentina,ARG,1,2039,562443.4138895288,0,0,0,19930.720743685048,0,0,0
Argentina,ARG,1,2040,562315.0468647964,0,0,0,19923.39628347103,0,0,0
Argentina,ARG,1,2041,562225.7272123692,0,0,0,19918.609662758005,0,0,0
Argentina,ARG,1,2042,564706.9709029841,0,0,0,19226.7967638163,0,0,0
Argentina,ARG,1,2043,562089.7183001043,0,0,0,19912.732890275234,0,0,0
Argentina,ARG,1,2044,562001.5773894005,0,0,0,19910.357244312796,0,0,0
Argentina,ARG,1,2045,561890.2549194542,0,0,0,19907.241151949,0,0,0
Argentina,ARG,1,2046,561748.1478945647,0,0,0,19903.306475064128,0,0,0
Argentina,ARG,1,2047,561569.4878619814,0,0,0,19898.285085327225,0,0,0
Argentina,ARG,1,2048,563902.1357579005,0,0,0,19204.316421368454,0,0,0
Argentina,ARG,1,2049,561101.2353465261,0,0,0,19884.41516293664,0,0,0
Argentina,ARG,1,2050,560797.1681900654,0,0,0,19875.51686134308,0,0,0
Argentina,ARG,1,2051,560451.2229542828,0,0,0,19864.841474901845,0,0,0
Argentina,ARG,1,2052,560061.4447104763,0,0,0,19852.611334591118,0,0,0
Argentina,ARG,1,2053,562171.7619607701,0,0,0,19152.988122645052,0,0,0
Argentina,ARG,1,2054,559163.4754090238,0,0,0,19823.60666390223,0,0,0
Bolivia,BOL,1,2025,286795.45920135506,0,0,0,0,0,0,0
Bolivia,BOL,1,2026,249829.58783144096,0,0,0,9014.020474703359,0,0,0
Bolivia,BOL,1,2027,245903.3965874939,0,0,0,8822.200705970174,0,0,0
Bolivia,BOL,1,2028,243229.3280508808,0,0,0,8681.436612741154,0,0,0
Bolivia,BOL,1,2029,241521.00909855205,0,0,0,8584.755411471868,0,0,0
Bolivia,BOL,1,2030,240566.93176572848,0,0,0,8522.647920659063,0,0,0
Bolivia,BOL,1,2031,241286.6765273494,0,0,0,8194.030671503659,0,0,0
Bolivia,BOL,1,2032,240287.73067838946,0,0,0,8473.408459972134,0,0,0
Bolivia,BOL,1,2033,240717.0431958937,0,0,0,8475.607354798609,0,0,0
Bolivia,BOL,1,2034,241408.81440000006,0,0,0,8490.007818612448,0,0,0
Bolivia,BOL,1,2035,242298.86924802445,0,0,0,8513.855635310329,0,0,0
