country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Bangladesh,BGD,1,2025,3184945.4520320105,0,0,0,0,0,0,0
Bangladesh,BGD,1,2026,2799101.749264024,0,0,0,100325.78291861138,0,0,0
Bangladesh,BGD,1,2027,2771936.736437565,0,0,0,98970.83365600722,0,0,0
Bangladesh,BGD,1,2028,2754217.2061729496,0,0,0,97994.43902604356,0,0,0
Bangladesh,BGD,1,2029,2743711.3012397834,0,0,0,97350.34075285468,0,0,0
Bangladesh,BGD,1,2030,2751210.4565940346,0,0,0,93612.23918146972,0,0,0
Bangladesh,BGD,1,2031,2738186.409463747,0,0,0,96779.71381561531,0,0,0
Bangladesh,BGD,1,2032,2740786.108497006,0,0,0,96749.53620518009,0,0,0
Bangladesh,BGD,1,2033,2745842.8269862053,0,0,0,96834.8799874405,0,0,0
Bangladesh,BGD,1,2034,2752709.923536264,0,0,0,97008.3043341661,0,0,0
Bangladesh,BGD,1,2035,2760887.128096472,0,0,0,97246.96935466946,0,0,0
Bangladesh,BGD,1,2036,2782477.6894705687,0,0,0,94158.85734112759,0,0,0
Bangladesh,BGD,1,2037,2779738.13754768,0,0,0,97852.25095097304,0,0,0
Bangladesh,BGD,1,2038,2789808.302409009,0,0,0,98195.01501556681,0,0,0
Bangladesh,BGD,1,2039,2800079.174157927,0,0,0,98549.91287787951,0,0,0
Bangladesh,BGD,1,2040,2810406.4539525625,0,0,0,98912.08395280398,0,0,0
Bangladesh,BGD,1,2041,2833403.0560945976,0,0,0,95841.9971282555,0,0,0
Bangladesh,BGD,1,2042,2830885.634049058,0,0,0,99639.62578962027,0,0,0
Bangladesh,BGD,1,2043,2840840.999006757,0,0,0,99999.62865376739,0,0,0
Bangladesh,BGD,1,2044,2850580.3154161396,0,0,0,100351.62585810231,0,0,0
Bangladesh,BGD,1,2045,2860073.0578393745,0,0,0,100695.94299501524,0,0,0
Bangladesh,BGD,1,2046,2869300.471040288,0,0,0,101031.55880057634,0,0,0
Bangladesh,BGD,1,2047,2891239.1564495363,0,0,0,97851.50028059688,0,0,0
Bangladesh,BGD,1,2048,2886980.395381869,0,0,0,101674.65339716278,0,0,0
Bangladesh,BGD,1,2049,2895367.926117019,0,0,0,101982.93033219804,0,0,0
Bangladesh,BGD,1,2050,2903494.316261802,0,0,0,102279.86194619685,0,0,0
Bangladesh,BGD,1,2051,2911359.396688331,0,0,0,102567.3140618367,0,0,0
Bangladesh,BGD,1,2052,2932148.0648078495,0,0,0,99287.8782360533,0,0,0
Bangladesh,BGD,1,2053,2926393.634651532,0,0,0,103114.97764343464,0,0,0
Bangladesh,BGD,1,2054,2933520.4878402553,0,0,0,103377.16678356219,0,0,0
Brunei,BRN,1,2025,6437.666153137962,0,0,0,0,0,0,0
Brunei,BRN,1,2026,5593.468184604479,0,0,0,203.0012514036084,0,0,0
Brunei,BRN,1,2027,5488.255073203307,0,0,0,198.24670341505913,0,0,0
Brunei,BRN,1,2028,5407.4421523928995,0,0,0,194.5101015214052,0,0,0
Brunei,BRN,1,2029,5344.900538579275,0,0,0,191.6203716639545,0,0,0
Brunei,BRN,1,2030,5320.0995621470975,0,0,0,182.81696592657744,0,0,0
Brunei,BRN,1,2031,5257.285379383937,0,0,0,187.58940682893459,0,0,0
Brunei,BRN,1,2032,5227.407747530739,0,0,0,186.22430295632714,0,0,0
Brunei,BRN,1,2033,5203.260060259931,0,0,0,185.13754035201507,0,0,0
Brunei,BRN,1,2034,5182.916153809209,0,0,0,184.24069997734853,0,0,0
Brunei,BRN,1,2035,5167.416621407228,0,0,0,183.55721726257698,0,0,0
Brunei,BRN,1,2036,5177.215107001935,0,0,0,176.66008632884524,0,0,0
Brunei,BRN,1,2037,5141.01512896182,0,0,0,182.4699108980152,0,0,0
Brunei,BRN,1,2038,5129.204204981906,0,0,0,182.00732726434816,0,0,0
Brunei,BRN,1,2039,5119.314678408306,0,0,0,181.63449275621176,0,0,0
Brunei,BRN,1,2040,5108.373538945109,0,0,0,181.24121135609167,0,0,0
Brunei,BRN,1,2041,5120.603952573906,0,0,0,174.59906830833845,0,0,0
Brunei,BRN,1,2042,5087.459878029648,0,0,0,180.49739596365316,0,0,0
Brunei,BRN,1,2043,5076.441698755864,0,0,0,180.12481514144056,0,0,0
Brunei,BRN,1,2044,5064.4302788054,0,0,0,179.71610275296268,0,0,0
Brunei,BRN,1,2045,5052.430694783998,0,0,0,179.3042099151472,0,0,0
Brunei,BRN,1,2046,5039.4098518801675,0,0,0,178.86371368608698,0,0,0
Brunei,BRN,1,2047,5049.272364784946,0,0,0,172.25265811574127,0,0,0
Brunei,BRN,1,2048,5013.390689974592,0,0,0,177.97666841272402,0,0,0
Brunei,BRN,1,2049,4999.353545464109,0,0,0,177.5062354967376,0,0,0
Brunei,BRN,1,2050,4985.342963052206,0,0,0,177.028665756325,0,0,0
Brunei,BRN,1,2051,4969.312472332071,0,0,0,176.48781356145537,0,0,0
Brunei,BRN,1,2052,4976.885193071138,0,0,0,169.88697008684736,0,0,0
Brunei,BRN,1,2053,4937.331911824109,0,0,0,175.38450281750693,0,0,0
Brunei,BRN,1,2054,4921.336482485247,0,0,0,174.83423029910224,0,0,0
Bhutan,BTN,1,2025,10246.004559026604,0,0,0,0,0,0,0
Bhutan,BTN,1,2026,8919.714977056337,0,0,0,322.52012320923427,0,0,0
Bhutan,BTN,1,2027,8763.229229875402,0,0,0,315.4834157566933,0,0,0
Bhutan,BTN,1,2028,8639.833608913277,0,0,0,309.85646039316254,0,0,0
Bhutan,BTN,1,2029,8543.425661373336,0,0,0,305.4612358430058,0,0,0
Bhutan,BTN,1,2030,8505.896822589008,0,0,0,291.5801472363198,0,0,0
Bhutan,BTN,1,2031,8406.276799263875,0,0,0,299.2861916895747,0,0,0
Bhutan,BTN,1,2032,8355.851442768062,0,0,0,297.07889116064774,0,0,0
Bhutan,BTN,1,2033,8315.061865357795,0,0,0,295.3124983903421,0,0,0
Bhutan,BTN,1,2034,8279.927036885834,0,0,0,293.844707316936,0,0,0
Bhutan,BTN,1,2035,8247.570295660305,0,0,0,292.5394662681293,0,0,0
Bhutan,BTN,1,2036,8257.431403927369,0,0,0,281.3675994145709,0,0,0
Bhutan,BTN,1,2037,8194.391193642208,0,0,0,290.4658591373327,0,0,0
Bhutan,BTN,1,2038,8168.585601072537,0,0,0,289.52142574641766,0,0,0
Bhutan,BTN,1,2039,8142.744766337579,0,0,0,288.586463413231,0,0,0
Bhutan,BTN,1,2040,8117.84593276657,0,0,0,287.7014033282347,0,0,0
Bhutan,BTN,1,2041,8129.656472557522,0,0,0,276.91473545814307,0,0,0
Bhutan,BTN,1,2042,8066.899827141872,0,0,0,285.9368615734225,0,0,0
Bhutan,BTN,1,2043,8040.884521826992,0,0,0,285.04878799726674,0,0,0
Bhutan,BTN,1,2044,8013.854839736385,0,0,0,284.1302623969317,0,0,0
Bhutan,BTN,1,2045,7984.815714367482,0,0,0,283.1456436695294,0,0,0
Bhutan,BTN,1,2046,7954.788401235366,0,0,0,282.1235345976816,0,0,0
Bhutan,BTN,1,2047,7959.7951007288375,0,0,0,271.3491622764417,0,0,0
Bhutan,BTN,1,2048,7891.763524761521,0,0,0,279.96837420558677,0,0,0
Bhutan,BTN,1,2049,7858.754415929783,0,0,0,278.83842538719404,0,0,0
Bhutan,BTN,1,2050,7825.765520678674,0,0,0,277.7030443402294,0,0,0
Bhutan,BTN,1,2051,7790.752211064277,0,0,0,276.5055921134227,0,0,0
Bhutan,BTN,1,2052,7791.067806136857,0,0,0,265.7815869129637,0,0,0
Bhutan,BTN,1,2053,7718.803421866779,0,0,0,274.0211430880036,0,0,0
Bhutan,BTN,1,2054,7681.850578988767,0,0,0,272.7388120921729,0,0,0
China,CHN,1,2025,11589684.822809717,0,0,0,0,0,0,0
China,CHN,1,2026,10008365.113503715,0,0,0,365622.17358958436,0,0,0
China,CHN,1,2027,9767466.381230194,0,0,0,355232.9419734785,0,0,0
China,CHN,1,2028,9567307.972916976,0,0,0,346610.1958110935,0,0,0
China,CHN,1,2029,9399014.82471472,0,0,0,339440.5088332949,0,0,0
China,CHN,1,2030,9298533.573366446,0,0,0,321907.60159569304,0,0,0
China,CHN,1,2031,9132105.532471739,0,0,0,328290.0609033266,0,0,0
China,CHN,1,2032,9023623.317351691,0,0,0,323869.9204259492,0,0,0
China,CHN,1,2033,8926956.628110813,0,0,0,319995.62214158004,0,0,0
China,CHN,1,2034,8839372.703060465,0,0,0,316546.1583878985,0,0,0
China,CHN,1,2035,8758722.790143512,0,0,0,313423.8583112459,0,0,0
China,CHN,1,2036,8723140.131465284,0,0,0,299824.6270681281,0,0,0
China,CHN,1,2037,8611854.435286498,0,0,0,307867.65886376245,0,0,0
China,CHN,1,2038,8543178.640296912,0,0,0,305326.5642008482,0,0,0
China,CHN,1,2039,8476556.646671087,0,0,0,302886.57390548766,0,0,0
China,CHN,1,2040,8411350.290097887,0,0,0,300520.69543169235,0,0,0
China,CHN,1,2041,8385320.824226097,0,0,0,287904.8334358163,0,0,0
China,CHN,1,2042,8283420.847494457,0,0,0,295925.8289478007,0,0,0
China,CHN,1,2043,8219974.904800019,0,0,0,293667.7549069234,0,0,0
China,CHN,1,2044,8156620.886798449,0,0,0,291418.30616576003,0,0,0
China,CHN,1,2045,8093201.349448156,0,0,0,289172.21405337565,0,0,0
China,CHN,1,2046,8029613.338736183,0,0,0,286924.11546900135,0,0,0
China,CHN,1,2047,8002303.566159461,0,0,0,274836.8886487109,0,0,0
China,CHN,1,2048,7901751.48093195,0,0,0,282408.56928705674,0,0,0
China,CHN,1,2049,7837343.395422317,0,0,0,280138.7055610166,0,0,0
China,CHN,1,2050,7772646.5082579,0,0,0,277856.4493711701,0,0,0
China,CHN,1,2051,7707664.617440392,0,0,0,275563.808081388,0,0,0
China,CHN,1,2052,7677464.021774416,0,0,0,263822.1733923021,0,0,0
China,CHN,1,2053,7576975.616137409,0,0,0,270948.8611423182,0,0,0
China,CHN,1,2054,7511251.797873928,0,0,0,268629.5252126853,0,0,0
Hong Kong SAR China,HKG,1,2025,45796.07878415039,0,0,0,0,0,0,0
Hong Kong SAR China,HKG,1,2026,38819.38392576926,0,0,0,1443.8228259838322,0,0,0
Hong Kong SAR China,HKG,1,2027,37351.2045439518,0,0,0,1380.2406730189027,0,0,0
Hong Kong SAR China,HKG,1,2028,36131.932952137344,0,0,0,1327.6294537357796,0,0,0
Hong Kong SAR China,HKG,1,2029,35111.58956531193,0,0,0,1283.9705399472916,0,0,0
Hong Kong SAR China,HKG,1,2030,34407.82900271408,0,0,0,1204.3752097281633,0,0,0
Hong Kong SAR China,HKG,1,2031,33509.11232542509,0,0,0,1216.4435576495175,0,0,0
Hong Kong SAR China,HKG,1,2032,32868.99893307013,0,0,0,1189.979777792001,0,0,0
Hong Kong SAR China,HKG,1,2033,32308.058764500314,0,0,0,1167.0856854169479,0,0,0
Hong Kong SAR China,HKG,1,2034,31810.826020710516,0,0,0,1147.0698122887122,0,0,0
Hong Kong SAR China,HKG,1,2035,31363.742080823708,0,0,0,1129.333921147712,0,0,0
Hong Kong SAR China,HKG,1,2036,31098.07261748302,0,0,0,1074.9280693845483,0,0,0
Hong Kong SAR China,HKG,1,2037,30577.528017432684,0,0,0,1098.7892396821728,0,0,0
Hong Kong SAR China,HKG,1,2038,30223.912253696995,0,0,0,1085.3281260073304,0,0,0
Hong Kong SAR China,HKG,1,2039,29889.59042380718,0,0,0,1072.7425896914003,0,0,0
Hong Kong SAR China,HKG,1,2040,29570.685298118427,0,0,0,1060.8624884184821,0,0,0
Hong Kong SAR China,HKG,1,2041,29397.972063882764,0,0,0,1013.2767593225996,0,0,0
Hong Kong SAR China,HKG,1,2042,28963.627034756377,0,0,0,1038.535037397809,0,0,0
Hong Kong SAR China,HKG,1,2043,28672.642732323337,0,0,0,1027.9394862656009,0,0,0
Hong Kong SAR China,HKG,1,2044,28386.427307820584,0,0,0,1017.5775005271836,0,0,0
Hong Kong SAR China,HKG,1,2045,28105.05610499126,0,0,0,1007.4288772354624,0,0,0
Hong Kong SAR China,HKG,1,2046,27826.537126562078,0,0,0,997.4228367214129,0,0,0
Hong Kong SAR China,HKG,1,2047,27677.627195782465,0,0,0,953.440021814275,0,0,0
Hong Kong SAR China,HKG,1,2048,27277.261262685992,0,0,0,977.7490974844442,0,0,0
Hong Kong SAR China,HKG,1,2049,27005.508767217216,0,0,0,968.0459039488746,0,0,0
Hong Kong SAR China,HKG,1,2050,26735.714846483104,0,0,0,958.4224543277519,0,0,0
Hong Kong SAR China,HKG,1,2051,26465.884734393716,0,0,0,948.8087100166672,0,0,0
Hong Kong SAR China,HKG,1,2052,26317.55850872625,0,0,0,906.7943458405435,0,0,0
Hong Kong SAR China,HKG,1,2053,25929.230858645948,0,0,0,929.682469234457,0,0,0
Hong Kong SAR China,HKG,1,2054,25662.37018341049,0,0,0,920.1798713603943,0,0,0
Indonesia,IDN,1,2025,4743759.433421142,0,0,0,0,0,0,0
Indonesia,IDN,1,2026,4148179.6736644837,0,0,0,149417.08322999958,0,0,0
Indonesia,IDN,1,2027,4090384.133523197,0,0,0,146748.37122550854,0,0,0
Indonesia,IDN,1,2028,4047268.922956157,0,0,0,144678.87639962652,0,0,0
Indonesia,IDN,1,2029,4015381.0641173013,0,0,0,143127.16245738554,0,0,0
Indonesia,IDN,1,2030,4010373.9300685367,0,0,0,137071.42769963952,0,0,0
Indonesia,IDN,1,2031,3975679.178638336,0,0,0,141140.79269003338,0,0,0
Indonesia,IDN,1,2032,3964167.8228881955,0,0,0,140544.0771213193,0,0,0
Indonesia,IDN,1,2033,3956467.8879961795,0,0,0,140127.08414956025,0,0,0
Indonesia,IDN,1,2034,3951582.979790383,0,0,0,139846.97381709595,0,0,0
Indonesia,IDN,1,2035,3948737.3117073453,0,0,0,139668.2828083844,0,0,0
Indonesia,IDN,1,2036,3965209.836281385,0,0,0,134737.04890795366,0,0,0
Indonesia,IDN,1,2037,3946936.320353024,0,0,0,139510.06686007642,0,0,0
Indonesia,IDN,1,2038,3947067.8135880013,0,0,0,139493.50811308215,0,0,0
Indonesia,IDN,1,2039,3947529.4412082136,0,0,0,139496.7265068362,0,0,0
Indonesia,IDN,1,2040,3948103.1646460565,0,0,0,139511.94904771695,0,0,0
Indonesia,IDN,1,2041,3966509.928568825,0,0,0,134706.25930414192,0,0,0
Indonesia,IDN,1,2042,3949054.2558728326,0,0,0,139550.0153386511,0,0,0
Indonesia,IDN,1,2043,3949151.373960939,0,0,0,139564.53099069098,0,0,0
Indonesia,IDN,1,2044,3948950.1292842026,0,0,0,139568.31195038196,0,0,0
Indonesia,IDN,1,2045,3948406.050685434,0,0,0,139561.49110197253,0,0,0
Indonesia,IDN,1,2046,3947493.089376931,0,0,0,139542.58292570128,0,0,0
Indonesia,IDN,1,2047,3964078.646526504,0,0,0,134686.393101811,0,0,0
Indonesia,IDN,1,2048,3944585.715393032,0,0,0,139465.6710942247,0,0,0
Indonesia,IDN,1,2049,3942512.0507882624,0,0,0,139408.66257511315,0,0,0
Indonesia,IDN,1,2050,3940078.687327751,0,0,0,139336.18778727646,0,0,0
Indonesia,IDN,1,2051,3937286.8706768285,0,0,0,139250.64052449912,0,0,0
Indonesia,IDN,1,2052,3951986.5970048024,0,0,0,134340.7670139418,0,0,0
Indonesia,IDN,1,2053,3930753.4008224807,0,0,0,139042.355183721,0,0,0
