country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Angola,AGO,1,2025,1417745.802677871,0,0,0,0,0,0,0
Angola,AGO,1,2026,1262920.6973079953,0,0,0,44327.41032446814,0,0,0
Angola,AGO,1,2027,1265821.4851593655,0,0,0,44217.78141869272,0,0,0
Angola,AGO,1,2028,1274440.5167779517,0,0,0,44311.72219156013,0,0,0
Angola,AGO,1,2029,1287531.3190353543,0,0,0,44602.82207852246,0,0,0
Angola,AGO,1,2030,1309990.0454565876,0,0,0,43490.936897807485,0,0,0
Angola,AGO,1,2031,1323892.934585813,0,0,0,45629.94756702923,0,0,0
Angola,AGO,1,2032,1345884.0190250922,0,0,0,46312.315864698605,0,0,0
Angola,AGO,1,2033,1369841.3066227238,0,0,0,47077.601555665526,0,0,0
Angola,AGO,1,2034,1395427.820080325,0,0,0,47912.41744209631,0,0,0
Angola,AGO,1,2035,1422380.0197063931,0,0,0,48804.84519644505,0,0,0
Angola,AGO,1,2036,1456853.6498038871,0,0,0,48020.27253575186,0,0,0
Angola,AGO,1,2037,1479665.6623213182,0,0,0,50727.572655934564,0,0,0
Angola,AGO,1,2038,1509657.2875002369,0,0,0,51746.396261406655,0,0,0
Angola,AGO,1,2039,1540451.3245936413,0,0,0,52794.75938890111,0,0,0
Angola,AGO,1,2040,1571972.2339845432,0,0,0,53871.14886873743,0,0,0
Angola,AGO,1,2041,1611195.2482914554,0,0,0,53066.3295034839,0,0,0
Angola,AGO,1,2042,1637063.4018431592,0,0,0,56099.013982392695,0,0,0
Angola,AGO,1,2043,1670502.1888072975,0,0,0,57248.86478584708,0,0,0
Angola,AGO,1,2044,1704552.9066798985,0,0,0,58418.51424062919,0,0,0
Angola,AGO,1,2045,1739199.246604436,0,0,0,59609.325193027384,0,0,0
Angola,AGO,1,2046,1774439.9198875022,0,0,0,60821.03666367724,0,0,0
Angola,AGO,1,2047,1818206.564446418,0,0,0,59901.195950038935,0,0,0
Angola,AGO,1,2048,1846775.897235082,0,0,0,63306.989063760586,0,0,0
Angola,AGO,1,2049,1883806.5173163058,0,0,0,64583.18013677433,0,0,0
Angola,AGO,1,2050,1921470.1728181215,0,0,0,65878.64336990706,0,0,0
Angola,AGO,1,2051,1959768.8703506074,0,0,0,67195.88324813927,0,0,0
Angola,AGO,1,2052,2007480.7626741803,0,0,0,66158.39281037945,0,0,0
Angola,AGO,1,2053,2038406.2677893646,0,0,0,69897.92097928823,0,0,0
Angola,AGO,1,2054,2078684.166501294,0,0,0,71285.44710947473,0,0,0
Burundi,BDI,1,2025,458994.6551425472,0,0,0,0,0,0,0
