country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Afghanistan,AFG,1,2025,1502064.0450558006,0,0,0,0,0,0,0
Afghanistan,AFG,1,2026,1323465.577131069,0,0,0,47073.29447632885,0,0,0
Afghanistan,AFG,1,2027,1315697.3741528217,0,0,0,46521.934468367,0,0,0
Afghanistan,AFG,1,2028,1314966.277626781,0,0,0,46238.14190417183,0,0,0
Afghanistan,AFG,1,2029,1319722.715581325,0,0,0,46199.34270853162,0,0,0
Afghanistan,AFG,1,2030,1334789.8764808786,0,0,0,44750.78598813835,0,0,0
Afghanistan,AFG,1,2031,1341523.0897276043,0,0,0,46668.336271464526,0,0,0
Afghanistan,AFG,1,2032,1356927.6512668608,0,0,0,47106.12763667937,0,0,0
Afghanistan,AFG,1,2033,1374576.0603884892,0,0,0,47641.91300875389,0,0,0
Afghanistan,AFG,1,2034,1394024.4583644068,0,0,0,48257.39385553124,0,0,0
Afghanistan,AFG,1,2035,1414927.2140393124,0,0,0,48936.95798884028,0,0,0
Afghanistan,AFG,1,2036,1443365.3645154845,0,0,0,47946.923623319715,0,0,0
Afghanistan,AFG,1,2037,1460110.8845817093,0,0,0,50441.756743621656,0,0,0
Afghanistan,AFG,1,2038,1483955.7019655036,0,0,0,51250.84585911947,0,0,0
Afghanistan,AFG,1,2039,1508483.4991040886,0,0,0,52087.027160068064,0,0,0
Afghanistan,AFG,1,2040,1533587.4113945744,0,0,0,52947.20179295858,0,0,0
Afghanistan,AFG,1,2041,1566078.262155798,0,0,0,51962.1350709778,0,0,0
Afghanistan,AFG,1,2042,1585292.660846484,0,0,0,54726.41021291226,0,0,0
Afghanistan,AFG,1,2043,1611733.2956322334,0,0,0,55641.97007332377,0,0,0
Afghanistan,AFG,1,2044,1638554.3777466477,0,0,0,56570.14330783575,0,0,0
Afghanistan,AFG,1,2045,1665728.8986445998,0,0,0,57511.52760811827,0,0,0
Afghanistan,AFG,1,2046,1693243.7621734762,0,0,0,58465.39850260976,0,0,0
Afghanistan,AFG,1,2047,1728692.0775945876,0,0,0,57371.36778278665,0,0,0
Afghanistan,AFG,1,2048,1749318.7992093766,0,0,0,60408.912510989874,0,0,0
Afghanistan,AFG,1,2049,1777806.8224796264,0,0,0,61399.47354143936,0,0,0
Afghanistan,AFG,1,2050,1806636.1358045551,0,0,0,62399.830488897016,0,0,0
Afghanistan,AFG,1,2051,1835803.0476963704,0,0,0,63411.89323885706,0,0,0
Afghanistan,AFG,1,2052,1873554.5874042243,0,0,0,62202.491594470746,0,0,0
Afghanistan,AFG,1,2053,1895233.6344614686,0,0,0,65471.89687795428,0,0,0
Afghanistan,AFG,1,2054,1925441.2557464356,0,0,0,66521.88707219965,0,0,0
United Arab Emirates,ARE,1,2025,100093.09237405777,0,0,0,0,0,0,0
United Arab Emirates,ARE,1,2026,86901.81136830637,0,0,0,3159.508590102082,0,0,0
United Arab Emirates,ARE,1,2027,85287.05215409161,0,0,0,3084.693694765834,0,0,0
United Arab Emirates,ARE,1,2028,84054.27638590678,0,0,0,3026.6057422768763,0,0,0
United Arab Emirates,ARE,1,2029,83115.60794167104,0,0,0,2982.1977020702298,0,0,0
United Arab Emirates,ARE,1,2030,82779.69029325937,0,0,0,2846.5141253478787,0,0,0
United Arab Emirates,ARE,1,2031,81857.05474463278,0,0,0,2922.5336388836745,0,0,0
United Arab Emirates,ARE,1,2032,81439.60978059142,0,0,0,2902.8938600107062,0,0,0
United Arab Emirates,ARE,1,2033,81115.69436837632,0,0,0,2887.8162203473826,0,0,0
United Arab Emirates,ARE,1,2034,80860.20728209017,0,0,0,2876.1678670265865,0,0,0
