country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Argentina,ARG,1,2025,2428369.511487563,0,0,0,0,0,0,0
Argentina,ARG,1,2026,2131321.7928572237,0,0,0,294840.1465833577,0,0,0
Argentina,ARG,1,2027,2105122.796055563,0,0,0,290488.5258043958,0,0,0
Argentina,ARG,1,2028,2085515.2995613473,0,0,0,286827.1458962311,0,0,0
Argentina,ARG,1,2029,2070833.7733359092,0,0,0,284043.49821444665,0,0,0
Argentina,ARG,1,2030,2060032.1198345027,0,0,0,281954.91130430216,0,0,0
Argentina,ARG,1,2031,2061619.3371286853,0,0,0,269696.80479554157,0,0,0
Argentina,ARG,1,2032,2046947.778821894,0,0,0,279299.1968417624,0,0,0
Argentina,ARG,1,2033,2043330.3403056068,0,0,0,278531.48960917717,0,0,0
Argentina,ARG,1,2034,2041115.5651910782,0,0,0,278007.21334723354,0,0,0
Argentina,ARG,1,2035,2039945.936912801,0,0,0,277680.0618948768,0,0,0
Argentina,ARG,1,2036,2048806.230331162,0,0,0,266897.03384110023,0,0,0
Argentina,ARG,1,2037,2039795.5269681292,0,0,0,277432.2440265842,0,0,0
Argentina,ARG,1,2038,2040302.693884452,0,0,0,277454.59494627896,0,0,0
Argentina,ARG,1,2039,2041070.6491894291,0,0,0,277517.8577061761,0,0,0
Argentina,ARG,1,2040,2041985.7811517462,0,0,0,277618.1054630065,0,0,0
Argentina,ARG,1,2041,2042960.294545987,0,0,0,277739.7131157525,0,0,0
Argentina,ARG,1,2042,2053204.7956196014,0,0,0,267252.804818436,0,0,0
Argentina,ARG,1,2043,2044943.2241138294,0,0,0,278002.19118596695,0,0,0
Argentina,ARG,1,2044,2045751.1210953584,0,0,0,278140.37046986417,0,0,0
Argentina,ARG,1,2045,2046460.0212743483,0,0,0,278253.4104599996,0,0,0
Argentina,ARG,1,2046,2047033.9214406991,0,0,0,278351.2711980486,0,0,0
Argentina,ARG,1,2047,2047470.1965114821,0,0,0,278432.4906218179,0,0,0
Argentina,ARG,1,2048,2057043.5045104346,0,0,0,267851.8141820406,0,0,0
Argentina,ARG,1,2049,2047966.6380813417,0,0,0,278534.1706818914,0,0,0
Argentina,ARG,1,2050,2047907.4560191089,0,0,0,278566.2159276827,0,0,0
Argentina,ARG,1,2051,2047703.81548033,0,0,0,278562.6316304435,0,0,0
Argentina,ARG,1,2052,2047343.5076553498,0,0,0,278537.40460575535,0,0,0
Argentina,ARG,1,2053,2056132.2147435062,0,0,0,267849.824836135,0,0,0
Argentina,ARG,1,2054,2046275.3720973749,0,0,0,278424.72576428176,0,0,0
Bolivia,BOL,1,2025,1003784.1072047368,0,0,0,0,0,0,0
