country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Bahamas,BHS,1,2025,17690.184072735672,0,0,0,0,0,0,0
Bahamas,BHS,1,2026,15443.901923138099,0,0,0,2146.9322815499013,0,0,0
Bahamas,BHS,1,2027,15187.794035984405,0,0,0,2105.1242285674007,0,0,0
Bahamas,BHS,1,2028,14977.533517978485,0,0,0,2068.895202295444,0,0,0
Bahamas,BHS,1,2029,14811.384086371181,0,0,0,2040.2353318437026,0,0,0
Bahamas,BHS,1,2030,14739.287143145644,0,0,0,1939.608092388131,0,0,0
Bahamas,BHS,1,2031,14552.805005960137,0,0,0,1996.7902213464163,0,0,0
Bahamas,BHS,1,2032,14453.787452783903,0,0,0,1980.6128772077823,0,0,0
Bahamas,BHS,1,2033,14368.203880528154,0,0,0,1966.923194652988,0,0,0
Bahamas,BHS,1,2034,14289.186790690652,0,0,0,1954.6498002439532,0,0,0
Bahamas,BHS,1,2035,14220.357237230599,0,0,0,1944.1137059122648,0,0,0
Bahamas,BHS,1,2036,14219.283389650745,0,0,0,1860.461368207033,0,0,0
Bahamas,BHS,1,2037,14092.495225407269,0,0,0,1925.2261929791368,0,0,0
Bahamas,BHS,1,2038,14029.982037580785,0,0,0,1916.392928826382,0,0,0
Bahamas,BHS,1,2039,13970.936353201552,0,0,0,1908.0566488356585,0,0,0
Bahamas,BHS,1,2040,13911.738576979076,0,0,0,1899.8946328918462,0,0,0
Bahamas,BHS,1,2041,13915.615109034754,0,0,0,1819.510641588958,0,0,0
Bahamas,BHS,1,2042,13793.239832030837,0,0,0,1883.6888366388414,0,0,0
Bahamas,BHS,1,2043,13733.830058118574,0,0,0,1875.7697229192472,0,0,0
Bahamas,BHS,1,2044,13677.930432916786,0,0,0,1868.2987305572865,0,0,0
Bahamas,BHS,1,2045,13618.448796845949,0,0,0,1860.4619566142683,0,0,0
Bahamas,BHS,1,2046,13559.023493646664,0,0,0,1852.5606380907716,0,0,0
Bahamas,BHS,1,2047,13554.113480252498,0,0,0,1773.3016780155706,0,0,0
Bahamas,BHS,1,2048,13426.302735133493,0,0,0,1834.7702283446465,0,0,0
Bahamas,BHS,1,2049,13363.369821120456,0,0,0,1826.4178834121042,0,0,0
Bahamas,BHS,1,2050,13296.89426145571,0,0,0,1817.6546545360304,0,0,0
Bahamas,BHS,1,2051,13230.490815855539,0,0,0,1808.8087978450346,0,0,0
Bahamas,BHS,1,2052,13224.155537968385,0,0,0,1731.1805670865253,0,0,0
Bahamas,BHS,1,2053,13094.212590112691,0,0,0,1790.6244929386996,0,0,0
Bahamas,BHS,1,2054,13024.322186263196,0,0,0,1781.3039466982636,0,0,0
Belize,BLZ,1,2025,27314.863412507686,0,0,0,0,0,0,0
Belize,BLZ,1,2026,24302.891149164607,0,0,0,3314.457557763912,0,0,0
Belize,BLZ,1,2027,24259.845391141822,0,0,0,3305.6689503002726,0,0,0
Belize,BLZ,1,2028,24265.65534195117,0,0,0,3299.012731075269,0,0,0
Belize,BLZ,1,2029,24305.112850749865,0,0,0,3298.5037780685034,0,0,0
Belize,BLZ,1,2030,24488.607616806537,0,0,0,3177.7707635241104,0,0,0
Belize,BLZ,1,2031,24471.634401910873,0,0,0,3313.3273639454537,0,0,0
Belize,BLZ,1,2032,24574.44611891897,0,0,0,3325.1576762888403,0,0,0
Belize,BLZ,1,2033,24691.00574484819,0,0,0,3339.115790990685,0,0,0
Belize,BLZ,1,2034,24814.02036736651,0,0,0,3354.6176968906593,0,0,0
Belize,BLZ,1,2035,24947.28239770386,0,0,0,3371.788196243902,0,0,0
Belize,BLZ,1,2036,25193.233493778844,0,0,0,3259.9665887163715,0,0,0
Belize,BLZ,1,2037,25212.986168120016,0,0,0,3407.06877476541,0,0,0
Belize,BLZ,1,2038,25348.928863857684,0,0,0,3425.63750761694,0,0,0
Belize,BLZ,1,2039,25481.397493479322,0,0,0,3443.716782194638,0,0,0
Belize,BLZ,1,2040,25617.348202082012,0,0,0,3462.2763375786917,0,0,0
Belize,BLZ,1,2041,25862.262353099206,0,0,0,3347.175244016018,0,0,0
Belize,BLZ,1,2042,25878.50645450373,0,0,0,3498.2947142399976,0,0,0
Belize,BLZ,1,2043,26003.509884700947,0,0,0,3515.9873348322526,0,0,0
Belize,BLZ,1,2044,26125.263112711607,0,0,0,3532.9340796747106,0,0,0
Belize,BLZ,1,2045,26246.976942988334,0,0,0,3549.92595398304,0,0,0
Belize,BLZ,1,2046,26365.214079497408,0,0,0,3566.431381188804,0,0,0
Belize,BLZ,1,2047,26599.56347973771,0,0,0,3445.5555188063813,0,0,0
Belize,BLZ,1,2048,26594.9399798017,0,0,0,3598.2345081306544,0,0,0
Belize,BLZ,1,2049,26702.50361465184,0,0,0,3613.559419428567,0,0,0
Belize,BLZ,1,2050,26810.393887346472,0,0,0,3628.510183377548,0,0,0
Belize,BLZ,1,2051,26914.68060858737,0,0,0,3643.119809844052,0,0,0
Belize,BLZ,1,2052,27141.147233789186,0,0,0,3517.86610596568,0,0,0
Belize,BLZ,1,2053,27116.52989365216,0,0,0,3671.103591773906,0,0,0
Belize,BLZ,1,2054,27217.275053820733,0,0,0,3685.301076819706,0,0,0
Canada,CAN,1,2025,1476538.352647539,0,0,0,0,0,0,0
Canada,CAN,1,2026,1302070.849334539,0,0,0,179447.57446173448,0,0,0
Canada,CAN,1,2027,1289590.9340148803,0,0,0,177569.91863713705,0,0,0
Canada,CAN,1,2028,1279191.77347983,0,0,0,175847.10320561047,0,0,0
Canada,CAN,1,2029,1270303.89278719,0,0,0,174395.26633578062,0,0,0
Canada,CAN,1,2030,1268370.7344881052,0,0,0,166538.38358832328,0,0,0
Canada,CAN,1,2031,1255846.267560493,0,0,0,172083.76428808767,0,0,0
Canada,CAN,1,2032,1249750.7807060755,0,0,0,171147.0399835684,0,0,0
Canada,CAN,1,2033,1244208.7658160878,0,0,0,170304.76790993227,0,0,0
Canada,CAN,1,2034,1239075.533591037,0,0,0,169539.460408448,0,0,0
Canada,CAN,1,2035,1234249.9922186288,0,0,0,168832.84626688765,0,0,0
Canada,CAN,1,2036,1235260.1497685006,0,0,0,161743.22660622146,0,0,0
Canada,CAN,1,2037,1225244.0040388987,0,0,0,167538.71946875242,0,0,0
Canada,CAN,1,2038,1220893.5620750706,0,0,0,166935.89477102095,0,0,0
Canada,CAN,1,2039,1216616.9445451638,0,0,0,166342.35306100387,0,0,0
Canada,CAN,1,2040,1212378.3005355403,0,0,0,165758.94194961392,0,0,0
Canada,CAN,1,2041,1213663.3290128107,0,0,0,158868.41564015756,0,0,0
Canada,CAN,1,2042,1203956.571186195,0,0,0,164604.45149489294,0,0,0
Canada,CAN,1,2043,1199691.643129234,0,0,0,164033.27665564214,0,0,0
Canada,CAN,1,2044,1195403.0940202011,0,0,0,163453.4063663055,0,0,0
Canada,CAN,1,2045,1191082.3202905445,0,0,0,162870.22863328198,0,0,0
Canada,CAN,1,2046,1186715.560541925,0,0,0,162281.63107187144,0,0,0
Canada,CAN,1,2047,1187709.8926048807,0,0,0,155509.4916189056,0,0,0
Canada,CAN,1,2048,1177909.005389177,0,0,0,161089.77907199285,0,0,0
Canada,CAN,1,2049,1173400.357462488,0,0,0,160489.4252817792,0,0,0
Canada,CAN,1,2050,1168862.4814624665,0,0,0,159877.8603958936,0,0,0
Canada,CAN,1,2051,1164275.7091183288,0,0,0,159259.74027579342,0,0,0
Canada,CAN,1,2052,1164945.166203631,0,0,0,152573.63255079783,0,0,0
Canada,CAN,1,2053,1155030.619216936,0,0,0,158007.13532462774,0,0,0
Canada,CAN,1,2054,1150324.2818541848,0,0,0,157378.5014030353,0,0,0
Cuba,CUB,1,2025,377609.4250754574,0,0,0,0,0,0,0
Cuba,CUB,1,2026,331992.9516415005,0,0,0,45888.75903547078,0,0,0
Cuba,CUB,1,2027,328016.81825383945,0,0,0,45286.15969645429,0,0,0
Cuba,CUB,1,2028,324621.4175781756,0,0,0,44737.830340525514,0,0,0
Cuba,CUB,1,2029,321643.5305709986,0,0,0,44265.407340177975,0,0,0
Cuba,CUB,1,2030,320448.5422055005,0,0,0,42175.59361921441,0,0,0
Cuba,CUB,1,2031,316583.57343200233,0,0,0,43483.179742689535,0,0,0
Cuba,CUB,1,2032,314364.0172326321,0,0,0,43152.102353579634,0,0,0
Cuba,CUB,1,2033,312286.2698031624,0,0,0,42846.283591351355,0,0,0
Cuba,CUB,1,2034,310315.48383164604,0,0,0,42560.950794191776,0,0,0
Cuba,CUB,1,2035,308421.229387352,0,0,0,42290.7398618904,0,0,0
Cuba,CUB,1,2036,307982.59148605575,0,0,0,40425.098042211335,0,0,0
Cuba,CUB,1,2037,304782.7219385263,0,0,0,41779.599468600994,0,0,0
Cuba,CUB,1,2038,302988.5298122178,0,0,0,41533.30962451739,0,0,0
Cuba,CUB,1,2039,301211.9238686528,0,0,0,41289.2197589182,0,0,0
Cuba,CUB,1,2040,299437.6839158069,0,0,0,41046.889110201206,0,0,0
Cuba,CUB,1,2041,299024.57928383426,0,0,0,39245.841122458616,0,0,0
Cuba,CUB,1,2042,295888.35005857697,0,0,0,40563.20636586414,0,0,0
Cuba,CUB,1,2043,294097.4521478137,0,0,0,40322.082518794115,0,0,0
Cuba,CUB,1,2044,292296.98833436746,0,0,0,40078.509045421284,0,0,0
Cuba,CUB,1,2045,290482.42481342005,0,0,0,39833.21084845947,0,0,0
Cuba,CUB,1,2046,288660.88235246396,0,0,0,39586.96903310828,0,0,0
Cuba,CUB,1,2047,288138.10377468646,0,0,0,37835.54138634941,0,0,0
Cuba,CUB,1,2048,284983.6836191713,0,0,0,39088.87245124579,0,0,0
Cuba,CUB,1,2049,283122.6554837149,0,0,0,38838.70296284103,0,0,0
Cuba,CUB,1,2050,281248.9174185388,0,0,0,38585.21616632694,0,0,0
Cuba,CUB,1,2051,279364.8503026325,0,0,0,38330.1542413498,0,0,0
Cuba,CUB,1,2052,278744.59315184277,0,0,0,36618.85036887697,0,0,0
Cuba,CUB,1,2053,275584.1155288146,0,0,0,37816.58772811283,0,0,0
Cuba,CUB,1,2054,273678.39891913434,0,0,0,37559.511632021546,0,0,0
Ecuador,ECU,1,2025,1120393.9554297188,0,0,0,0,0,0,0
Ecuador,ECU,1,2026,991677.8098141771,0,0,0,135951.69748308032,0,0,0
Ecuador,ECU,1,2027,986043.8889408729,0,0,0,134950.98804796318,0,0,0
Ecuador,ECU,1,2028,983005.4289837821,0,0,0,134154.61815280875,0,0,0
Ecuador,ECU,1,2029,981859.8874243877,0,0,0,133697.06076712752,0,0,0
Ecuador,ECU,1,2030,986646.5007837114,0,0,0,128404.47142639058,0,0,0
Ecuador,ECU,1,2031,983720.4401627588,0,0,0,133523.1814795555,0,0,0
Ecuador,ECU,1,2032,986062.5402540653,0,0,0,133709.4008809569,0,0,0
Ecuador,ECU,1,2033,989079.3769838533,0,0,0,134012.0444390057,0,0,0
Ecuador,ECU,1,2034,992598.40999655,0,0,0,134409.7743366943,0,0,0
Ecuador,ECU,1,2035,996480.724663048,0,0,0,134878.48700539043,0,0,0
Ecuador,ECU,1,2036,1005144.7909892253,0,0,0,130226.28866233912,0,0,0
Ecuador,ECU,1,2037,1004999.0217177862,0,0,0,135958.11166803542,0,0,0
Ecuador,ECU,1,2038,1009414.3474642719,0,0,0,136549.17565058373,0,0,0
Ecuador,ECU,1,2039,1013896.5957112418,0,0,0,137148.49100237,0,0,0
Ecuador,ECU,1,2040,1018394.6517133937,0,0,0,137756.5123015011,0,0,0
Ecuador,ECU,1,2041,1027500.5606941975,0,0,0,133080.96070796417,0,0,0
Ecuador,ECU,1,2042,1027389.8449447022,0,0,0,138978.0761094721,0,0,0
Ecuador,ECU,1,2043,1031767.1749553287,0,0,0,139590.31810110886,0,0,0
Ecuador,ECU,1,2044,1036087.655905004,0,0,0,140187.2389986557,0,0,0
Ecuador,ECU,1,2045,1040337.1392488191,0,0,0,140776.1075764148,0,0,0
Ecuador,ECU,1,2046,1044509.1282748231,0,0,0,141355.42784401483,0,0,0
