country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Albania,ALB,1,2025,105597.93333278934,0,0,0,0,0,0,0
Albania,ALB,1,2026,92181.03444496242,0,0,0,12826.380192712064,0,0,0
Albania,ALB,1,2027,90623.025791574,0,0,0,12577.658613584168,0,0,0
Albania,ALB,1,2028,89329.53260920996,0,0,0,12361.109729384738,0,0,0
Albania,ALB,1,2029,88235.27413415085,0,0,0,12180.015916187269,0,0,0
Albania,ALB,1,2030,87701.08087446689,0,0,0,11567.483426108302,0,0,0
Albania,ALB,1,2031,86492.8659239399,0,0,0,11896.732337630767,0,0,0
Albania,ALB,1,2032,85783.05920353392,0,0,0,11784.72641666993,0,0,0
Albania,ALB,1,2033,85154.59907480101,0,0,0,11686.795563598476,0,0,0
Albania,ALB,1,2034,84583.22878032256,0,0,0,11599.442582791902,0,0,0
Albania,ALB,1,2035,84059.0733544394,0,0,0,11520.57183430345,0,0,0
Albania,ALB,1,2036,83950.46346841955,0,0,0,11010.523351432825,0,0,0
Albania,ALB,1,2037,83111.84230940141,0,0,0,11381.11513764341,0,0,0
Albania,ALB,1,2038,82667.65876076372,0,0,0,11317.894274077804,0,0,0
Albania,ALB,1,2039,82240.71193995111,0,0,0,11257.27383645719,0,0,0
Albania,ALB,1,2040,81827.13390484583,0,0,0,11199.215680280695,0,0,0
Albania,ALB,1,2041,81791.9261972042,0,0,0,10716.820435619951,0,0,0
Albania,ALB,1,2042,81016.43852254625,0,0,0,11086.589014991187,0,0,0
Albania,ALB,1,2043,80615.48162798789,0,0,0,11031.949822181436,0,0,0
Albania,ALB,1,2044,80218.11505653235,0,0,0,10977.666880972922,0,0,0
Albania,ALB,1,2045,79817.08413646393,0,0,0,10923.11251042339,0,0,0
Albania,ALB,1,2046,79416.04472286097,0,0,0,10868.567872463114,0,0,0
Albania,ALB,1,2047,79379.3304526362,0,0,0,10401.300699463229,0,0,0
Albania,ALB,1,2048,78620.89133772954,0,0,0,10760.483525831123,0,0,0
Albania,ALB,1,2049,78215.78684747855,0,0,0,10706.12663687255,0,0,0
Albania,ALB,1,2050,77811.05158925366,0,0,0,10651.346663032393,0,0,0
Albania,ALB,1,2051,77402.82816987573,0,0,0,10596.09337663793,0,0,0
Albania,ALB,1,2052,77346.38746041465,0,0,0,10138.008578007495,0,0,0
Albania,ALB,1,2053,76586.63385469864,0,0,0,10485.29744920762,0,0,0
Albania,ALB,1,2054,76171.09204542905,0,0,0,10429.489502163096,0,0,0
