country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Angola,AGO,1,2025,4253237.408033652,10209441.830760311,0,895254.2780484767,0,0,0,0
Angola,AGO,1,2026,4118469.415735621,8959008.493387166,0,966625.9264933936,429254.9143522295,1321300.782098008,0,105893.7680443972
Angola,AGO,1,2027,4335047.255820538,9129907.553025896,0,1120201.1649749007,461253.77685871645,1346513.6087667847,0,127769.60477334763
Angola,AGO,1,2028,4549324.91034064,9331940.010994911,0,1268940.5469496462,486504.64297502104,1376310.1309550323,0,148676.3844385072
Angola,AGO,1,2029,4758474.301504719,9561351.233703302,0,1413090.0996851127,510804.19961666426,1410144.571598418,0,168863.16392605862
Angola,AGO,1,2030,4985868.771965312,9872793.099855443,0,1560557.92203967,514471.6605247595,1393509.4468999866,0,181365.1763734284
Angola,AGO,1,2031,5171706.723166232,10091311.813221447,0,1689363.1615308255,557805.4716385697,1488304.8387765386,0,207383.9140381502
Angola,AGO,1,2032,5376408.635336389,10388156.720427293,0,1822368.3184568651,581172.2702134035,1532084.9955214849,0,225866.56154407794
Angola,AGO,1,2033,5582849.457687577,10703964.48942816,0,1952572.844449732,604308.7225821308,1578661.5298221677,0,243892.8031672416
Angola,AGO,1,2034,5791747.159726264,11037682.783652553,0,2080404.0347079616,627596.6866850243,1627879.5765894006,0,261530.66612929685
Angola,AGO,1,2035,6003919.894377345,11388555.187465189,0,2206287.1831416753,651149.6130524299,1679627.5770359838,0,278840.57184629585
Angola,AGO,1,2036,6246852.144165952,11824970.463749157,0,2342389.2388941785,649784.0982431758,1669052.2963358962,0,284813.2666340968
Angola,AGO,1,2037,6443346.462402151,12139719.50747981,0,2453867.993576394,699413.1139947633,1790411.7495249175,0,312691.90856981534
Angola,AGO,1,2038,6668504.7460733345,12539793.314280309,0,2576321.6543771178,724529.1835979027,1849416.5675622548,0,329370.59379274136
Angola,AGO,1,2039,6899654.0629788535,12955613.106932733,0,2698408.4132739017,749918.4839066699,1910743.257517884,0,345930.7460250244
Angola,AGO,1,2040,7136895.761921253,13387178.511987166,0,2820477.1146352347,775940.6664954191,1974392.1701584142,0,362432.13636508834
Angola,AGO,1,2041,7412479.371887917,13915701.40461752,0,2957925.5293699405,772591.2872927896,1964151.4915556333,0,364753.1971527441
Angola,AGO,1,2042,7634281.7251501065,14297955.237574793,0,3065944.2775671775,830079.3502810925,2108716.517666007,0,395439.0538827197
Angola,AGO,1,2043,7891305.926079525,14778061.20262287,0,3189953.272616482,858587.7028496726,2179524.8563456386,0,412067.2595697684
Angola,AGO,1,2044,8156387.701845968,15274521.83006431,0,3315262.5805776655,887553.9110946186,2252744.764651695,0,428809.4101399646
Angola,AGO,1,2045,8429468.540332645,15787675.7628396,0,3442152.0140653644,917380.9266548246,2328426.6649049395,0,445717.6698881999
Angola,AGO,1,2046,8710876.727666803,16317905.55544307,0,3570914.838211625,948106.8378818356,2406626.9781481656,0,462834.69597517344
Angola,AGO,1,2047,9039824.14085516,16964536.08185967,0,3720904.1244219583,943082.5694268799,2394483.6044464367,0,462241.070464431
Angola,AGO,1,2048,9303744.542363577,17431340.838289376,0,3835182.06604323,1012405.2734741707,2570840.078297029,0,497829.1002597715
Angola,AGO,1,2049,9611162.682180054,18016118.94526165,0,3971179.6608038326,1046426.3242470138,2657085.9690107782,0,515819.6891017323
Angola,AGO,1,2050,9928843.640857283,18619721.029172968,0,4110138.5304732067,1081063.3430386444,2746107.5083874315,0,534153.0952671771
Angola,AGO,1,2051,10256655.503612958,19242737.77501197,0,4252295.49412776,1116801.1630326782,2837992.395645746,0,552877.7719879029
Angola,AGO,1,2052,10640720.531095805,20002377.774330866,0,4420618.662411839,1110480.332527286,2823264.097324009,0,550637.1484988581
Angola,AGO,1,2053,10948462.65031172,20549450.325280122,0,4547202.969345628,1191734.7553879747,3030710.6602684353,0,591617.4267934423
Angola,AGO,1,2054,11307620.353965024,21235188.05325811,0,4700387.466360609,1231450.2884748129,3131846.5656717364,0,611744.542150569
Burundi,BDI,1,2025,1376983.9654276397,3786473.117310163,0,305169.49178584723,0,0,0,0
Burundi,BDI,1,2026,1312104.4572833455,3285575.4933377896,0,333918.56576928374,139382.53799120698,484566.2856769944,0,36139.05187687933
Burundi,BDI,1,2027,1365155.0952787695,3308273.9458335424,0,390217.4168199091,147669.1788631388,487916.87790755753,0,44139.841576842206
Burundi,BDI,1,2028,1417701.8590781018,3339982.5297195856,0,444856.10060776095,153920.57723328553,492593.38202765596,0,51809.223923289814
Burundi,BDI,1,2029,1468669.458093315,3379637.8240885227,0,497853.75623126293,159903.81151870068,498441.89540456876,0,59230.561391000054
Burundi,BDI,1,2030,1525142.3570262322,3446444.875782325,0,551935.8634106112,159494.46748781385,486453.38175684813,0,63939.99834913794
Burundi,BDI,1,2031,1568404.189601345,3479423.902120292,0,599293.1134921566,171366.20962076125,513158.6086830725,0,73403.73214123635
Burundi,BDI,1,2032,1617154.514501997,3538389.4168165373,0,647934.2447250317,177012.97704152996,521855.184347304,0,80192.02447816874
Burundi,BDI,1,2033,1665938.850473871,3602641.2522532973,0,695345.2090074877,182548.6300353409,531331.2899325223,0,86793.92924141591
Burundi,BDI,1,2034,1714890.1324952776,3671814.1348952837,0,741628.5002323235,188075.39201792981,541533.1703176332,0,93226.59412362393
Burundi,BDI,1,2035,1764189.3979409528,3745577.6763401055,0,786889.409705488,193618.50128988328,552412.0986422412,0,99504.52473085861
Burundi,BDI,1,2036,1821884.750793347,3846119.003999062,0,835432.214510242,191740.1694082648,542865.9537561644,0,101691.28137333295
Burundi,BDI,1,2037,1865088.7007774417,3905946.552538166,0,874778.678644878,204832.7948080225,576063.7807983946,0,111651.0072082611
Burundi,BDI,1,2038,1916028.2279862487,3992282.118382237,0,917602.2737381946,210605.37798824435,588797.010628058,0,117556.68679960359
Burundi,BDI,1,2039,1967888.02359414,4082399.8817421794,0,959822.2513338762,216376.12367452774,602087.9223027988,0,123361.56694212038
Burundi,BDI,1,2040,2020657.7501781376,4176212.777770477,0,1001525.7087798826,222240.13161617395,615923.8061746852,0,129081.48811007774
Burundi,BDI,1,2041,2083459.1220134667,4298694.1347438665,0,1048166.7936868527,219661.56126937564,606745.3148402467,0,129692.02241695976
Burundi,BDI,1,2042,2129990.333285186,4374602.408961059,0,1083781.9875890373,234281.85851812077,645182.919041598,0,140316.95273111088
Burundi,BDI,1,2043,2185654.591250096,4479204.956920521,0,1124496.0479295729,240554.77264928285,660610.2489617836,0,145866.89977490457
Burundi,BDI,1,2044,2242594.4727162835,4587250.63408011,0,1165053.2337749703,246857.3750420165,676545.2379443971,0,151378.33510599227
Burundi,BDI,1,2045,2300755.0794031085,4698704.527754771,0,1205531.6585569875,253292.02040953079,692982.8836073902,0,156866.08542132896
Burundi,BDI,1,2046,2360177.739062956,4813584.026695565,0,1246012.4116747738,259863.9846363092,709925.7506277689,0,162342.17623529097
Burundi,BDI,1,2047,2431496.5435155216,4960809.3637142675,0,1293241.147985225,256598.11826981194,700200.5124088358,0,161541.85809337368
Burundi,BDI,1,2048,2483951.3710040725,5053628.691090709,0,1327290.5737283318,273442.6785981768,745328.2842355632,0,173296.0630722275
Burundi,BDI,1,2049,2547199.971221291,5178976.127138291,0,1368212.824576692,280553.45220055606,763815.1723166107,0,178804.65189103078
Burundi,BDI,1,2050,2612045.61482889,5307775.407763482,0,1409425.0694798396,287713.1908984179,782810.9820722943,0,184336.88861812121
Burundi,BDI,1,2051,2678404.232037931,5440069.849226593,0,1450990.1045901685,295039.11753583065,802322.2713602982,0,189906.2389402452
Burundi,BDI,1,2052,2758330.7669797083,5608590.860146683,0,1500736.2832649632,291209.4007600027,791632.5553022377,0,188210.2456958762
Burundi,BDI,1,2053,2816908.5904389536,5715318.279613582,0,1535426.2809563864,310210.3146975978,842916.7686444651,0,201184.9961217481
Burundi,BDI,1,2054,2887788.3362535713,5858576.220250808,0,1578406.2697799972,318171.70403538307,864045.1885726411,0,206924.47182479303
Benin,BEN,1,2025,1493404.569044068,3602808.7126061344,0,375648.8732605243,0,0,0,0
Benin,BEN,1,2026,1447516.5232224318,3155932.746479776,0,398466.0495608918,150251.7952768461,465446.1941017662,0,44484.06401712606
Benin,BEN,1,2027,1523417.3785330474,3210965.8995094444,0,456577.42566669337,161546.00554923457,473565.50460152596,0,52820.013015174125
Benin,BEN,1,2028,1597539.4742264291,3277147.8966785753,0,512524.96173659025,170375.6439455897,483326.27959943673,0,60746.5756909927
Benin,BEN,1,2029,1669055.1329190305,3352945.935013264,0,566428.34217883,178764.799602266,494505.2629086466,0,68356.52732954794
Benin,BEN,1,2030,1746234.8560266534,3457332.924628288,0,621468.5671018044,179848.28300977626,487990.180674396,0,72851.9446958199
Benin,BEN,1,2031,1808242.5379551153,3528903.9121791874,0,668825.9764355085,194717.6130368105,520456.09756144125,0,82750.82733834752
Benin,BEN,1,2032,1876277.5000632426,3627524.719270237,0,717682.2069264486,202533.04699703644,535001.1884568086,0,89595.32217330087
Benin,BEN,1,2033,1944388.3888384826,3732309.985634417,0,765230.800999765,210204.12648245093,550455.3192590665,0,96231.70006432508
Benin,BEN,1,2034,2012852.707703838,3842816.186754124,0,811640.9546807745,217867.43916759337,566753.1953058555,0,102686.89610774099
Benin,BEN,1,2035,2081970.6830855429,3958704.239785838,0,857081.3773942717,225565.41429301773,583844.8074598223,0,108985.14003227226
