country,country_code,vacc_program,year,age1,age2,age3,age4
Afghanistan,AFG,1,2025,4160697.380574064,10592513.882521147,0,887731.1889614288
Afghanistan,AFG,1,2026,3904068.070862229,9244623.021839436,0,984242.7282944366
Afghanistan,AFG,1,2027,4032210.2597773178,9362556.960983334,0,1157591.1068729898
Afghanistan,AFG,1,2028,4164061.483878044,9497944.09076659,0,1324501.9644585683
Afghanistan,AFG,1,2029,4295884.1363234,9649453.894770619,0,1485255.5065700565
Afghanistan,AFG,1,2030,4447562.272996369,9874087.669442436,0,1648236.296367479
Afghanistan,AFG,1,2031,4562669.288263194,9996528.548844026,0,1790135.1264249727
Afghanistan,AFG,1,2032,4696475.883566018,10190601.567352151,0,1935145.1619302465
Afghanistan,AFG,1,2033,4831945.85623421,10397189.809580104,0,2075820.4399715064
Afghanistan,AFG,1,2034,4969132.121573793,10615707.705070762,0,2212569.033107849
Afghanistan,AFG,1,2035,5108251.932278372,10845674.219228739,0,2345798.854576454
Afghanistan,AFG,1,2036,5272614.384370929,11152328.538865022,0,2488504.5432235384
Afghanistan,AFG,1,2037,5394803.157534068,11338390.096068079,0,2603253.399639212
Afghanistan,AFG,1,2038,5540354.369806087,11600810.043602549,0,2728186.7877102583
Afghanistan,AFG,1,2039,5688819.422668972,11873332.067303244,0,2851074.0686621075
Afghanistan,AFG,1,2040,5840108.4543211,12155779.434354164,0,2972236.053732209
Afghanistan,AFG,1,2041,6020793.825913404,12521732.919246774,0,3107998.2075242973
Afghanistan,AFG,1,2042,6153712.536943472,12749961.544457102,0,3210637.393163974
Afghanistan,AFG,1,2043,6313734.884691083,13061871.870487988,0,3328425.7775290674
Afghanistan,AFG,1,2044,6477431.913163139,13383291.040892977,0,3445673.4956707577
Afghanistan,AFG,1,2045,6644665.155812263,13714234.692709858,0,3562622.0160330124
Afghanistan,AFG,1,2046,6815555.740786439,14054726.877383009,0,3679519.7791623906
Afghanistan,AFG,1,2047,7021073.365348448,14490119.654142587,0,3816449.5713501107
Afghanistan,AFG,1,2048,7171138.456709318,14764589.806463506,0,3914121.7028390383
Afghanistan,AFG,1,2049,7353091.836082456,15134512.818391487,0,4032233.1855975147
Afghanistan,AFG,1,2050,7539572.262313094,15514209.306431042,0,4151194.4820570475
Afghanistan,AFG,1,2051,7730394.656422477,15903831.137951745,0,4271197.553410657
Afghanistan,AFG,1,2052,7960674.233078336,16400061.41377768,0,4415475.281584421
Afghanistan,AFG,1,2053,8128220.805570804,16713468.680009337,0,4515089.201281192
Afghanistan,AFG,1,2054,8332077.570135382,17134293.088047534,0,4639291.942712394
United Arab Emirates,ARE,1,2025,277256.5315208139,873288.4895503637,0,216538.43354704778
United Arab Emirates,ARE,1,2026,246727.11644948498,752089.8948702588,0,280214.7609866017
United Arab Emirates,ARE,1,2027,246271.63302734745,749652.0250041969,0,353930.42843252386
United Arab Emirates,ARE,1,2028,246514.48280630104,747286.9392060055,0,422752.6593564685
United Arab Emirates,ARE,1,2029,247177.8190561923,745106.2500388436,0,486947.1305286473
United Arab Emirates,ARE,1,2030,249270.01393304067,747590.8155423519,0,549429.8395510034
United Arab Emirates,ARE,1,2031,249332.50192583757,741578.6879716449,0,602485.1204831556
United Arab Emirates,ARE,1,2032,250591.65886859907,740303.923558392,0,654320.93971124175
United Arab Emirates,ARE,1,2033,251917.6679098298,739365.9065422491,0,702501.996758549
United Arab Emirates,ARE,1,2034,253257.17878743305,738740.5618822225,0,747244.4002492685
United Arab Emirates,ARE,1,2035,254578.5238561517,738419.8723329309,0,788745.616077425
United Arab Emirates,ARE,1,2036,257019.3900402859,742743.9234987921,0,831555.277587325
United Arab Emirates,ARE,1,2037,257112.7302700887,738572.2232014248,0,862792.6516751212
United Arab Emirates,ARE,1,2038,258227.26112635623,738997.1137228428,0,895689.3737403663
United Arab Emirates,ARE,1,2039,259264.51642730436,739622.4584553726,0,926053.7560130386
United Arab Emirates,ARE,1,2040,260207.23465917166,740408.1479890276,0,954040.310913004
United Arab Emirates,ARE,1,2041,262248.8117890175,745719.8026387121,0,985075.654003602
United Arab Emirates,ARE,1,2042,261863.17154841052,742348.3434287547,0,1003446.7739936319
United Arab Emirates,ARE,1,2043,262503.2500462834,743462.7164471373,0,1025132.0297049161
United Arab Emirates,ARE,1,2044,263056.93484684115,744625.2162340417,0,1044974.3280848028
United Arab Emirates,ARE,1,2045,263514.3672968782,745819.7849855403,0,1063090.70277436
United Arab Emirates,ARE,1,2046,263886.721401595,747030.3882139714,0,1079584.9811588754
United Arab Emirates,ARE,1,2047,265378.5849205135,752655.4556540601,0,1100560.168721648
United Arab Emirates,ARE,1,2048,264429.3068862653,749403.5147961201,0,1108130.9047295977
United Arab Emirates,ARE,1,2049,264536.19806917856,750557.9737743498,0,1120364.73306574
United Arab Emirates,ARE,1,2050,264576.8040114526,751656.3356262113,0,1131361.9264800118
United Arab Emirates,ARE,1,2051,264548.91937170434,752682.5423253423,0,1141199.201384652
United Arab Emirates,ARE,1,2052,265665.9807675254,758099.136735087,0,1156298.265020926
United Arab Emirates,ARE,1,2053,264354.78653949185,754518.5139780617,0,1157704.6850495394
United Arab Emirates,ARE,1,2054,264116.43921779614,755328.2314667641,0,1164507.0520016497
Armenia,ARM,1,2025,94721.84101973765,345539.26391845103,0,265819.89288652677
Armenia,ARM,1,2026,85833.98768074733,294970.5402687012,0,238321.12862627918
Armenia,ARM,1,2027,86286.2845869115,291843.5698604178,0,243497.49469903018
Armenia,ARM,1,2028,86715.53748342104,289021.5013400392,0,248312.90925738003
Armenia,ARM,1,2029,87064.05983359949,286472.0190533834,0,252770.77680350878
Armenia,ARM,1,2030,87746.74294184464,285845.68168199615,0,258288.1870625369
Armenia,ARM,1,2031,87591.227560117,282070.56323615555,0,260705.3048630454
Armenia,ARM,1,2032,87761.88366102512,280162.45125640044,0,264210.6853695492
Armenia,ARM,1,2033,87897.42270600278,278414.6929546953,0,267438.2652152745
Armenia,ARM,1,2034,87994.96759952263,276811.24497374106,0,270395.71207397146
Armenia,ARM,1,2035,88062.80319443445,275336.0728305861,0,273099.2008903261
Armenia,ARM,1,2036,88504.24530206027,275595.4317675157,0,277072.19978224894
Armenia,ARM,1,2037,88135.85736892508,272706.42672696454,0,277811.5295845796
Armenia,ARM,1,2038,88119.47957324349,271535.9011140197,0,279849.1416937
Armenia,ARM,1,2039,88092.43477544551,270445.55648140534,0,281686.53821997985
Armenia,ARM,1,2040,88043.42823987191,269411.33253086294,0,283336.91488805617
Armenia,ARM,1,2041,88384.42800916398,270038.84466521133,0,286378.5297500398
Armenia,ARM,1,2042,87929.18659477666,267535.3068100063,0,286130.7299351486
Armenia,ARM,1,2043,87836.65635313156,266669.4364760381,0,287292.0737166173
Armenia,ARM,1,2044,87736.01972764013,265851.67799866054,0,288309.4588711543
Armenia,ARM,1,2045,87621.67432998933,265065.9884835897,0,289195.97792483633
Armenia,ARM,1,2046,87501.97446033695,264312.3679278001,0,289956.9505152486
Armenia,ARM,1,2047,87769.53367170264,265135.4992837684,0,292197.08648272126
Armenia,ARM,1,2048,87248.48490284137,262869.27301081805,0,291132.2604737255
Armenia,ARM,1,2049,87093.25720299351,262187.79934077204,0,291561.9254268149
Armenia,ARM,1,2050,86935.38842960108,261522.36842010348,0,291898.5354313875
Armenia,ARM,1,2051,86774.77603223477,260864.95474221933,0,292144.3698272488
Armenia,ARM,1,2052,87006.35509067065,261764.44932448273,0,293919.31115420884
Armenia,ARM,1,2053,86455.79131901116,259590.22175817622,0,292396.36695419345
Armenia,ARM,1,2054,86273.2660364783,258980.90335002352,0,292412.4113617732
Azerbaijan,AZE,1,2025,359295.39389284555,1509450.7404188833,0,622174.1717601162
Azerbaijan,AZE,1,2026,323981.2360221669,1278774.8990127884,0,591692.9620910325
Azerbaijan,AZE,1,2027,324883.415211365,1255539.8658158302,0,630801.9629950569
Azerbaijan,AZE,1,2028,325989.83219902887,1234077.7143654232,0,667269.9020190666
