country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Afghanistan,AFG,1,2025,5257224.157695346,0,0,0,0,0,0,0
Afghanistan,AFG,1,2026,4723097.041599082,0,0,0,632759.245940671,0,0,0
Afghanistan,AFG,1,2027,4752086.060557157,0,0,0,635983.8503352384,0,0,0
Afghanistan,AFG,1,2028,4797908.247517171,0,0,0,639786.9905363421,0,0,0
Afghanistan,AFG,1,2029,4856077.621566917,0,0,0,645686.7793870728,0,0,0
Afghanistan,AFG,1,2030,4946143.0541753005,0,0,0,628345.0161817069,0,0,0
Afghanistan,AFG,1,2031,5001411.82831787,0,0,0,662312.0242128593,0,0,0
Afghanistan,AFG,1,2032,5084660.337607713,0,0,0,672540.5609935471,0,0,0
Afghanistan,AFG,1,2033,5173684.777028474,0,0,0,683642.7745400929,0,0,0
Afghanistan,AFG,1,2034,5267493.426623326,0,0,0,695534.5992642087,0,0,0
Afghanistan,AFG,1,2035,5365359.226338052,0,0,0,708088.0589049476,0,0,0
Afghanistan,AFG,1,2036,5490788.656835993,0,0,0,693655.9284324811,0,0,0
Afghanistan,AFG,1,2037,5571676.304298479,0,0,0,734793.5008512904,0,0,0
Afghanistan,AFG,1,2038,5678585.200110469,0,0,0,748875.419321115,0,0,0
Afghanistan,AFG,1,2039,5787999.977831585,0,0,0,763242.0023953374,0,0,0
Afghanistan,AFG,1,2040,5899644.454943655,0,0,0,777941.4153853407,0,0,0
Afghanistan,AFG,1,2041,6039841.340007645,0,0,0,762658.902295624,0,0,0
Afghanistan,AFG,1,2042,6129706.340610287,0,0,0,808229.3803587175,0,0,0
Afghanistan,AFG,1,2043,6247125.279686105,0,0,0,823862.1755362753,0,0,0
Afghanistan,AFG,1,2044,6366498.399062871,0,0,0,839660.8499324531,0,0,0
Afghanistan,AFG,1,2045,6487714.863519791,0,0,0,855712.0706427668,0,0,0
Afghanistan,AFG,1,2046,6610766.173173179,0,0,0,872012.1691401886,0,0,0
Afghanistan,AFG,1,2047,6765333.9548112685,0,0,0,854622.5612498451,0,0,0
Afghanistan,AFG,1,2048,6863149.34809261,0,0,0,905355.0081424067,0,0,0
Afghanistan,AFG,1,2049,6991607.974928146,0,0,0,922490.6860990879,0,0,0
Afghanistan,AFG,1,2050,7122099.706293289,0,0,0,939777.8253369109,0,0,0
Afghanistan,AFG,1,2051,7254575.355883556,0,0,0,957326.3136688665,0,0,0
Afghanistan,AFG,1,2052,7421637.068822704,0,0,0,937896.6187943221,0,0,0
Afghanistan,AFG,1,2053,7526444.581575359,0,0,0,993226.853632178,0,0,0
Afghanistan,AFG,1,2054,7664933.233353261,0,0,0,1011690.2489703787,0,0,0
United Arab Emirates,ARE,1,2025,350325.82330920105,0,0,0,0,0,0,0
United Arab Emirates,ARE,1,2026,305906.60516737186,0,0,0,42570.612959943624,0,0,0
United Arab Emirates,ARE,1,2027,301254.9947143459,0,0,0,41754.03303035122,0,0,0
United Arab Emirates,ARE,1,2028,297757.4718371967,0,0,0,41099.176237218024,0,0,0
United Arab Emirates,ARE,1,2029,295117.3341865087,0,0,0,40601.816593208314,0,0,0
United Arab Emirates,ARE,1,2030,294474.3051167196,0,0,0,38688.65611768549,0,0,0
United Arab Emirates,ARE,1,2031,291653.9060708256,0,0,0,39943.689665735015,0,0,0
United Arab Emirates,ARE,1,2032,290534.28743990266,0,0,0,39733.5501331539,0,0,0
United Arab Emirates,ARE,1,2033,289678.7896448574,0,0,0,39573.91683371474,0,0,0
United Arab Emirates,ARE,1,2034,289008.73862243316,0,0,0,39452.12218456509,0,0,0
United Arab Emirates,ARE,1,2035,288466.975177474,0,0,0,39357.66769840246,0,0,0
United Arab Emirates,ARE,1,2036,289313.8235253262,0,0,0,37780.48862484743,0,0,0
United Arab Emirates,ARE,1,2037,287590.7469953078,0,0,0,39217.31853160474,0,0,0
United Arab Emirates,ARE,1,2038,287172.8912982994,0,0,0,39159.691770139,0,0,0
United Arab Emirates,ARE,1,2039,286746.64732991403,0,0,0,39102.73608532101,0,0,0
United Arab Emirates,ARE,1,2040,286293.9694259544,0,0,0,39044.77791537423,0,0,0
United Arab Emirates,ARE,1,2041,287109.5408713161,0,0,0,37494.48462827582,0,0,0
United Arab Emirates,ARE,1,2042,285284.41246155853,0,0,0,38918.623679676435,0,0,0
United Arab Emirates,ARE,1,2043,284698.258092703,0,0,0,38848.21083019127,0,0,0
United Arab Emirates,ARE,1,2044,284053.5845477268,0,0,0,38768.858520650545,0,0,0
United Arab Emirates,ARE,1,2045,283356.4608642034,0,0,0,38682.552894590815,0,0,0
United Arab Emirates,ARE,1,2046,282599.8711110539,0,0,0,38588.392711273766,0,0,0
United Arab Emirates,ARE,1,2047,283072.1106995096,0,0,0,37015.703490453874,0,0,0
United Arab Emirates,ARE,1,2048,280931.1538869599,0,0,0,38377.135461526785,0,0,0
United Arab Emirates,ARE,1,2049,280006.4556880566,0,0,0,38261.03175841346,0,0,0
United Arab Emirates,ARE,1,2050,279034.42747083516,0,0,0,38136.57817588008,0,0,0
United Arab Emirates,ARE,1,2051,278013.7976146774,0,0,0,38005.231716668946,0,0,0
United Arab Emirates,ARE,1,2052,278208.41411821684,0,0,0,36419.796061074245,0,0,0
United Arab Emirates,ARE,1,2053,275841.97283930605,0,0,0,37722.278491310855,0,0,0
United Arab Emirates,ARE,1,2054,274688.64443033264,0,0,0,37573.116319922476,0,0,0
Armenia,ARM,1,2025,119685.2126750051,0,0,0,0,0,0,0
Armenia,ARM,1,2026,104300.19844615024,0,0,0,14531.789544914769,0,0,0
Armenia,ARM,1,2027,102401.78422740228,0,0,0,14226.09381824543,0,0,0
Armenia,ARM,1,2028,100852.65534396362,0,0,0,13962.72314093483,0,0,0
Armenia,ARM,1,2029,99560.01070275776,0,0,0,13745.204131826098,0,0,0
Armenia,ARM,1,2030,98929.55065143794,0,0,0,13046.316847059583,0,0,0
