country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Australia,AUS,1,2025,681615.5370257908,0,0,0,0,0,0,0
Australia,AUS,1,2026,598304.593643794,0,0,0,44696.55632104028,0,0,0
Australia,AUS,1,2027,591203.0188823753,0,0,0,44053.64087757832,0,0,0
Australia,AUS,1,2028,585651.5740455046,0,0,0,43523.38333132753,0,0,0
Australia,AUS,1,2029,581284.2750380929,0,0,0,43105.80094484913,0,0,0
Australia,AUS,1,2030,577845.8962595725,0,0,0,42777.056499754945,0,0,0
Australia,AUS,1,2031,577764.5073276627,0,0,0,40990.14998034631,0,0,0
Australia,AUS,1,2032,573006.3308280142,0,0,0,42314.33072832562,0,0,0
Australia,AUS,1,2033,571300.1999774692,0,0,0,42154.09233845471,0,0,0
Australia,AUS,1,2034,569929.7435342383,0,0,0,42025.73441152229,0,0,0
Australia,AUS,1,2035,568814.1718698529,0,0,0,41922.72838690039,0,0,0
Australia,AUS,1,2036,570476.3427658881,0,0,0,40335.094379847986,0,0,0
Australia,AUS,1,2037,567117.8008435263,0,0,0,41769.84785198097,0,0,0
Australia,AUS,1,2038,566427.2784208393,0,0,0,41711.99616907438,0,0,0
Australia,AUS,1,2039,565808.2643815745,0,0,0,41660.84921271284,0,0,0
Australia,AUS,1,2040,565227.9097645693,0,0,0,41614.62559924323,0,0,0
Australia,AUS,1,2041,564673.0840009106,0,0,0,41571.82589329775,0,0,0
Australia,AUS,1,2042,566691.7039195421,0,0,0,40037.80503940654,0,0,0
Australia,AUS,1,2043,563585.4350922357,0,0,0,41490.39399217416,0,0,0
Australia,AUS,1,2044,563016.4764136238,0,0,0,41450.58487884476,0,0,0
Australia,AUS,1,2045,562428.5054549972,0,0,0,41408.78123538113,0,0,0
Australia,AUS,1,2046,561820.0540612903,0,0,0,41365.83507654042,0,0,0
Australia,AUS,1,2047,561183.2341422747,0,0,0,41321.11292623704,0,0,0
Australia,AUS,1,2048,563067.8851483093,0,0,0,39790.629504976336,0,0,0
Australia,AUS,1,2049,559830.6393306488,0,0,0,41225.376867566156,0,0,0
Australia,AUS,1,2050,559099.9929101616,0,0,0,41175.17655743981,0,0,0
Australia,AUS,1,2051,558337.1314545464,0,0,0,41121.52414428814,0,0,0
Australia,AUS,1,2052,557546.435832309,0,0,0,41065.78563363497,0,0,0
Australia,AUS,1,2053,559261.0157503954,0,0,0,39533.747350639554,0,0,0
Australia,AUS,1,2054,555886.838724377,0,0,0,40947.58214949301,0,0,0
Fiji,FJI,1,2025,38489.785460159175,0,0,0,0,0,0,0
Fiji,FJI,1,2026,33567.35699668331,0,0,0,2514.8581471769367,0,0,0
Fiji,FJI,1,2027,33028.958384339654,0,0,0,2463.8431139878385,0,0,0
Fiji,FJI,1,2028,32635.745579199756,0,0,0,2423.67185808407,0,0,0
Fiji,FJI,1,2029,32348.374767437217,0,0,0,2393.725483718975,0,0,0
Fiji,FJI,1,2030,32149.791159367465,0,0,0,2372.17857643683,0,0,0
Fiji,FJI,1,2031,32162.229274202204,0,0,0,2272.293160474714,0,0,0
Fiji,FJI,1,2032,31937.349439914706,0,0,0,2346.946748462468,0,0,0
Fiji,FJI,1,2033,31894.272816403965,0,0,0,2340.677711362509,0,0,0
Fiji,FJI,1,2034,31880.091531094098,0,0,0,2337.181609589155,0,0,0
Fiji,FJI,1,2035,31890.876177671576,0,0,0,2336.133375550196,0,0,0
Fiji,FJI,1,2036,32061.261844927507,0,0,0,2252.673471933483,0,0,0
