country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Albania,ALB,1,2025,60341.67619016543,0,0,0,0,0,0,0
Albania,ALB,1,2026,52489.280614524294,0,0,0,3952.0571255063946,0,0,0
Albania,ALB,1,2027,51487.790642173444,0,0,0,3863.642457743643,0,0,0
Albania,ALB,1,2028,50659.95741158261,0,0,0,3789.0898086119755,0,0,0
Albania,ALB,1,2029,49965.21728072752,0,0,0,3727.1849559987154,0,0,0
Albania,ALB,1,2030,49601.92352791904,0,0,0,3543.155401860086,0,0,0
Albania,ALB,1,2031,48869.02055277175,0,0,0,3631.186437142934,0,0,0
Albania,ALB,1,2032,48428.72477632959,0,0,0,3593.578915401394,0,0,0
Albania,ALB,1,2033,48038.581123353455,0,0,0,3560.737979236738,0,0,0
Albania,ALB,1,2034,47688.90531121932,0,0,0,3531.770136832296,0,0,0
Albania,ALB,1,2035,47371.95451976837,0,0,0,3505.9578742944045,0,0,0
Albania,ALB,1,2036,47293.332479091594,0,0,0,3357.276948992155,0,0,0
Albania,ALB,1,2037,46803.36806381048,0,0,0,3460.7229564544023,0,0,0
Albania,ALB,1,2038,46539.94282716716,0,0,0,3440.3255526885196,0,0,0
Albania,ALB,1,2039,46288.17157996208,0,0,0,3420.9816536552307,0,0,0
Albania,ALB,1,2040,46041.98832132224,0,0,0,3402.30315720628,0,0,0
Albania,ALB,1,2041,46012.813422369996,0,0,0,3262.6989391709812,0,0,0
Albania,ALB,1,2042,45566.955954546436,0,0,0,3366.611627239528,0,0,0
Albania,ALB,1,2043,45334.00573979482,0,0,0,3349.3729871650435,0,0,0
Albania,ALB,1,2044,45101.003349262515,0,0,0,3332.1646156713996,0,0,0
Albania,ALB,1,2045,44867.934114499876,0,0,0,3314.995022294958,0,0,0
Albania,ALB,1,2046,44634.83447743953,0,0,0,3297.8430659898063,0,0,0
Albania,ALB,1,2047,44604.51340628933,0,0,0,3162.8182928831952,0,0,0
Albania,ALB,1,2048,44170.52883407142,0,0,0,3263.742993757435,0,0,0
Albania,ALB,1,2049,43935.14072554016,0,0,0,3246.616250850129,0,0,0
Albania,ALB,1,2050,43697.944699216605,0,0,0,3229.23594289883,0,0,0
Albania,ALB,1,2051,43460.754685287924,0,0,0,3211.8521464875867,0,0,0
Albania,ALB,1,2052,43419.03537217369,0,0,0,3079.541677425155,0,0,0
Albania,ALB,1,2053,42986.41811081378,0,0,0,3177.059344331805,0,0,0
Albania,ALB,1,2054,42745.04202310756,0,0,0,3159.499220561015,0,0,0
Austria,AUT,1,2025,184774.193145979,0,0,0,0,0,0,0
Austria,AUT,1,2026,162366.8317848913,0,0,0,12117.85741715373,0,0,0
Austria,AUT,1,2027,160445.5649324849,0,0,0,11954.810804237228,0,0,0
Austria,AUT,1,2028,158817.20544994588,0,0,0,11811.987241061692,0,0,0
Austria,AUT,1,2029,157414.5167105396,0,0,0,11690.61968947644,0,0,0
Austria,AUT,1,2030,156903.60226993295,0,0,0,11169.752222452642,0,0,0
Austria,AUT,1,2031,155096.72264258398,0,0,0,11494.519074314348,0,0,0
Austria,AUT,1,2032,154111.47774590636,0,0,0,11413.59201140415,0,0,0
Austria,AUT,1,2033,153207.26667855124,0,0,0,11340.354556393098,0,0,0
Austria,AUT,1,2034,152366.44569579512,0,0,0,11273.321099064196,0,0,0
Austria,AUT,1,2035,151575.49397250486,0,0,0,11211.218916739423,0,0,0
Austria,AUT,1,2036,151506.48333722033,0,0,0,10751.670475024695,0,0,0
Austria,AUT,1,2037,150091.3813742557,0,0,0,11096.704775196953,0,0,0
Austria,AUT,1,2038,149378.11834762731,0,0,0,11042.9308259607,0,0,0
Austria,AUT,1,2039,148680.52407861353,0,0,0,10990.486091831324,0,0,0
Austria,AUT,1,2040,147992.274277657,0,0,0,10939.13229541985,0,0,0
Austria,AUT,1,2041,147980.81067818074,0,0,0,10496.994126984639,0,0,0
Austria,AUT,1,2042,146628.88248040594,0,0,0,10837.937199418733,0,0,0
Austria,AUT,1,2043,145949.2790051684,0,0,0,10788.079338455158,0,0,0
Austria,AUT,1,2044,145269.8195202849,0,0,0,10738.13794774561,0,0,0
Austria,AUT,1,2045,144588.23433318344,0,0,0,10688.127341989417,0,0,0
Austria,AUT,1,2046,143904.57381194158,0,0,0,10638.01830212591,0,0,0
Austria,AUT,1,2047,143871.51075525253,0,0,0,10207.135256700001,0,0,0
Austria,AUT,1,2048,142529.41757644326,0,0,0,10537.136079206002,0,0,0
Austria,AUT,1,2049,141835.3415477233,0,0,0,10486.557395692153,0,0,0
Austria,AUT,1,2050,141139.62648056084,0,0,0,10435.627186065221,0,0,0
Austria,AUT,1,2051,140439.9245547419,0,0,0,10384.405083188098,0,0,0
Austria,AUT,1,2052,140375.15121247325,0,0,0,9961.52559881626,0,0,0
Austria,AUT,1,2053,139034.92133271115,0,0,0,10281.30207311265,0,0,0
Austria,AUT,1,2054,138324.95397624178,0,0,0,10229.523263096817,0,0,0
Belgium,BEL,1,2025,256347.73223946863,0,0,0,0,0,0,0
Belgium,BEL,1,2026,225371.58714645274,0,0,0,16811.094881692406,0,0,0
Belgium,BEL,1,2027,222806.1213789019,0,0,0,16591.982983628684,0,0,0
Belgium,BEL,1,2028,220658.69359729276,0,0,0,16401.24975913561,0,0,0
Belgium,BEL,1,2029,218831.49236403752,0,0,0,16240.932999553914,0,0,0
Belgium,BEL,1,2030,218250.7381639995,0,0,0,15525.850650250984,0,0,0
Belgium,BEL,1,2031,215879.15766453586,0,0,0,15987.06753559721,0,0,0
Belgium,BEL,1,2032,214650.43899648072,0,0,0,15884.587805649788,0,0,0
Belgium,BEL,1,2033,213539.58408828778,0,0,0,15793.176826162626,0,0,0
Belgium,BEL,1,2034,212520.99100618347,0,0,0,15710.756296610667,0,0,0
Belgium,BEL,1,2035,211571.36745613284,0,0,0,15635.210318418112,0,0,0
Belgium,BEL,1,2036,211637.80535929225,0,0,0,15005.564523106228,0,0,0
Belgium,BEL,1,2037,209822.04429707644,0,0,0,15498.729282759077,0,0,0
Belgium,BEL,1,2038,208990.23288859398,0,0,0,15435.58509349654,0,0,0
Belgium,BEL,1,2039,208179.88515718124,0,0,0,15374.315503630358,0,0,0
Belgium,BEL,1,2040,207384.63267695458,0,0,0,15314.70786424655,0,0,0
Belgium,BEL,1,2041,207539.90194220576,0,0,0,14707.760597154624,0,0,0
Belgium,BEL,1,2042,205816.61264486142,0,0,0,15198.077155432175,0,0,0
Belgium,BEL,1,2043,205031.2270908176,0,0,0,15140.559828684776,0,0,0
Belgium,BEL,1,2044,204246.13449727156,0,0,0,15082.872538188714,0,0,0
Belgium,BEL,1,2045,203458.862269463,0,0,0,15025.147329315276,0,0,0
Belgium,BEL,1,2046,202667.45006898922,0,0,0,14967.219058033475,0,0,0
Belgium,BEL,1,2047,202791.7455862661,0,0,0,14373.063101405169,0,0,0
Belgium,BEL,1,2048,201070.8524240747,0,0,0,14850.236024744883,0,0,0
Belgium,BEL,1,2049,200264.7751912053,0,0,0,14791.698630020428,0,0,0
Belgium,BEL,1,2050,199451.17380638502,0,0,0,14732.316636601876,0,0,0
Belgium,BEL,1,2051,198633.65668178283,0,0,0,14672.60149052623,0,0,0
Belgium,BEL,1,2052,198715.62056653705,0,0,0,14087.408098838743,0,0,0
Belgium,BEL,1,2053,196987.05822138846,0,0,0,14552.065573124088,0,0,0
Belgium,BEL,1,2054,196153.1360946657,0,0,0,14491.448305512215,0,0,0
Bulgaria,BGR,1,2025,120408.69648826141,0,0,0,0,0,0,0
Bulgaria,BGR,1,2026,105017.11493793892,0,0,0,7889.590171569909,0,0,0
Bulgaria,BGR,1,2027,103094.55725103838,0,0,0,7731.204148748868,0,0,0
Bulgaria,BGR,1,2028,101389.24749918969,0,0,0,7588.7448990932435,0,0,0
Bulgaria,BGR,1,2029,99856.08645419142,0,0,0,7462.324202148164,0,0,0
Bulgaria,BGR,1,2030,98912.79133012764,0,0,0,7084.60195411374,0,0,0
Bulgaria,BGR,1,2031,97170.80330492095,0,0,0,7244.991516856757,0,0,0
Bulgaria,BGR,1,2032,95968.03442300958,0,0,0,7149.600923707679,0,0,0
Bulgaria,BGR,1,2033,94835.14673642041,0,0,0,7060.55511676153,0,0,0
Bulgaria,BGR,1,2034,93760.39185694487,0,0,0,6976.855598841068,0,0,0
Bulgaria,BGR,1,2035,92734.07881129246,0,0,0,6897.612667023074,0,0,0
Bulgaria,BGR,1,2036,92166.42966195679,0,0,0,6576.692643585703,0,0,0
Bulgaria,BGR,1,2037,90790.17632954479,0,0,0,6748.985720402938,0,0,0
Bulgaria,BGR,1,2038,89856.65076936735,0,0,0,6678.427667791484,0,0,0
Bulgaria,BGR,1,2039,88946.7707907701,0,0,0,6609.780726191571,0,0,0
Bulgaria,BGR,1,2040,88056.34481147857,0,0,0,6542.871707342323,0,0,0
Bulgaria,BGR,1,2041,87580.07856115275,0,0,0,6244.474421158229,0,0,0
Bulgaria,BGR,1,2042,86316.55060122554,0,0,0,6412.584840077256,0,0,0
Bulgaria,BGR,1,2043,85465.02084820045,0,0,0,6349.158513613719,0,0,0
Bulgaria,BGR,1,2044,84623.45225905656,0,0,0,6286.465386960136,0,0,0
Bulgaria,BGR,1,2045,83789.71605127309,0,0,0,6224.437993123303,0,0,0
Bulgaria,BGR,1,2046,82965.88002424885,0,0,0,6163.179158078181,0,0,0
Bulgaria,BGR,1,2047,82529.34130351045,0,0,0,5883.427242681263,0,0,0
Bulgaria,BGR,1,2048,81343.97724416232,0,0,0,6042.643040182521,0,0,0
Bulgaria,BGR,1,2049,80543.66850339618,0,0,0,5983.363928054835,0,0,0
Bulgaria,BGR,1,2050,79747.45737243978,0,0,0,5924.312493494185,0,0,0
Bulgaria,BGR,1,2051,78961.24307673017,0,0,0,5865.9735764371835,0,0,0
Bulgaria,BGR,1,2052,78538.12249312199,0,0,0,5599.292631714737,0,0,0
Bulgaria,BGR,1,2053,77406.77944989654,0,0,0,5750.595284855663,0,0,0
Bulgaria,BGR,1,2054,76638.22849469245,0,0,0,5693.7307939597185,0,0,0
Bosnia & Herzegovina,BIH,1,2025,57624.1459409914,0,0,0,0,0,0,0
Bosnia & Herzegovina,BIH,1,2026,49782.08537684481,0,0,0,3774.720053484576,0,0,0
Bosnia & Herzegovina,BIH,1,2027,48558.205694547854,0,0,0,3668.1611112692754,0,0,0
Bosnia & Herzegovina,BIH,1,2028,47520.81070855649,0,0,0,3577.136583489307,0,0,0
Bosnia & Herzegovina,BIH,1,2029,46626.251439627624,0,0,0,3499.6177278178984,0,0,0
Bosnia & Herzegovina,BIH,1,2030,46059.97674231906,0,0,0,3309.704281441379,0,0,0
Bosnia & Herzegovina,BIH,1,2031,45159.708533864075,0,0,0,3374.929470532581,0,0,0
Bosnia & Herzegovina,BIH,1,2032,44547.05824886557,0,0,0,3324.004653177675,0,0,0
Bosnia & Herzegovina,BIH,1,2033,43990.361725307106,0,0,0,3278.3871880612,0,0,0
Bosnia & Herzegovina,BIH,1,2034,43480.025999271056,0,0,0,3237.1307947300643,0,0,0
Bosnia & Herzegovina,BIH,1,2035,43006.366661352375,0,0,0,3199.342061034193,0,0,0
Bosnia & Herzegovina,BIH,1,2036,42755.34463662826,0,0,0,3050.4697511024224,0,0,0
Bosnia & Herzegovina,BIH,1,2037,42138.19541915378,0,0,0,3131.245583820164,0,0,0
Bosnia & Herzegovina,BIH,1,2038,41733.860293690086,0,0,0,3100.1248124466533,0,0,0
Bosnia & Herzegovina,BIH,1,2039,41345.09925263284,0,0,0,3070.388057258577,0,0,0
Bosnia & Herzegovina,BIH,1,2040,40965.89161367885,0,0,0,3041.62091837479,0,0,0
Bosnia & Herzegovina,BIH,1,2041,40782.76277383978,0,0,0,2905.448370371011,0,0,0
Bosnia & Herzegovina,BIH,1,2042,40234.67703643994,0,0,0,2986.5399943888337,0,0,0
Bosnia & Herzegovina,BIH,1,2043,39874.64377757851,0,0,0,2959.6729372903715,0,0,0
Bosnia & Herzegovina,BIH,1,2044,39522.571391350306,0,0,0,2933.3971121227764,0,0,0
Bosnia & Herzegovina,BIH,1,2045,39172.33954351921,0,0,0,2907.3558884048894,0,0,0
Bosnia & Herzegovina,BIH,1,2046,38824.0320823129,0,0,0,2881.5006460807185,0,0,0
Bosnia & Herzegovina,BIH,1,2047,38658.2913146795,0,0,0,2753.4804988093765,0,0,0
Bosnia & Herzegovina,BIH,1,2048,38141.23251793788,0,0,0,2830.8921805125265,0,0,0
Bosnia & Herzegovina,BIH,1,2049,37798.65201787413,0,0,0,2805.6216707180783,0,0,0
Bosnia & Herzegovina,BIH,1,2050,37458.18786326486,0,0,0,2780.425832566361,0,0,0
Bosnia & Herzegovina,BIH,1,2051,37123.69917539808,0,0,0,2755.670628220732,0,0,0
Bosnia & Herzegovina,BIH,1,2052,36957.99430938117,0,0,0,2632.8478947323806,0,0,0
Bosnia & Herzegovina,BIH,1,2053,36456.59658118883,0,0,0,2706.3749632587137,0,0,0
Bosnia & Herzegovina,BIH,1,2054,36121.95119338123,0,0,0,2681.710620346093,0,0,0
Belarus,BLR,1,2025,186067.08551596434,0,0,0,0,0,0,0
Belarus,BLR,1,2026,161843.44101232896,0,0,0,12197.321677123684,0,0,0
Belarus,BLR,1,2027,158642.42587929798,0,0,0,11924.969024480983,0,0,0
Belarus,BLR,1,2028,155880.72265865724,0,0,0,11686.880067577315,0,0,0
Belarus,BLR,1,2029,153462.73282435248,0,0,0,11481.20381120767,0,0,0
Belarus,BLR,1,2030,152013.96967346073,0,0,0,10895.192394987365,0,0,0
Belarus,BLR,1,2031,149385.51530316356,0,0,0,11141.484706137033,0,0,0
