country,country_code,vacc_program,year,v1,v2,v3,v4,w1,w2,w3,w4
Afghanistan,AFG,1,2025,3004128.090111621,0,0,0,0,0,0,0
Afghanistan,AFG,1,2026,2667724.528105952,0,0,0,195301.75926532072,0,0,0
Afghanistan,AFG,1,2027,2664812.2307689018,0,0,0,194306.2750305287,0,0,0
Afghanistan,AFG,1,2028,2674118.989208694,0,0,0,194047.715784153,0,0,0
Afghanistan,AFG,1,2029,2692779.4134976156,0,0,0,194653.33726407666,0,0,0
Afghanistan,AFG,1,2030,2731068.8182575307,0,0,0,188901.95941154723,0,0,0
Afghanistan,AFG,1,2031,2751390.4263075907,0,0,0,197814.04922481318,0,0,0
Afghanistan,AFG,1,2032,2788503.467345745,0,0,0,200134.7613143479,0,0,0
Afghanistan,AFG,1,2033,2829625.3564451323,0,0,0,202807.6512513996,0,0,0
Afghanistan,AFG,1,2034,2873997.9974538214,0,0,0,205776.32217580514,0,0,0
Afghanistan,AFG,1,2035,2921043.730371787,0,0,0,208986.45950125964,0,0,0
Afghanistan,AFG,1,2036,2983420.6562281926,0,0,0,204748.31368027197,0,0,0
Afghanistan,AFG,1,2037,3021607.922871723,0,0,0,215968.077037763,0,0,0
Afghanistan,AFG,1,2038,3074252.081226341,0,0,0,219689.38850754072,0,0,0
Afghanistan,AFG,1,2039,3128283.1407152405,0,0,0,223513.8916983141,0,0,0
Afghanistan,AFG,1,2040,3183508.264064095,0,0,0,227438.87973600827,0,0,0
Afghanistan,AFG,1,2041,3254092.6219679606,0,0,0,223118.8066461416,0,0,0
Afghanistan,AFG,1,2042,3297275.99918503,0,0,0,235544.5303354869,0,0,0
Afghanistan,AFG,1,2043,3355400.415185333,0,0,0,239720.42072444997,0,0,0
Afghanistan,AFG,1,2044,3414416.0159078096,0,0,0,243948.4172382138,0,0,0
Afghanistan,AFG,1,2045,3474265.2730106413,0,0,0,248239.79806082134,0,0,0
Afghanistan,AFG,1,2046,3534923.8089225143,0,0,0,252591.77123098096,0,0,0
Afghanistan,AFG,1,2047,3612256.5318493806,0,0,0,247750.26329012154,0,0,0
Afghanistan,AFG,1,2048,3658874.9971163557,0,0,0,261473.68414547434,0,0,0
Afghanistan,AFG,1,2049,3721888.6897715977,0,0,0,266015.77477889915,0,0,0
Afghanistan,AFG,1,2050,3785755.693218812,0,0,0,270600.6673289042,0,0,0
Afghanistan,AFG,1,2051,3850458.062636367,0,0,0,275245.33672634105,0,0,0
Afghanistan,AFG,1,2052,3933300.812417284,0,0,0,269871.9852599457,0,0,0
Afghanistan,AFG,1,2053,3982693.5311737373,0,0,0,284719.683048623,0,0,0
Afghanistan,AFG,1,2054,4049957.61818498,0,0,0,289566.1694229098,0,0,0
United Arab Emirates,ARE,1,2025,200186.18474811484,0,0,0,0,0,0,0
United Arab Emirates,ARE,1,2026,174203.2857035318,0,0,0,13116.177082391865,0,0,0
United Arab Emirates,ARE,1,2027,171201.03973579252,0,0,0,12828.835030242863,0,0,0
United Arab Emirates,ARE,1,2028,168920.64025670904,0,0,0,12603.277225486672,0,0,0
United Arab Emirates,ARE,1,2029,167187.97681619247,0,0,0,12431.115008612955,0,0,0
United Arab Emirates,ARE,1,2030,166636.28739616802,0,0,0,11858.316076107936,0,0,0
United Arab Emirates,ARE,1,2031,164881.66893642233,0,0,0,12201.012722156847,0,0,0
United Arab Emirates,ARE,1,2032,164124.0797510723,0,0,0,12126.068891273593,0,0,0
United Arab Emirates,ARE,1,2033,163538.22751204655,0,0,0,12068.708669370137,0,0,0
United Arab Emirates,ARE,1,2034,163075.7006205663,0,0,0,12024.458582409516,0,0,0
United Arab Emirates,ARE,1,2035,162699.97513061063,0,0,0,11989.76248574285,0,0,0
United Arab Emirates,ARE,1,2036,163115.66999430174,0,0,0,11531.42485163498,0,0,0
United Arab Emirates,ARE,1,2037,162087.71268117186,0,0,0,11937.303292318018,0,0,0
United Arab Emirates,ARE,1,2038,161810.1948253482,0,0,0,11915.964382279797,0,0,0
United Arab Emirates,ARE,1,2039,161531.31449126036,0,0,0,11895.416136210817,0,0,0
United Arab Emirates,ARE,1,2040,161239.24962626287,0,0,0,11874.702496974722,0,0,0
United Arab Emirates,ARE,1,2041,161665.11910024367,0,0,0,11427.398353433411,0,0,0
United Arab Emirates,ARE,1,2042,160603.04575585137,0,0,0,11830.925524125021,0,0,0
United Arab Emirates,ARE,1,2043,160242.77503495477,0,0,0,11806.801530457795,0,0,0
United Arab Emirates,ARE,1,2044,159852.72358679512,0,0,0,11780.418269229209,0,0,0
United Arab Emirates,ARE,1,2045,159430.6311200772,0,0,0,11751.784648100584,0,0,0
United Arab Emirates,ARE,1,2046,158978.60632014673,0,0,0,11720.979728592381,0,0,0
United Arab Emirates,ARE,1,2047,159219.26251063647,0,0,0,11267.877216473025,0,0,0
United Arab Emirates,ARE,1,2048,157987.16686619178,0,0,0,11652.76188190267,0,0,0
United Arab Emirates,ARE,1,2049,157443.20637277706,0,0,0,11615.381396641467,0,0,0
United Arab Emirates,ARE,1,2050,156869.90477378652,0,0,0,11575.486569657536,0,0,0
United Arab Emirates,ARE,1,2051,156272.85394503878,0,0,0,11533.740607674177,0,0,0
United Arab Emirates,ARE,1,2052,156358.3739211052,0,0,0,11076.921903611716,0,0,0
United Arab Emirates,ARE,1,2053,154999.72863124305,0,0,0,11443.996788184137,0,0,0
United Arab Emirates,ARE,1,2054,154327.11270748836,0,0,0,11396.597328841815,0,0,0
Armenia,ARM,1,2025,68391.55010000309,0,0,0,0,0,0,0
Armenia,ARM,1,2026,59354.92143249152,0,0,0,4476.655296441366,0,0,0
Armenia,ARM,1,2027,58132.94651023355,0,0,0,4367.686323752325,0,0,0
Armenia,ARM,1,2028,57131.81627407386,0,0,0,4276.459210588163,0,0,0
Armenia,ARM,1,2029,56306.44189133463,0,0,0,4201.780112973053,0,0,0
Armenia,ARM,1,2030,55872.04191259111,0,0,0,3991.258493623964,0,0,0
Armenia,ARM,1,2031,55035.665463865036,0,0,0,4088.545776852475,0,0,0
Armenia,ARM,1,2032,54537.846702458446,0,0,0,4045.237729769752,0,0,0
Armenia,ARM,1,2033,54103.66493475341,0,0,0,4007.9897423024377,0,0,0
Armenia,ARM,1,2034,53721.47583922302,0,0,0,3975.743138796662,0,0,0
Armenia,ARM,1,2035,53377.71822762014,0,0,0,3947.2487326798855,0,0,0
Armenia,ARM,1,2036,53309.184991800794,0,0,0,3780.951351583009,0,0,0
