exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
AUS,1,2010,TRUE,TRUE,TRUE,TRUE,2,AUSA100816,INF_A,657,08,16,0.5941334822063481,0.07735666506974927,10011.847146019623,3.238542368580756e-4,1,NA,NA,23.1203064804465,FALSE,2.188714529623577
AUS,1,2010,TRUE,TRUE,TRUE,TRUE,2,AUSB100809,INF_B,3571,08,09,0.5962559532367491,0.0788705416203271,6621.891849930319,1.7100086760342314e-4,1,189,NA,NA,FALSE,2.2315478601364496
AUS,2,2011,FALSE,TRUE,TRUE,TRUE,2,AUSA110704,INF_A,2965,07,04,0.5827762255079286,0.07986172734246884,4280.114306166158,6.964732718738797e-4,1,203,NA,NA,FALSE,2.259592277377692
AUS,2,2011,FALSE,TRUE,TRUE,TRUE,2,AUSB110704,INF_B,2757,07,04,0.639037062274687,0.07555855283048085,6298.862255224288,1.0072358599765404e-4,1,133,NA,NA,FALSE,2.1378390894733044
AUS,3,2012,FALSE,TRUE,TRUE,TRUE,2,AUSA120521,INF_A,4389,05,21,0.6199612472444944,0.07969061298663421,2004.6265819113196,9.012660258376552e-4,1,91,NA,NA,FALSE,2.254750800867494
AUS,3,2012,FALSE,TRUE,TRUE,TRUE,2,AUSB120514,INF_B,237,05,14,0.6467623575132835,0.0758374080886048,1332.1281045883422,4.165025836034757e-4,1,84,NA,NA,FALSE,2.1457289662482077
AUS,4,2013,TRUE,TRUE,TRUE,TRUE,2,AUSA130708,INF_A,9683,07,08,0.6428586399876699,0.07441534994974051,4500.339603536981,4.835187031160441e-4,1,147,NA,NA,FALSE,2.1054935281292644
AUS,4,2013,TRUE,TRUE,TRUE,TRUE,2,AUSB130708,INF_B,4208,07,08,0.5683042848355409,0.0846278000020158,8050.586831030465,7.704875092828918e-5,1,147,NA,NA,FALSE,2.3944426159979826
AUS,5,2014,FALSE,FALSE,TRUE,TRUE,2,AUSA140623,INF_A,4908,06,23,0.5618393471107781,0.08680249876695902,4935.767484858749,8.10094526354895e-4,1,119,NA,NA,FALSE,2.4559731225172845
AUS,5,2014,FALSE,FALSE,TRUE,TRUE,2,AUSB140714,INF_B,177,07,14,0.6680649236694739,0.06940094412801072,4443.877152816053,2.023713813463844e-4,1,224,NA,NA,FALSE,1.9636168990171734
AUS,6,2015,TRUE,TRUE,FALSE,TRUE,2,AUSA150629,INF_A,2529,06,29,0.6372419187817182,0.06724245648885828,4008.637916189125,5.56649372218189e-4,1,182,NA,NA,FALSE,1.902545066957633
AUS,6,2015,TRUE,TRUE,FALSE,TRUE,2,AUSB150406,INF_B,8263,04,06,0.6038686314181888,0.07783237763596623,601.0394026697677,8.191916085447124e-4,1,119,NA,NA,FALSE,2.202174249024159
AUS,7,2016,FALSE,TRUE,TRUE,FALSE,2,AUSA160516,INF_A,8097,05,16,0.5112570393597987,0.0951088591355773,412.02224098912126,0.00169959726212604,1,77,NA,NA,FALSE,2.690991677294587
AUS,7,2016,FALSE,TRUE,TRUE,FALSE,2,AUSB160530,INF_B,8301,05,30,0.6550618409281475,0.06685446896413806,1805.4513401802155,3.5056808509556416e-4,1,119,NA,NA,FALSE,1.891567422925252
AUS,8,2017,FALSE,FALSE,FALSE,TRUE,3,AUSA170612,INF_A,6829,06,12,0.6634046294331841,0.06782107716691899,1518.4690673784194,0.00194739434134406,1,91,NA,NA,FALSE,1.9189164485841579
