exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T
CAN,1,2010,TRUE,TRUE,TRUE,TRUE,1,CANA101122,INF_A,700,11,22,0.6684939069809159,0.07368452100111854,4696.611360845274,0.0038999156061038324,1,126,NA,NA,FALSE
CAN,2,2011,FALSE,TRUE,TRUE,TRUE,2,CANA111226,INF_A,8940,12,26,0.6087489897942543,0.07514470606271663,2132.7246293055264,0.001252591219369638,1,112,NA,NA,FALSE
CAN,2,2011,FALSE,TRUE,TRUE,TRUE,2,CANB110103,INF_B,787,01,03,0.6480099750493974,0.07619225559235267,2292.0743219799565,6.553029786425218e-4,1,112,NA,NA,FALSE
CAN,3,2012,FALSE,TRUE,TRUE,TRUE,3,CANA121105,INF_A,7518,11,05,0.5804525101686634,0.08136854235104003,2311.05647225123,0.003602836441371343,1,84,NA,NA,FALSE
CAN,3,2012,FALSE,TRUE,TRUE,TRUE,3,CANB120102,INF_B,5098,01,02,0.5635066297023656,0.09008636727832255,854.7529860191337,0.0011625946992489533,1,70,NA,NA,FALSE
CAN,3,2012,FALSE,TRUE,TRUE,TRUE,3,CANB121224,INF_B,6825,12,24,0.6020247934503992,0.08061848512533266,1895.3510928958403,0.0011198289233900088,1,126,NA,NA,FALSE
CAN,4,2013,TRUE,TRUE,TRUE,TRUE,2,CANA131125,INF_A,9177,11,25,0.6727406286116974,0.07805630316294698,3735.6490850566756,0.0030478748849412647,1,77,NA,NA,FALSE
CAN,4,2013,TRUE,TRUE,TRUE,TRUE,2,CANB131209,INF_B,2668,12,09,0.5751371797485256,0.08436217117622855,927.889583285468,0.00208965058248244,1,112,NA,NA,FALSE
CAN,5,2014,FALSE,FALSE,TRUE,TRUE,2,CANA141103,INF_A,4426,11,03,0.5594401693678366,0.08380630591049164,3053.7729961913524,0.005921417913786142,1,91,NA,NA,FALSE
CAN,5,2014,FALSE,FALSE,TRUE,TRUE,2,CANB141124,INF_B,7277,11,24,0.6145500116712451,0.07353999828928771,529.8031397579261,0.0020017645988043616,1,84,NA,NA,FALSE
CAN,6,2015,TRUE,TRUE,FALSE,TRUE,2,CANA151214,INF_A,1683,12,14,0.5931771625766276,0.08768521618586565,531.1047390141367,0.004365302748650719,1,56,NA,NA,FALSE
CAN,6,2015,TRUE,TRUE,FALSE,TRUE,2,CANB151221,INF_B,9835,12,21,0.6509388997634309,0.07606841594142252,868.6014100456965,0.0024629556213608766,1,84,NA,NA,FALSE
CAN,7,2016,FALSE,TRUE,TRUE,FALSE,2,CANA161017,INF_A,448,10,17,0.5283345101869171,0.08655381209917101,679.4946151797815,0.006989840318947031,1,84,NA,NA,FALSE
CAN,7,2016,FALSE,TRUE,TRUE,FALSE,2,CANB161226,INF_B,9596,12,26,0.5198300970665769,0.09370070248142694,990.0667032460292,0.0011343353575168802,1,112,NA,NA,FALSE
CAN,8,2017,FALSE,FALSE,FALSE,TRUE,2,CANA170925,INF_A,5883,09,25,0.6126227463967712,0.07358847787258725,459.4710749322633,0.008482538786465117,1,91,NA,NA,FALSE
CAN,8,2017,FALSE,FALSE,FALSE,TRUE,2,CANB171023,INF_B,4569,10,23,0.6743567819968914,0.06805914422761837,497.33489593154746,0.0056391817608536345,1,77,NA,NA,FALSE
CAN,9,2018,TRUE,TRUE,TRUE,TRUE,2,CANA181015,INF_A,2962,10,15,0.6009786570462133,0.078678178993658407,1997.7938473503764,0.01679703117767338,1,189,NA,NA,FALSE
CAN,9,2018,TRUE,TRUE,TRUE,TRUE,2,CANB181231,INF_B,906,12,31,0.6575831778489183,0.07316320105350348,1420.7103328394949,7.245661431835368e-4,1,140,NA,NA,FALSE
CAN,10,2019,TRUE,TRUE,FALSE,TRUE,2,CANA191014,INF_A,6198,10,14,0.6626828610277111,0.07467940764161023,480.6297605317575,0.007265040893039973,1,77,NA,NA,FALSE
CAN,10,2019,TRUE,TRUE,FALSE,TRUE,2,CANB191104,INF_B,1119,11,04,0.6110189173215173,0.08144149846170795,1370.4926129057355,0.00503055262914209,1,91,NA,NA,FALSE
CAN,1,2010,TRUE,TRUE,TRUE,TRUE,1,CANA101122,INF_A,9434,11,22,0.6357667727497368,0.0774074138581584,4868.531654466219,0.003878152512031592,2,133,NA,NA,FALSE
CAN,2,2011,FALSE,TRUE,TRUE,TRUE,2,CANA111226,INF_A,860,12,26,0.5473924434842432,0.0837676513561657,2068.7247925316447,0.0012256991417506308,2,105,NA,NA,FALSE
CAN,2,2011,FALSE,TRUE,TRUE,TRUE,2,CANB110103,INF_B,4336,01,03,0.6065012165645381,0.08106284611699159,2457.699989875551,6.981432389668255e-4,2,119,NA,NA,FALSE
