exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T,r0
CHN,1,2010,TRUE,TRUE,TRUE,TRUE,3,CHNA100802,INF_A,3356,08,02,0.5794999077565857,0.06911509354599701,640907.9315973141,2.9033004623996025e-5,1,NA,NA,10.2695477916442,FALSE,1.9069662242984904
CHN,1,2010,TRUE,TRUE,TRUE,TRUE,3,CHNA101220,INF_A,7428,12,20,0.5388769492069,0.07615815331382088,947863.3413162228,2.852395671810613e-5,1,189,NA,NA,FALSE,2.101292476407478
CHN,1,2010,TRUE,TRUE,TRUE,TRUE,3,CHNB100104,INF_B,3173,01,04,0.5455886249817895,0.06877476875522431,445358.59535020665,1.5588093359905205e-4,1,NA,NA,297.326669301113,FALSE,1.8975762654921249
CHN,2,2011,FALSE,TRUE,TRUE,TRUE,2,CHNB110207,INF_B,3532,02,07,0.6004574656172403,0.06526044541362543,572808.7349081254,1.475990729920583e-5,1,287,NA,NA,FALSE,1.8006119763642687
CHN,2,2011,FALSE,TRUE,TRUE,TRUE,2,CHNB111107,INF_B,4250,11,07,0.589650417645055,0.06769866810447665,50931.86080681115,9.418156062984565e-5,1,175,NA,NA,FALSE,1.8678853906102773
CHN,3,2012,FALSE,TRUE,TRUE,TRUE,3,CHNA120220,INF_A,5150,02,20,0.5947560367810976,0.06744914345911461,1515281.8925936976,2.0722441073185865e-5,1,245,NA,NA,FALSE,1.861000713958298
CHN,3,2012,FALSE,TRUE,TRUE,TRUE,3,CHNA120625,INF_A,5318,06,25,0.6042031052882547,0.06582229049633305,1083487.7900051507,2.207500850668833e-5,1,NA,15896.1113808541,NA,FALSE,1.8161139389753531
CHN,3,2012,FALSE,TRUE,TRUE,TRUE,3,CHNA121210,INF_A,4498,12,10,0.5432898360945426,0.0729887285784468,781000.8703358507,3.168663349227823e-5,1,252,NA,NA,FALSE,2.0138443430009563
CHN,4,2013,TRUE,TRUE,TRUE,TRUE,3,CHNA130218,INF_A,7450,02,18,0.5545165218775222,0.06709722304518605,825638.4779597436,5.315046244956788e-5,1,NA,2668.8982915012,NA,FALSE,1.8512908183541448
CHN,4,2013,TRUE,TRUE,TRUE,TRUE,3,CHNA131111,INF_A,9158,11,11,0.5774045440671858,0.06926611509354427,231873.26493094888,1.2203091100414042e-4,1,210,NA,NA,FALSE,1.9111330853347448
CHN,4,2013,TRUE,TRUE,TRUE,TRUE,3,CHNB131014,INF_B,27,10,14,0.5289164212842503,0.07302266197030961,65961.96016531522,1.1529915907519056e-4,1,NA,90.9048913433205,NA,FALSE,2.0147806049495163
CHN,5,2014,FALSE,FALSE,TRUE,TRUE,3,CHNA140602,INF_A,9314,06,02,0.6002553336700621,0.06506383855576665,343511.6221461607,7.192406259758479e-5,1,NA,29861.7605400556,NA,FALSE,1.7951873633287296
CHN,5,2014,FALSE,FALSE,TRUE,TRUE,3,CHNA141103,INF_A,7503,11,03,0.5676066960482696,0.07112072184262161,328816.1956394532,7.109276571955301e-5,1,203,NA,NA,FALSE,1.9623038535185833
CHN,5,2014,FALSE,FALSE,TRUE,TRUE,3,CHNB141208,INF_B,9891,12,08,0.5376199439429129,0.07174909263198513,167474.30606499448,1.058340326878987e-4,1,NA,55.0489284604537,NA,FALSE,1.9796413381427564
CHN,6,2015,TRUE,TRUE,FALSE,TRUE,3,CHNA150601,INF_A,3666,06,01,0.5145006203799699,0.0760225724342234,476434.8080180496,7.43322402338178e-5,1,NA,32789.6559302202,NA,FALSE,2.0975516414496114
CHN,6,2015,TRUE,TRUE,FALSE,TRUE,3,CHNA151207,INF_A,2391,12,07,0.5967703179556875,0.06477664221930392,321698.2062966589,1.3542124100648695e-4,1,NA,88.7613928288095,NA,FALSE,1.7872632806822635
CHN,6,2015,TRUE,TRUE,FALSE,TRUE,3,CHNB151207,INF_B,209,12,07,0.6121764652831726,0.06462248871151613,72213.76817604186,1.4765803645820896e-4,1,210,NA,NA,FALSE,1.78301000520181
CHN,7,2016,FALSE,TRUE,TRUE,FALSE,1,CHNA160919,INF_A,831,09,19,0.5381700226616684,0.070583928796699,85286.91802193638,3.240000163508421e-4,1,NA,934.451751607153,NA,FALSE,1.9474931058874383
CHN,8,2017,FALSE,FALSE,FALSE,TRUE,4,CHNA170626,INF_A,4937,06,26,0.6425273397252954,0.05997109472991965,349048.74533188913,1.2349667372350432e-4,1,NA,19292.122851626,NA,FALSE,1.6546726079167058
CHN,8,2017,FALSE,FALSE,FALSE,TRUE,4,CHNA171106,INF_A,7865,11,06,0.526872975350802,0.07509878373600032,148518.30022873898,1.7164372088845025e-4,1,217,NA,NA,FALSE,2.072063231385785
CHN,8,2017,FALSE,FALSE,FALSE,TRUE,4,CHNB170220,INF_B,7611,02,20,0.5961693596957285,0.06558073790513234,448637.9030159956,2.107758040554295e-5,1,287,NA,NA,FALSE,1.8094492206167652
CHN,8,2017,FALSE,FALSE,FALSE,TRUE,4,CHNB171009,INF_B,5096,10,09,0.6585992465813175,0.06087589199304065,76390.54276214117,1.5099152552661583e-4,1,182,NA,NA,FALSE,1.6796370220856771
CHN,9,2018,TRUE,TRUE,TRUE,TRUE,1,CHNA181119,INF_A,5640,11,19,0.5779639666335659,0.06895990604796728,176544.19018282145,2.597128595200375e-4,1,210,NA,NA,FALSE,1.9026844198185595
CHN,10,2019,TRUE,TRUE,FALSE,TRUE,3,CHNA191028,INF_A,3412,10,28,0.552639419078014,0.07686020302102277,107072.50236262837,9.899436376876164e-5,1,126,NA,NA,FALSE,2.1206628485031427
CHN,10,2019,TRUE,TRUE,FALSE,TRUE,3,CHNB190204,INF_B,4845,02,04,0.6073313148576053,0.06370531026199804,186538.19698915596,1.4163500048717612e-4,1,301,NA,NA,FALSE,1.7577039796269265
