exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRA101122,INF_A,889,11,22,0.6489752828539567,0.08263523068725846,5723.618494815522,4.3850481191861073e-4,1,42,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRB101122,INF_B,1295,11,22,0.6723721995274713,0.07253573535303977,9061.39711738741,3.157704494651333e-4,1,77,NA,NA,FALSE
GBR,2,2011,FALSE,TRUE,TRUE,TRUE,1,GBRA111219,INF_A,9721,12,19,0.5691200874714254,0.07997010415805435,3196.4113017739946,3.055376000340708e-4,1,105,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRA121126,INF_A,3734,11,26,0.502108651139148,0.0862323337195638,4767.417338389399,0.001009325848328935,1,189,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRB121029,INF_B,7919,10,29,0.6905228181288328,0.0649795121079273,3064.8763700638715,6.175412914091227e-4,1,133,NA,NA,FALSE
GBR,4,2013,TRUE,TRUE,TRUE,TRUE,1,GBRA131209,INF_A,848,12,09,0.6042477726577169,0.09642484987623297,2934.3863013140194,4.6434770426251445e-4,1,112,NA,NA,FALSE
GBR,5,2014,FALSE,FALSE,TRUE,TRUE,1,GBRA141201,INF_A,9275,12,01,0.6477998184483649,0.0808333842483089,9690.407231463925,4.2249828438234677e-4,1,126,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRA151123,INF_A,1830,11,23,0.5748655016477077,0.10121603443106258,1862.2220809382156,0.001159377890552019,1,98,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB150126,INF_B,7369,01,26,0.6194269056559144,0.08199881869189841,8681.127920170944,1.63388252748441e-4,1,168,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB151109,INF_B,8344,11,09,0.6997894887709204,0.08464493810252777,64.73168373530775,4.837398397798384e-4,1,28,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRA161031,INF_A,117,10,31,0.641855393007205,0.08221792861505489,2211.332499071045,0.0011737284249879027,1,98,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRB161205,INF_B,5385,12,05,0.6787749020991005,0.08162901587669566,1859.8764280034807,5.545067339946976e-4,1,189,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRA171002,INF_A,7349,10,02,0.6345799490214119,0.08033527220850174,861.0326535480599,0.0035042745436131744,1,105,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRB171002,INF_B,8814,10,02,0.641814755979242,0.08181849503150952,245.63255019468662,0.002189702077521513,1,56,NA,NA,FALSE
GBR,9,2018,TRUE,TRUE,TRUE,TRUE,1,GBRA181015,INF_A,7012,10,15,0.6292737342271059,0.09242144437981008,706.6316878228099,0.0036716876157759605,1,77,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRA190930,INF_A,5049,09,30,0.57188415907217,0.09989018340788512,3004.850523246573,0.0023805130997363077,1,126,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRB190930,INF_B,1650,09,30,0.5971024383584282,0.09401107099021518,674.3266299478973,5.91335615824845e-4,1,126,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRA101122,INF_A,381,11,22,0.6030032064797032,0.08905198980810126,5468.468490253452,4.2821930880684617e-4,2,42,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRB101122,INF_B,1572,11,22,0.5591534842567965,0.08686178300731791,9941.660188896818,3.0726523279491684e-4,2,84,NA,NA,FALSE
GBR,2,2011,FALSE,TRUE,TRUE,TRUE,1,GBRA111219,INF_A,9707,12,19,0.49966388159497666,0.09103465720267037,3195.543743145738,3.025559262325539e-4,2,105,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRA121126,INF_A,4159,11,26,0.5956989360092161,0.07299050621274676,4861.52881390836,9.555597361117719e-4,2,189,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRB121029,INF_B,5554,10,29,0.5308524279665403,0.08442656924067943,3060.3055636933013,6.128694597902029e-4,2,133,NA,NA,FALSE
GBR,4,2013,TRUE,TRUE,TRUE,TRUE,1,GBRA131209,INF_A,5108,12,09,0.6346108088498073,0.09157393463322588,3137.53634784816,4.8050492153383327e-4,2,119,NA,NA,FALSE
GBR,5,2014,FALSE,FALSE,TRUE,TRUE,1,GBRA141201,INF_A,3896,12,01,0.6147846991372908,0.08523594512873796,9526.734255335778,4.2265038377042554e-4,2,126,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRA151123,INF_A,2598,11,23,0.5972132297072622,0.09774805449621567,1771.3650614366472,0.0011671663467086473,2,91,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB150126,INF_B,4836,01,26,0.5697689672920614,0.08913068745416254,9384.995750202626,1.4904123571152952e-4,2,168,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB151109,INF_B,1940,11,09,0.5470067179669312,0.10800357358244993,60.92470992271622,4.75681607484528e-4,2,28,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRA161031,INF_A,8905,10,31,0.5730733277658017,0.09177846797981884,2287.474468600026,0.001159062635114493,2,91,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRB161205,INF_B,1254,12,05,0.5976084577781597,0.09307849384997166,1707.8956800953076,4.761433075337725e-4,2,168,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRA171002,INF_A,2102,10,02,0.5761218490318532,0.08835120536612948,889.4578164719928,0.0034834898386981563,2,105,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRB171002,INF_B,8098,10,02,0.7042425226705471,0.07466030764503967,242.8944186477979,0.0021812092096918706,2,56,NA,NA,FALSE
GBR,9,2018,TRUE,TRUE,TRUE,TRUE,1,GBRA181015,INF_A,11,10,15,0.6264456396890935,0.09289452118314298,701.856514373933,0.0036631796179736856,2,77,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRA190930,INF_A,1974,09,30,0.6509854813694976,0.08773717124440945,3196.1808789716147,0.002467074674195957,2,140,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRB190930,INF_B,7457,09,30,0.7126203827445284,0.07850000275471176,814.3810142512398,6.578833930032005e-4,2,140,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRA101122,INF_A,2917,11,22,0.6432104359142718,0.08362215181279238,5219.554110758488,4.401486655881047e-4,3,42,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRB101122,INF_B,5027,11,22,0.6153745269087407,0.07962352799074701,8688.209072716554,3.080651405565219e-4,3,77,NA,NA,FALSE
GBR,2,2011,FALSE,TRUE,TRUE,TRUE,1,GBRA111219,INF_A,7064,12,19,0.5591727982541507,0.08088151861461626,3555.8669537950614,3.2949728272943605e-4,3,112,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRA121126,INF_A,957,11,26,0.6477726863692073,0.06720437277334264,4550.393180157333,9.80490436618735e-4,3,182,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRB121029,INF_B,5752,10,29,0.5251939971029127,0.0850249092360376,3150.025110140368,6.283268510748376e-4,3,140,NA,NA,FALSE
GBR,4,2013,TRUE,TRUE,TRUE,TRUE,1,GBRA131209,INF_A,6750,12,09,0.6953318192317024,0.08397309833042886,2826.256073282127,4.551260331404549e-4,3,112,NA,NA,FALSE
GBR,5,2014,FALSE,FALSE,TRUE,TRUE,1,GBRA141201,INF_A,2546,12,01,0.6279681950003431,0.08341015793660565,9973.107028408022,4.178604943186477e-4,3,126,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRA151123,INF_A,3075,11,23,0.6735750604624009,0.08644304635446501,1901.5346786245177,0.0011841152248215768,3,98,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB150126,INF_B,4523,01,26,0.6229435475958264,0.08154336427634905,9039.59608473586,1.562458318499431e-4,3,168,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB151109,INF_B,7776,11,09,0.6223314920885955,0.09511554276867566,64.0653857663616,4.7501101727565753e-4,3,28,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRA161031,INF_A,7496,10,31,0.6231391683441206,0.08463575958190728,2224.302452345402,0.0011624156703443158,3,98,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRB161205,INF_B,8641,12,05,0.5727308540623667,0.09651389792489025,1905.8800925380258,5.409016435203217e-4,3,189,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRA171002,INF_A,4785,10,02,0.6741903545990525,0.0756757014497479,851.1265935553971,0.00344612550158438,3,105,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRB171002,INF_B,3590,10,02,0.5823108056115336,0.0901401506147152,240.84983094191858,0.0021571630375485477,3,56,NA,NA,FALSE
GBR,9,2018,TRUE,TRUE,TRUE,TRUE,1,GBRA181015,INF_A,6300,10,15,0.6381495870799062,0.09122381678050083,697.7897253597371,0.0037011931351544247,3,77,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRA190930,INF_A,8816,09,30,0.6389526235965064,0.08955404496619428,3044.707953125493,0.0024282079378596584,3,126,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRB190930,INF_B,3163,09,30,0.5522718588593821,0.10125793894908616,723.5378281836977,6.357433892061467e-4,3,126,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRA101122,INF_A,2350,11,22,0.605338544449943,0.08863533500208116,5538.390751705993,4.365285849357146e-4,4,42,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRB101122,INF_B,4909,11,22,0.6073066487441563,0.0802467435549448,8532.88716521401,3.1760405230673135e-4,4,77,NA,NA,FALSE
GBR,2,2011,FALSE,TRUE,TRUE,TRUE,1,GBRA111219,INF_A,5081,12,19,0.5547973783082975,0.08193126030553424,3218.610121555012,3.136064455635048e-4,4,105,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRA121126,INF_A,5305,11,26,0.5990309905268247,0.07261827869733281,4707.359559936088,9.895129317386597e-4,4,182,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRB121029,INF_B,3743,10,29,0.6213985150436713,0.07222281484800065,2943.90414034722,6.190595937277534e-4,4,133,NA,NA,FALSE
GBR,4,2013,TRUE,TRUE,TRUE,TRUE,1,GBRA131209,INF_A,1465,12,09,0.5928798547391375,0.09789791835035448,3282.1654869556733,4.831336702137324e-4,4,119,NA,NA,FALSE
GBR,5,2014,FALSE,FALSE,TRUE,TRUE,1,GBRA141201,INF_A,6049,12,01,0.6428543523894212,0.08154894074961837,9538.826590720257,4.20162933727673e-4,4,126,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRA151123,INF_A,789,11,23,0.677511139796993,0.08625106518854167,1757.8093238028553,0.0011389360368662322,4,98,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB150126,INF_B,1210,01,26,0.6541302754102797,0.07875500440931499,7610.4167288605795,1.3757408978036335e-4,4,140,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB151109,INF_B,5129,11,09,0.6347328712936292,0.09315253408622719,65.55889080181781,4.748682177538371e-4,4,28,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRA161031,INF_A,1873,10,31,0.5789534553340117,0.09097791196525117,2192.4929431463393,0.0011503462584415759,4,91,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRB161205,INF_B,2138,12,05,0.6109571236935232,0.09053555073400182,2025.561187467075,5.437724049904615e-4,4,196,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRA171002,INF_A,9482,10,02,0.6524923122814427,0.07812967526445835,869.5631531432985,0.0034364671805122912,4,105,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRB171002,INF_B,3901,10,02,0.6110363144271154,0.08577896073284105,257.84042610141717,0.002205022497143466,4,63,NA,NA,FALSE
GBR,9,2018,TRUE,TRUE,TRUE,TRUE,1,GBRA181015,INF_A,9598,10,15,0.6309793709194829,0.09216287483524427,720.9899646775358,0.003698784454201489,4,77,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRA190930,INF_A,6672,09,30,0.5874891287683922,0.09735958395431561,2985.6720610174043,0.002383865648195912,4,126,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRB190930,INF_B,1463,09,30,0.613563859539413,0.09132456955565749,755.6242321841958,5.923544688785461e-4,4,126,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRA101122,INF_A,6588,11,22,0.6802685912736809,0.0786743033008101,5907.156914826844,4.436790927005523e-4,5,49,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRB101122,INF_B,5573,11,22,0.6575499725596078,0.07486047305655501,7561.974164097094,2.997448629432872e-4,5,77,NA,NA,FALSE
GBR,2,2011,FALSE,TRUE,TRUE,TRUE,1,GBRA111219,INF_A,1860,12,19,0.7290652988187735,0.062312743459784964,3682.270271520753,3.19741854738943e-4,5,112,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRA121126,INF_A,8757,11,26,0.5209146352435813,0.08323600582370456,4887.631626196553,9.750543483520087e-4,5,189,NA,NA,FALSE
GBR,3,2012,FALSE,TRUE,TRUE,TRUE,2,GBRB121029,INF_B,5616,10,29,0.6761475329096309,0.06645675202707496,2978.5417933044073,6.216184311847136e-4,5,133,NA,NA,FALSE
GBR,4,2013,TRUE,TRUE,TRUE,TRUE,1,GBRA131209,INF_A,2556,12,09,0.7012325165047837,0.08309816247941042,2926.94397574714,4.6926865656640677e-4,5,105,NA,NA,FALSE
GBR,5,2014,FALSE,FALSE,TRUE,TRUE,1,GBRA141201,INF_A,651,12,01,0.6928161299552443,0.07619082704384779,9330.447733821818,3.990251899400923e-4,5,119,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRA151123,INF_A,9351,11,23,0.6561827278147992,0.08886734254901267,1841.1479182367748,0.0011713373767675407,5,98,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB150126,INF_B,3885,01,26,0.6446656718779409,0.07922051174856391,7852.448276680151,1.414409783021639e-4,5,161,NA,NA,FALSE
GBR,6,2015,TRUE,TRUE,FALSE,TRUE,3,GBRB151109,INF_B,893,11,09,0.7145461854377526,0.08294275893374242,62.17718532989428,4.726545402117147e-4,5,28,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRA161031,INF_A,2987,10,31,0.5764268199928507,0.09126108968371995,2313.910647194433,0.0011720410636292956,5,98,NA,NA,FALSE
GBR,7,2016,FALSE,TRUE,TRUE,FALSE,2,GBRB161205,INF_B,8987,12,05,0.5654209806641955,0.09792611778228189,1749.0098881117688,5.326450143554581e-4,5,182,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRA171002,INF_A,7411,10,02,0.569022902633833,0.08949524870631981,888.258104405818,0.0034167105515406546,5,105,NA,NA,FALSE
GBR,8,2017,FALSE,FALSE,FALSE,TRUE,2,GBRB171002,INF_B,8545,10,02,0.681392701443414,0.07703348035776879,257.3195099865669,0.002205267471109225,5,63,NA,NA,FALSE
GBR,9,2018,TRUE,TRUE,TRUE,TRUE,1,GBRA181015,INF_A,4753,10,15,0.7166578336939704,0.08127937325750995,696.1815639512604,0.0037486302894856527,5,77,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRA190930,INF_A,2537,09,30,0.675114346093949,0.08479669235631274,3057.9877931649376,0.002396350439219985,5,126,NA,NA,FALSE
GBR,10,2019,TRUE,TRUE,FALSE,TRUE,2,GBRB190930,INF_B,3386,09,30,0.6026747779241344,0.09325275721814488,705.8604511827386,5.597008066766871e-4,5,119,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRA101122,INF_A,6431,11,22,0.5890806453032612,0.09073813176882257,5741.306642223033,4.448995427448821e-4,6,49,NA,NA,FALSE
GBR,1,2010,TRUE,TRUE,TRUE,TRUE,2,GBRB101122,INF_B,5385,11,22,0.6327768534076408,0.07718517970671701,8394.349665298505,2.9530972829976804e-4,6,77,NA,NA,FALSE
