exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback,init_ageing_date,init_nye,pushback_T
GHA,1,2010,TRUE,TRUE,TRUE,TRUE,1,GHAA100118,INF_A,3701,01,18,0.6360719375549447,0.05901726689653163,2634.01056677354,2.585851709474391e-4,1,NA,NA,729.02883933748,FALSE
GHA,2,2011,FALSE,TRUE,TRUE,TRUE,1,GHAB110321,INF_B,7453,03,21,0.6564823812335359,0.05516390439424909,2751.649471234938,9.503243713888833e-5,1,231,NA,NA,FALSE
GHA,3,2012,FALSE,TRUE,TRUE,TRUE,3,GHAA120521,INF_A,9945,05,21,0.5732089789800248,0.06414705030319999,19429.210463675918,2.8691798980973857e-5,1,NA,2471.14338729466,NA,FALSE
GHA,3,2012,FALSE,TRUE,TRUE,TRUE,3,GHAA120924,INF_A,3972,09,24,0.5868937172480191,0.06648191956684349,7364.981679132241,4.292829540048746e-5,1,112,NA,NA,FALSE
GHA,3,2012,FALSE,TRUE,TRUE,TRUE,3,GHAB120611,INF_B,4808,06,11,0.5655339941289336,0.06785670462272984,11144.026335781973,3.375700320606512e-5,1,NA,136.012143046642,NA,FALSE
GHA,4,2013,TRUE,TRUE,TRUE,TRUE,2,GHAA131007,INF_A,1068,10,07,0.7454552229204445,0.04983488463435047,16371.092341871235,3.202880872480183e-5,1,NA,14.5432239883773,NA,FALSE
GHA,4,2013,TRUE,TRUE,TRUE,TRUE,2,GHAB131209,INF_B,8059,12,09,0.6451081881842178,0.05808473029100957,8872.07070251742,2.7131293441100467e-5,1,175,NA,NA,FALSE
GHA,6,2015,TRUE,TRUE,FALSE,TRUE,2,GHAA150323,INF_A,3572,03,23,0.5979165498530155,0.06935687846070082,26101.186106765213,1.7968542530061063e-5,1,84,NA,NA,FALSE
GHA,6,2015,TRUE,TRUE,FALSE,TRUE,2,GHAB150316,INF_B,1544,03,16,0.5442948571800346,0.06432919569741692,2513.0122331071275,1.2272953002631363e-4,1,NA,49.0578341635286,NA,FALSE
GHA,7,2016,FALSE,TRUE,TRUE,FALSE,2,GHAA160215,INF_A,8220,02,15,0.638837647330579,0.05659568452522458,2485.2857346814794,1.8395272801690086e-4,1,238,NA,NA,FALSE
GHA,7,2016,FALSE,TRUE,TRUE,FALSE,2,GHAB160725,INF_B,7181,07,25,0.5586427335149906,0.06807514319906903,823.9511805881513,6.212039849270413e-5,1,91,NA,NA,FALSE
GHA,8,2017,FALSE,FALSE,FALSE,TRUE,3,GHAA170605,INF_A,4322,06,05,0.4820374914769842,0.07429194445897513,6408.085693351714,8.827423312225731e-5,1,NA,928.196677400017,NA,FALSE
GHA,8,2017,FALSE,FALSE,FALSE,TRUE,3,GHAA170904,INF_A,2741,09,04,0.5656698142778256,0.06160836851667265,1923.0940568672825,4.732189926989391e-4,1,NA,286.259310994256,NA,FALSE
GHA,8,2017,FALSE,FALSE,FALSE,TRUE,3,GHAB171211,INF_B,3336,12,11,0.6006977191858569,0.060013931143641494,5562.093232290587,7.830065051966654e-5,1,NA,13.3022786912239,NA,FALSE
GHA,9,2018,TRUE,TRUE,TRUE,TRUE,2,GHAA180917,INF_A,4754,09,17,0.5990543394626059,0.06535987297809359,17107.97434798026,2.6265555971216778e-5,1,119,NA,NA,FALSE
