exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback
AUS,1,2019,FALSE,TRUE,FALSE,TRUE,2,AUSA191230,INF_A,8423,12,30,0.5815950716241775,0.07089556894398209,3221.761737504227,0.0012858871576870326,91,357
AUS,1,2019,FALSE,TRUE,FALSE,TRUE,2,AUSB190422,INF_B,4300,04,22,0.5832041439840265,0.08069278674449333,1249.791701071937,9.013578460807748e-4,91,140
AUS,2,2018,TRUE,TRUE,TRUE,TRUE,2,AUSA180611,INF_A,9048,06,11,0.5720177605183029,0.08268031844696744,1597.297235001055,0.0011764477264797992,91,133
AUS,2,2018,TRUE,TRUE,TRUE,TRUE,2,AUSA181105,INF_A,8371,11,05,0.5462967711342539,0.08333486490343646,153.66213659344825,0.01076085702851155,91,140
AUS,3,2012,FALSE,FALSE,FALSE,TRUE,2,AUSA120521,INF_A,7278,05,21,0.5647693349195974,0.08706994542241214,2094.3833085800225,9.374733345220272e-4,91,98
AUS,3,2012,FALSE,FALSE,FALSE,TRUE,2,AUSB120514,INF_B,5113,05,14,0.600486951340245,0.08120836660228675,1354.132469855938,4.260277599842699e-4,91,91
AUS,4,2014,FALSE,TRUE,FALSE,TRUE,2,AUSA140623,INF_A,4116,06,23,0.6630468045448353,0.07389994166342569,4840.357965853723,7.949587491021859e-4,91,119
AUS,4,2014,FALSE,TRUE,FALSE,TRUE,2,AUSB140714,INF_B,8498,07,14,0.5813065489917091,0.08316623236758675,5897.787657646287,9.678128439769094e-5,91,133
AUS,5,2016,FALSE,FALSE,TRUE,TRUE,2,AUSA160516,INF_A,6744,05,16,0.6173284994338826,0.07891278465062754,405.8541279663625,0.001704325620032112,91,77
AUS,5,2016,FALSE,FALSE,TRUE,TRUE,2,AUSB160530,INF_B,4336,05,30,0.5462882559566992,0.07944107668479869,1810.7313732393281,3.771777507939502e-4,91,126
AUS,6,2014,TRUE,TRUE,TRUE,TRUE,2,AUSA140623,INF_A,3292,06,23,0.5415940090818616,0.09018053822394878,4907.666319322039,8.050956993407045e-4,91,119
AUS,6,2014,TRUE,TRUE,TRUE,TRUE,2,AUSB140714,INF_B,5298,07,14,0.561880868977594,0.08457811794218116,5249.012838505273,1.2841454453334914e-4,91,161
AUS,7,2014,FALSE,TRUE,TRUE,TRUE,2,AUSA140623,INF_A,9155,06,23,0.6160083519367293,0.07960471178976836,4561.602528915093,7.948265188396986e-4,91,112
AUS,7,2014,FALSE,TRUE,TRUE,TRUE,2,AUSB140714,INF_B,7680,07,14,0.5573359234866483,0.0828242562706892,6300.271380963279,1.8744180453409052e-4,91,245
AUS,8,2012,TRUE,FALSE,TRUE,TRUE,2,AUSA120521,INF_A,2347,05,21,0.5930730584791742,0.0831176987969136,1946.9006673114447,9.434109163218667e-4,91,98
AUS,8,2012,TRUE,FALSE,TRUE,TRUE,2,AUSB120514,INF_B,1602,05,14,0.5370459821082603,0.09175374835799335,1071.1075301159572,3.6833531545537896e-4,91,77
AUS,9,2011,FALSE,FALSE,TRUE,FALSE,2,AUSA110704,INF_A,3117,07,04,0.579233970390762,0.07998004461622066,3982.263525839353,7.98808593490053e-4,91,217
AUS,9,2011,FALSE,FALSE,TRUE,FALSE,2,AUSB110704,INF_B,4929,07,04,0.6612692938939965,0.07399666754029605,5620.01286425636,9.254101723174382e-5,91,119
AUS,10,2019,FALSE,TRUE,TRUE,TRUE,2,AUSA191230,INF_A,870,12,30,0.6033769034466372,0.06804446441381493,2915.5073970608687,0.001537047081987647,91,399
AUS,10,2019,FALSE,TRUE,TRUE,TRUE,2,AUSB190422,INF_B,5689,04,22,0.6393362912164778,0.0737944052263845,1261.4417774602891,8.581066502466547e-4,91,140
AUS,11,2019,FALSE,TRUE,TRUE,TRUE,2,AUSA191230,INF_A,3465,12,30,0.6555376596156904,0.06268967967458408,3161.9045593847477,0.001424664805469588,91,399
AUS,11,2019,FALSE,TRUE,TRUE,TRUE,2,AUSB190422,INF_B,8352,04,22,0.6206583840389224,0.07588944283907191,1277.3082793171918,8.959765015140163e-4,91,140
AUS,12,2012,FALSE,TRUE,TRUE,TRUE,2,AUSA120521,INF_A,4929,05,21,0.6680471169555776,0.0740548288759151,2061.262649342955,9.114818376387996e-4,91,91
AUS,12,2012,FALSE,TRUE,TRUE,TRUE,2,AUSB120514,INF_B,8495,05,14,0.5848202666664873,0.08383339807661684,1221.4635814165476,4.0488413761917766e-4,91,84
