exemplar_code,simulation_cal_year,year,N_A_match,N_B_match,S_A_match,S_B_match,num_epis,epidID,strain,timestep,month,day,sus,trans,infected,reporting,simulation_index,pushback
GHA,1,2012,TRUE,TRUE,TRUE,TRUE,3,GHAA120521,INF_A,3347,05,21,0.5618452408184752,0.06801743571298509,16066.37783797559,2.188002085723244e-5,34,147
GHA,1,2012,TRUE,TRUE,TRUE,TRUE,3,GHAA120924,INF_A,1311,09,24,0.6355336479008881,0.060695312808784825,8051.331893996165,4.292580942143294e-5,34,126
GHA,1,2012,TRUE,TRUE,TRUE,TRUE,3,GHAB120611,INF_B,9747,06,11,0.6705163333084482,0.05774034952424817,11476.415805202056,3.4665770945098716e-5,34,126
GHA,4,2018,TRUE,TRUE,TRUE,FALSE,2,GHAA180917,INF_A,777,09,17,0.6007429809307655,0.06105204090262741,19545.65425036873,4.329569854561571e-5,34,245
GHA,4,2018,TRUE,TRUE,TRUE,FALSE,2,GHAB180903,INF_B,2951,09,03,0.5620914968008494,0.06539565211113697,11443.880962931662,3.371279462215055e-5,34,224
GHA,5,2013,TRUE,TRUE,TRUE,TRUE,2,GHAA131007,INF_A,4462,10,07,0.6227666692025177,0.0634967735902864,14019.595684309861,1.6985445409834355e-5,34,112
GHA,5,2013,TRUE,TRUE,TRUE,TRUE,2,GHAB131209,INF_B,2092,12,09,0.681538627013699,0.055247665329643605,7967.910755469558,3.097342537048213e-5,34,161
GHA,6,2017,TRUE,FALSE,FALSE,FALSE,3,GHAA170605,INF_A,8580,06,05,0.6066366547333677,0.05917227189082344,6789.560101252258,8.470446825978814e-5,34,315
GHA,6,2017,TRUE,FALSE,FALSE,FALSE,3,GHAA170904,INF_A,8005,09,04,0.5613420678756369,0.06261690300081582,1974.1062419406608,3.5497752399969506e-4,34,462
GHA,6,2017,TRUE,FALSE,FALSE,FALSE,3,GHAB171211,INF_B,7524,12,11,0.5532804923584849,0.0636874375275974,2648.389445323304,1.8179686642283205e-4,34,441
GHA,8,2011,TRUE,TRUE,TRUE,TRUE,1,GHAB110321,INF_B,7923,03,21,0.6167079963659846,0.059025764573802764,2832.7777060621042,7.841701889858656e-5,34,210
GHA,9,2013,FALSE,TRUE,FALSE,TRUE,2,GHAA131007,INF_A,4430,10,07,0.5299179236770232,0.07281590122437967,12065.104718070977,1.9866701907832156e-5,34,126
GHA,9,2013,FALSE,TRUE,FALSE,TRUE,2,GHAB131209,INF_B,9506,12,09,0.4815948412943188,0.07563864044054065,13037.008710829716,3.6242540297554164e-05,34,238
GHA,10,2010,FALSE,TRUE,TRUE,TRUE,1,GHAA100118,INF_A,4567,01,18,0.4998874032169665,0.0749136937298179,2599.84468281753,2.5966560698912787e-4,34,126
GHA,11,2019,FALSE,TRUE,TRUE,TRUE,3,GHAA190513,INF_A,4247,05,13,0.5294741773820576,0.0697340741272253,11472.0581696993,7.495034440257305e-5,34,203
GHA,11,2019,FALSE,TRUE,TRUE,TRUE,3,GHAA190930,INF_A,6756,09,30,0.6024610833609596,0.07096611780289268,3163.7308839969824,6.743519124517959e-5,34,56
GHA,11,2019,FALSE,TRUE,TRUE,TRUE,3,GHAB190909,INF_B,9142,09,09,0.570740275234917,0.06960194813015921,4529.756392011097,3.0710040349244707e-5,34,84
GHA,12,2016,FALSE,FALSE,TRUE,TRUE,2,GHAA160215,INF_A,7699,02,15,0.6255224951674053,0.057320996454474436,2214.9665525429923,2.312699570881942e-4,34,280
GHA,12,2016,FALSE,FALSE,TRUE,TRUE,2,GHAB160725,INF_B,855,07,25,0.5658553855009422,0.0668768272030076,1308.0288891726507,6.020611726038438e-5,34,105
