country,metasource,STRAIN,n_data_points,start_date,end_date,min_val,max_val,index
Argentina,NONSENT,INF_A,36,2010-09-13,2010-12-20,0,1010,1
Argentina,NONSENT,INF_A,58,2011-05-30,2011-10-03,0,1010,2
Argentina,NONSENT,INF_A,99,2012-07-23,2012-12-10,0,1010,3
Argentina,NONSENT,INF_A,121,2013-05-20,2013-10-14,0,1010,4
Argentina,NONSENT,INF_A,155,2014-06-16,2014-10-06,0,1010,5
Argentina,NONSENT,INF_A,191,2015-06-22,2015-11-02,0,1010,6
Argentina,NONSENT,INF_A,201,2016-01-25,2016-07-25,0,1010,7
Argentina,NONSENT,INF_A,235,2017-03-27,2017-08-07,0,1010,8
Argentina,NONSENT,INF_A,278,2018-06-11,2018-10-22,0,1010,9
Argentina,NONSENT,INF_A,298,2019-03-18,2019-10-21,0,1010,10
Argentina,NONSENT,INF_B,21,2010-05-31,2010-09-20,0,1010,1
Argentina,NONSENT,INF_B,116,2012-07-23,2012-12-24,0,1010,2
Argentina,NONSENT,INF_B,147,2013-08-05,2013-11-11,0,1010,3
Argentina,NONSENT,INF_B,179,2014-06-30,2014-10-13,0,1010,4
Argentina,NONSENT,INF_B,226,2015-09-14,2016-01-04,0,1010,5
Argentina,NONSENT,INF_B,234,2016-03-07,2016-05-02,0,1010,6
Argentina,NONSENT,INF_B,246,2016-08-01,2016-12-05,0,1010,7
Argentina,NONSENT,INF_B,265,2017-04-24,2017-11-13,0,1010,8
Argentina,NONSENT,INF_B,293,2018-06-04,2018-11-12,0,1010,9
Argentina,NONSENT,INF_B,331,2019-08-12,2020-02-10,0,1010,10
Australia,NONSENT,INF_A,24,2010-06-21,2010-10-04,0,862,1
Australia,NONSENT,INF_A,63,2011-07-11,2011-10-10,0,862,2
Australia,NONSENT,INF_A,96,2012-06-04,2012-09-17,0,862,3
Australia,NONSENT,INF_A,138,2013-07-15,2013-11-04,0,862,4
Australia,NONSENT,INF_A,144,2013-12-23,2014-02-10,0,862,5
Australia,NONSENT,INF_A,162,2014-06-23,2014-10-06,0,862,6
Australia,NONSENT,INF_A,200,2015-07-06,2015-10-12,0,862,7
Australia,NONSENT,INF_A,234,2016-06-20,2016-10-10,0,862,8
Australia,NONSENT,INF_A,245,2017-01-02,2017-02-20,0,862,9
Australia,NONSENT,INF_A,263,2017-07-03,2017-10-09,0,862,10
Australia,NONSENT,INF_A,305,2018-08-06,2018-10-08,0,862,11
Australia,NONSENT,INF_A,310,2018-11-19,2019-03-11,0,862,12
Australia,NONSENT,INF_A,311,2019-03-25,2019-08-26,0,862,13
Australia,NONSENT,INF_B,30,2010-08-02,2011-01-17,0,862,1
Australia,NONSENT,INF_B,57,2011-08-01,2011-09-26,0,862,2
Australia,NONSENT,INF_B,75,2012-02-06,2012-03-26,0,862,3
Australia,NONSENT,INF_B,84,2012-06-04,2012-10-01,0,862,4
Australia,NONSENT,INF_B,123,2013-07-08,2013-09-09,0,862,5
Australia,NONSENT,INF_B,170,2014-08-11,2014-11-03,0,862,6
Australia,NONSENT,INF_B,188,2015-03-16,2015-10-26,0,862,7
Australia,NONSENT,INF_B,220,2016-06-27,2016-10-10,0,862,8
Australia,NONSENT,INF_B,254,2017-06-12,2017-11-27,0,862,9
Australia,NONSENT,INF_B,255,2017-12-11,2018-02-26,0,862,10
Australia,NONSENT,INF_B,318,2019-05-20,2019-09-16,0,862,11
Canada,NONSENT,INF_A,44,2010-11-08,2011-04-11,0,5208,1
Canada,NONSENT,INF_A,77,2011-12-12,2012-05-14,0,5208,2
