country,ISO_YEAR,ISO_WEEK,ISO_WEEKSTARTDATE,cluster_name,STRAIN,metasource,SPEC_PROCESSED_NB,orig_value,lag_val,lead_val,value,flu_peak,over_peak,flu_included,over_inclusion,flu_end,over_end_thresh,start_end_vec,seq,epidem_inclusion,epid_index
Argentina,2010,1,2010-01-04,Southern America,INF_A,NONSENT,445,4,NA,21,12.5,63.333333333333336,FALSE,8,TRUE,10.666666666666666,TRUE,TRUE,1,0,0
Argentina,2010,2,2010-01-11,Southern America,INF_A,NONSENT,434,21,4,6,10.333333333333334,63.333333333333336,FALSE,8,TRUE,10.666666666666666,FALSE,TRUE,1,0,0
Argentina,2010,3,2010-01-18,Southern America,INF_A,NONSENT,427,6,21,1,9.333333333333334,63.333333333333336,FALSE,8,TRUE,10.666666666666666,FALSE,TRUE,1,0,0
Argentina,2010,4,2010-01-25,Southern America,INF_A,NONSENT,298,1,6,4,3.6666666666666665,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
Argentina,2010,5,2010-02-01,Southern America,INF_A,NONSENT,415,4,1,0,1.6666666666666665,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
Argentina,2010,6,2010-02-08,Southern America,INF_A,NONSENT,410,0,4,3,2.3333333333333335,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
Argentina,2010,7,2010-02-15,Southern America,INF_A,NONSENT,420,3,0,1,1.3333333333333333,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
Argentina,2010,8,2010-02-22,Southern America,INF_A,NONSENT,430,1,3,0,1.3333333333333333,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
Argentina,2010,9,2010-03-01,Southern America,INF_A,NONSENT,485,0,1,2,1,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
Argentina,2010,10,2010-03-08,Southern America,INF_A,NONSENT,553,2,0,0,0.6666666666666667,63.333333333333336,FALSE,8,FALSE,10.666666666666666,FALSE,FALSE,0,0,0
