simulation_index,ct,vt,infections,deaths,hospitalisations,YLLs,YLL_cost,discounted_costs,discounted_DALYs,cost_of_DALYs,discounted_doses,base_costs,base_DALYs,incremental_costs,incremental_DALYs,threshold_price,ct_n
1,1,1,91998480757.04865,23747296.603881277,159294435.77004197,419878489.2147324,5869154349134.92,172199547716.72995,299051226.7439326,4220670902822.097,10923540756.063541,200617248078.12662,4541461394173.225,28417700361.396667,320790491351.12744,31.96840653692644,0-5
1,1,2,86688518914.14426,22434804.214474663,146793508.05138573,391575483.3010013,5685972411507.399,164416387399.2008,279220168.61012447,4090408282672.993,9188697871.065077,200617248078.12662,4541461394173.225,36200860678.92581,451053111500.23145,53.02753219403424,0-5
1,1,3,69663590094.44293,18193478.55196044,109976163.5001251,306177691.773865,5083063973686.656,139127648150.3922,220837636.6768842,3667667961191.86,7582053131.20603,200617248078.12662,4541461394173.225,61489599927.734406,873793432981.3647,123.35485081998225,0-5
1,1,4,65493073535.33158,17113600.020803772,105588694.1774074,286746869.54452145,4968920548875.151,138663899427.33545,208941108.1030836,3598325496508.385,6760205210.603569,200617248078.12662,4541461394173.225,61953348650.79117,943135897664.8398,148.67732783305465,0-5
1,1,5,44527487199.45232,11831479.215719678,68790790.45126021,193720070.03926176,4093387254543.4736,109470587766.83253,146107673.09483498,3008884800100.7705,5912934240.343509,200617248078.12662,4541461394173.225,91146660311.29408,1532576594072.454,274.6053293312829,0-5
1,2,1,72351183632.90442,19048822.338682223,131156938.63647437,335191004.88464206,5012613211355.933,145814119876.63297,237943380.14508495,3588763237570.2563,23679607756.171497,200617248078.12662,4541461394173.225,54803128201.49365,952698156602.9683,42.547211726591286,0-12
1,2,2,57832977063.43533,15366052.686831325,102925981.39958768,264919068.09142518,4533439165850.684,129235975186.15942,189523117.24464232,3247322663932.355,17842114729.520954,200617248078.12662,4541461394173.225,71381272891.9672,1294138730240.8696,76.53352889125267,0-12
1,2,3,35168186799.887825,9514087.81662672,59779127.79645623,157444699.63498008,3441984589890.4106,91644637708.89404,113760008.64179376,2472769385144.484,12646787374.92289,200617248078.12662,4541461394173.225,108972610369.23257,2068692009028.7407,172.19113082552724,0-12
1,2,4,35019849120.06837,9523456.974221567,60105340.8257986,157278850.49291486,3555489213482.362,96205021610.14851,114195890.813454,2560222471431.1562,10196251278.55034,200617248078.12662,4541461394173.225,104412226467.9781,1981238922742.0684,204.55077971622677,0-12
1,2,5,24819833905.94615,7165890.644639611,40983711.68769311,115279721.36051433,2848434964911.225,72662088405.30121,84003292.84869431,2058206536481.8135,7822621884.091012,200617248078.12662,4541461394173.225,127955159672.82541,2483254857691.411,333.8024074351203,0-12
1,3,1,54936254089.83226,14406334.719559595,103090312.33585009,252118265.95309332,4276585507684.287,124458333708.99734,180669853.72077304,3052155552558.5864,42101191878.00588,200617248078.12662,4541461394173.225,76158914369.12927,1489305841614.6382,37.1833833236817,0-18
1,3,2,38476708539.95413,10191555.413711652,71582747.68800679,172125983.11802745,3477218707726.5234,99087910749.59601,123386284.73266803,2484228676778.9473,33040416541.478416,200617248078.12662,4541461394173.225,101529337328.53061,2057232717394.2773,65.33701087008791,0-18
1,3,3,18379031681.488487,5486915.597921422,33139777.54376596,88425573.57192001,2152711224663.6116,56235273388.57743,63833978.01949725,1540131402211.5222,24353858242.242054,200617248078.12662,4541461394173.225,144381974689.5492,3001329991961.702,129.16688334807571,0-18
1,3,4,18851692827.125702,5606803.744033895,34250189.704166286,90367714.8538629,2202349941361.394,58221345677.94331,65694644.99584241,1587769136856.6516,19828398517.441685,200617248078.12662,4541461394173.225,142395902400.1833,2953692257316.573,156.14413624949788,0-18
1,3,5,11135514303.195108,3416559.4705428276,19582496.459413126,55108632.42512289,1197827331839.7085,29762162793.46504,40750197.29174006,888899617578.668,15088415054.851564,200617248078.12662,4541461394173.225,170855085284.6616,3652561776594.5566,253.400827587244,0-18
1,4,1,98551258554.27524,22398859.83567714,180947668.03942,435510358.9897883,5409575170182.17,178582482409.11447,310778730.895736,3912242522726.7163,21108767597.037346,200617248078.12662,4541461394173.225,22034765669.012146,629218871446.5083,30.852281362315303,65+
1,4,2,97524484047.11058,21490655.66214713,177195125.55661133,424385391.8592305,5238408644131.58,174566298934.64847,303211193.6646508,3795317935305.406,17856674700.746803,200617248078.12662,4541461394173.225,26050949143.47815,746143458867.8188,43.24402056666251,65+
1,4,3,93798333943.74638,18283558.41726574,163748208.8411049,384994912.86167943,4570179762672.198,158488697285.4504,276204566.2247738,3332806419050.914,14246761975.552242,200617248078.12662,4541461394173.225,42128550792.67621,1208654975122.3105,87.79423198487902,65+
1,4,4,95070528903.5989,19351486.46908941,168347447.51203483,398195626.6864848,4825373037568.266,164766797112.34088,285511303.26884717,3513131654935.903,12150106884.440035,200617248078.12662,4541461394173.225,35850450965.785736,1028329739237.3218,87.58607642916655,65+
1,4,5,90624229915.94539,15630955.74697155,152623367.12285122,352314192.1941733,4059680345361.6963,146264702258.83987,254139088.2412052,2983629082846.2207,9801922573.7434,200617248078.12662,4541461394173.225,54352545819.28674,1557832311327.004,164.47639175041857,65+
1,5,1,53323729615.96946,12871812.132636474,97079146.71666537,232723643.30272412,3819835693339.27,114328836910.39842,167177745.32053792,2733430449231.5884,65388147515.48452,200617248078.12662,4541461394173.225,86288411167.7282,1808030944941.6362,28.97037808971071,"0-18, 65+"
1,5,2,36483869724.353745,8416553.574223923,64431109.852902874,149762005.09932044,2939693252204.955,87341888713.33951,108001567.95324795,2112564212080.321,52124161419.16343,200617248078.12662,4541461394173.225,113275359364.78711,2428897182092.9033,48.771480868813775,"0-18, 65+"
