country,val
Armenia,"Central Europe, Eastern Europe, and Central Asia"
Azerbaijan,"Central Europe, Eastern Europe, and Central Asia"
Georgia,"Central Europe, Eastern Europe, and Central Asia"
Kazakhstan,"Central Europe, Eastern Europe, and Central Asia"
Kyrgyzstan,"Central Europe, Eastern Europe, and Central Asia"
Mongolia,"Central Europe, Eastern Europe, and Central Asia"
Tajikistan,"Central Europe, Eastern Europe, and Central Asia"
Turkmenistan,"Central Europe, Eastern Europe, and Central Asia"
Uzbekistan,"Central Europe, Eastern Europe, and Central Asia"
Albania,"Central Europe, Eastern Europe, and Central Asia"
Bosnia and Herzegovina,"Central Europe, Eastern Europe, and Central Asia"
Bulgaria,"Central Europe, Eastern Europe, and Central Asia"
Croatia,"Central Europe, Eastern Europe, and Central Asia"
Czechia,"Central Europe, Eastern Europe, and Central Asia"
Hungary,"Central Europe, Eastern Europe, and Central Asia"
Montenegro,"Central Europe, Eastern Europe, and Central Asia"
North Macedonia,"Central Europe, Eastern Europe, and Central Asia"
Poland,"Central Europe, Eastern Europe, and Central Asia"
Romania,"Central Europe, Eastern Europe, and Central Asia"
Kosovo,"Central Europe, Eastern Europe, and Central Asia"
Serbia,"Central Europe, Eastern Europe, and Central Asia"
Slovakia,"Central Europe, Eastern Europe, and Central Asia"
Slovenia,"Central Europe, Eastern Europe, and Central Asia"
Belarus,"Central Europe, Eastern Europe, and Central Asia"
Estonia,"Central Europe, Eastern Europe, and Central Asia"
Latvia,"Central Europe, Eastern Europe, and Central Asia"
Lithuania,"Central Europe, Eastern Europe, and Central Asia"
Moldova,"Central Europe, Eastern Europe, and Central Asia"
Russian Federation,"Central Europe, Eastern Europe, and Central Asia"
Ukraine,"Central Europe, Eastern Europe, and Central Asia"
Australia,High-income
New Zealand,High-income
Brunei Darussalam,High-income
Japan,High-income
Republic of Korea,High-income
Singapore,High-income
Canada,High-income
United States of America,High-income
Argentina,High-income
Chile,High-income
Uruguay,High-income
Andorra,High-income
Austria,High-income
Belgium,High-income
Cyprus,High-income
Denmark,High-income
Finland,High-income
France,High-income
Germany,High-income
Greece,High-income
Iceland,High-income
Ireland,High-income
Israel,High-income
Italy,High-income
Luxembourg,High-income
Malta,High-income
Monaco,High-income
Netherlands,High-income
Norway,High-income
Portugal,High-income
San Marino,High-income
Spain,High-income
Sweden,High-income
Switzerland,High-income
United Kingdom,High-income
Bolivia,Latin America and Caribbean
Ecuador,Latin America and Caribbean
Peru,Latin America and Caribbean
Antigua and Barbuda,Latin America and Caribbean
Bahamas,Latin America and Caribbean
Barbados,Latin America and Caribbean
Belize,Latin America and Caribbean
Bermuda,Latin America and Caribbean
Cuba,Latin America and Caribbean
Dominica,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
Grenada,Latin America and Caribbean
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Jamaica,Latin America and Caribbean
Puerto Rico,Latin America and Caribbean
Saint Kitts and Nevis,Latin America and Caribbean
Saint Lucia,Latin America and Caribbean
Saint Vincent and the Grenadines,Latin America and Caribbean
French Guiana,Latin America and Caribbean
Suriname,Latin America and Caribbean
Trinidad and Tobago,Latin America and Caribbean
United States Virgin Islands,Latin America and Caribbean
Colombia,Latin America and Caribbean
Costa Rica,Latin America and Caribbean
El Salvador,Latin America and Caribbean
Guatemala,Latin America and Caribbean
Honduras,Latin America and Caribbean
Mexico,Latin America and Caribbean
Nicaragua,Latin America and Caribbean
Panama,Latin America and Caribbean
Venezuela,Latin America and Caribbean
Brazil,Latin America and Caribbean
Paraguay,Latin America and Caribbean
Afghanistan,North Africa and Middle East
Algeria,North Africa and Middle East
Bahrain,North Africa and Middle East
Egypt,North Africa and Middle East
Iran,North Africa and Middle East
Iraq,North Africa and Middle East
State of Palestine,North Africa and Middle East
Jordan,North Africa and Middle East
Kuwait,North Africa and Middle East
Lebanon,North Africa and Middle East
Libya,North Africa and Middle East
Morocco,North Africa and Middle East
Oman,North Africa and Middle East
West Bank and Gaza,North Africa and Middle East
Qatar,North Africa and Middle East
Saudi Arabia,North Africa and Middle East
Sudan,North Africa and Middle East
Syrian Arab Republic,North Africa and Middle East
Tunisia,North Africa and Middle East
Turkey,North Africa and Middle East
United Arab Emirates,North Africa and Middle East
Yemen,North Africa and Middle East
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Nepal,South Asia
Pakistan,South Asia
New Caledonia,"Southeast Asia, East Asia, and Oceania"
Macao SAR China,"Southeast Asia, East Asia, and Oceania"
Hong Kong SAR China,"Southeast Asia, East Asia, and Oceania"
China,"Southeast Asia, East Asia, and Oceania"
North Korea,"Southeast Asia, East Asia, and Oceania"
Taiwan,"Southeast Asia, East Asia, and Oceania"
American Samoa,"Southeast Asia, East Asia, and Oceania"
Cook Islands,"Southeast Asia, East Asia, and Oceania"
Fiji,"Southeast Asia, East Asia, and Oceania"
Guam,"Southeast Asia, East Asia, and Oceania"
Kiribati,"Southeast Asia, East Asia, and Oceania"
Marshall Islands,"Southeast Asia, East Asia, and Oceania"
Federated States of Micronesia,"Southeast Asia, East Asia, and Oceania"
Nauru,"Southeast Asia, East Asia, and Oceania"
Niue,"Southeast Asia, East Asia, and Oceania"
Northern Mariana Islands,"Southeast Asia, East Asia, and Oceania"
Palau,"Southeast Asia, East Asia, and Oceania"
Papua New Guinea,"Southeast Asia, East Asia, and Oceania"
Samoa,"Southeast Asia, East Asia, and Oceania"
Solomon Islands,"Southeast Asia, East Asia, and Oceania"
Tokelau,"Southeast Asia, East Asia, and Oceania"
Tonga,"Southeast Asia, East Asia, and Oceania"
Tuvalu,"Southeast Asia, East Asia, and Oceania"
Vanuatu,"Southeast Asia, East Asia, and Oceania"
Cambodia,"Southeast Asia, East Asia, and Oceania"
Indonesia,"Southeast Asia, East Asia, and Oceania"
Lao People's Democratic Republic,"Southeast Asia, East Asia, and Oceania"
Malaysia,"Southeast Asia, East Asia, and Oceania"
Maldives,"Southeast Asia, East Asia, and Oceania"
Mauritius,"Southeast Asia, East Asia, and Oceania"
Myanmar,"Southeast Asia, East Asia, and Oceania"
Philippines,"Southeast Asia, East Asia, and Oceania"
Seychelles,"Southeast Asia, East Asia, and Oceania"
Sri Lanka,"Southeast Asia, East Asia, and Oceania"
Thailand,"Southeast Asia, East Asia, and Oceania"
Timor-Leste,"Southeast Asia, East Asia, and Oceania"
Vietnam,"Southeast Asia, East Asia, and Oceania"
Angola,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Djibouti,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Sudan,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Cape Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Côte d'Ivoire,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Niger,Sub-Saharan Africa
