Country,World Bank Income Levela [10],WHO Region,GDP per capita  (2018 US$) [11],Population [11],DTP3 Coverage [12],Number of Doses in Scheduleb,Predicted Financial Delivery Cost per Dose for Childhood Vaccines
Afghanistan,LIC,EMR,$520,"37,200,000",0.66,18,$0.81 ($0.20–2.25)
Albania,UMIC,EUR,"$5,250","2,870,000",0.99,11,$6.89 ($3.08–14.02)
Algeria,UMIC,AFR,"$4,280","42,200,000",0.91,22,$3.01 ($0.92–7.48)
Angola,UMIC,AFR,"$3,430","30,800,000",0.59,11,$1.15 ($0.24–3.64)
Argentina,UMIC,AMR,"$11,650","44,500,000",0.86,18,$3.42 ($0.88–9.65)
Armenia,LMIC,EUR,"$4,210","2,950,000",0.92,16,$5.19 ($2.26–10.60)
Azerbaijan,UMIC,EUR,"$4,720","9,940,000",0.95,17,$4.56 ($1.87–9.52)
Bangladesh,LMIC,SEAR,"$1,700","161,000,000",0.98,18,$2.18 ($0.68–5.31)
Belarus,UMIC,EUR,"$6,290","9,490,000",0.97,13,$5.23 ($2.27–10.78)
Belize,UMIC,AMR,"$5,030","383,000",0.96,12,$9.90 ($3.86–21.75)
Benin,LIC,AFR,$900,"11,500,000",0.76,18,$1.58 ($0.53–3.80)
Bhutan,LMIC,SEAR,"$3,360","754,000",0.97,13,$7.80 ($3.33–16.33)
Bolivia,LMIC,AMR,"$3,550","11,400,000",0.83,18,$2.84 ($1.02–6.53)
Bosnia and Herzegovina,UMIC,EUR,"$5,950","3,320,000",0.73,12,$3.17 ($0.94–8.31)
Botswana,UMIC,AFR,"$8,260","2,250,000",0.95,13,$7.28 ($3.11–15.46)
Brazil,UMIC,AMR,"$8,920","209,000,000",0.83,14,$2.07 ($0.49–5.99)
Bulgaria,UMIC,EUR,"$9,270","7,020,000",0.92,11,$5.32 ($2.12–11.79)
Burkina Faso,LIC,AFR,$730,"19,800,000",0.91,12,$2.12 ($0.76–4.80)
Burundi,LIC,AFR,$280,"11,200,000",0.9,16,$1.87 ($0.57–4.68)
Cabo Verde,LMIC,AFR,"$3,650","544,000",0.98,15,$8.87 ($3.84–18.24)
Cambodia,LMIC,WPR,"$1,510","16,200,000",0.92,18,$2.75 ($1.10–5.84)
Cameroon,LMIC,AFR,"$1,530","25,200,000",0.79,9,$1.66 ($0.53–4.01)
Central African Republic,LIC,AFR,$510,"4,670,000",0.47,14,$0.76 ($0.12–2.59)
Chad,LIC,AFR,$730,"15,500,000",0.41,17,$0.55 ($0.08–2.06)
China,UMIC,WPR,"$9,770","1,393,000,000",0.99,7,$2.28 ($0.58–6.36)
Colombia,UMIC,AMR,"$6,650","49,600,000",0.92,13,$3.23 ($1.14–7.44)
Comoros,LIC,AFR,"$1,450","832,000",0.91,17,$5.06 ($2.07–10.59)
Congo,LMIC,AFR,"$2,150","5,200,000",0.75,16,$2.28 ($0.78–5.40)
"Congo, Democratic Republic of the",LIC,AFR,$560,"84,100,000",0.81,16,$1.08 ($0.33–2.72)
Costa Rica,UMIC,AMR,"$12,030","5,000,000",0.94,14,$6.67 ($2.52–15.13)
Côte d'Ivoire,LMIC,AFR,"$1,720","25,100,000",0.82,19,$1.91 ($0.66–4.53)
Cuba,UMIC,AMR,"$8,100","11,300,000",0.99,12,$5.76 ($2.43–11.99)
Djibouti,LMIC,EMR,"$2,050","959,000",0.84,16,$4.30 ($1.65–9.42)
Dominica,UMIC,AMR,"$7,030","71,600",0.94,11,$15.51 ($4.60–40.43)
Dominican Republic,UMIC,AMR,"$7,650","10,600,000",0.94,9,$4.88 ($1.97–10.68)
Ecuador,UMIC,AMR,"$6,340","17,100,000",0.85,16,$3.26 ($1.11–7.82)
Egypt,LMIC,EMR,"$2,550","98,400,000",0.95,16,$2.39 ($0.82–5.58)
