country_code,simulation_index,age_grp,ifr,iso3c,itz
BGD,1,1,1.5025823931748313e-4,BGD,Eastern and Southern Asia
BRN,1,1,2.4303313590974447e-5,BRN,Eastern and Southern Asia
BTN,1,1,1.6201112826338376e-4,BTN,Eastern and Southern Asia
CHN,1,1,2.7171310452793245e-5,CHN,Eastern and Southern Asia
HKG,1,1,3.188310431387755e-6,HKG,Eastern and Southern Asia
IDN,1,1,2.233607111701371e-5,IDN,Eastern and Southern Asia
IND,1,1,9.716971136059377e-5,IND,Eastern and Southern Asia
KHM,1,1,3.847091561531151e-4,KHM,Eastern and Southern Asia
KOR,1,1,1.0339971806182954e-6,KOR,Eastern and Southern Asia
LAO,1,1,3.717073650679703e-5,LAO,Eastern and Southern Asia
LKA,1,1,2.8453439537031124e-5,LKA,Eastern and Southern Asia
MAC,1,1,4.78689618453896e-6,MAC,Eastern and Southern Asia
MDV,1,1,9.371861483537104e-5,MDV,Eastern and Southern Asia
MMR,1,1,2.5863641721098513e-4,MMR,Eastern and Southern Asia
MNG,1,1,6.476049225465212e-5,MNG,Eastern and Southern Asia
MYS,1,1,5.367092641770056e-5,MYS,Eastern and Southern Asia
NPL,1,1,7.537039694431935e-5,NPL,Eastern and Southern Asia
PHL,1,1,5.01018884036064e-4,PHL,Eastern and Southern Asia
PNG,1,1,4.89986774030229e-5,PNG,Eastern and Southern Asia
PRK,1,1,6.724887873713016e-5,PRK,Eastern and Southern Asia
RUS,1,1,3.191979968495582e-5,RUS,Eastern and Southern Asia
SGP,1,1,1.2872710354032074e-5,SGP,Eastern and Southern Asia
THA,1,1,1.2801535878889899e-5,THA,Eastern and Southern Asia
TLS,1,1,6.096319906154093e-4,TLS,Eastern and Southern Asia
VNM,1,1,6.278584722303132e-5,VNM,Eastern and Southern Asia
JPN,1,1,3.2840460261756637e-6,JPN,Eastern and Southern Asia
TWN,1,1,2.211599548248298e-6,TWN,Eastern and Southern Asia
BGD,2,1,2.7717544342723775e-4,BGD,Eastern and Southern Asia
BRN,2,1,1.4058838228379086e-5,BRN,Eastern and Southern Asia
BTN,2,1,4.008241975450748e-5,BTN,Eastern and Southern Asia
CHN,2,1,1.693144184313496e-5,CHN,Eastern and Southern Asia
HKG,2,1,3.6343731870317613e-6,HKG,Eastern and Southern Asia
IDN,2,1,6.1201615644098e-5,IDN,Eastern and Southern Asia
IND,2,1,2.3595518921643672e-4,IND,Eastern and Southern Asia
KHM,2,1,2.3295772571088329e-4,KHM,Eastern and Southern Asia
KOR,2,1,1.5599669519299623e-6,KOR,Eastern and Southern Asia
LAO,2,1,2.7334116336486956e-4,LAO,Eastern and Southern Asia
LKA,2,1,4.733829611584209e-5,LKA,Eastern and Southern Asia
MAC,2,1,6.83078018751954e-6,MAC,Eastern and Southern Asia
MDV,2,1,1.405521724303863e-5,MDV,Eastern and Southern Asia
MMR,2,1,4.643542798820221e-5,MMR,Eastern and Southern Asia
MNG,2,1,3.0094380154038142e-5,MNG,Eastern and Southern Asia
MYS,2,1,3.14261151187164e-5,MYS,Eastern and Southern Asia
NPL,2,1,3.6085976498326656e-4,NPL,Eastern and Southern Asia
PHL,2,1,2.710254059362781e-4,PHL,Eastern and Southern Asia
PNG,2,1,2.6796154909694656e-4,PNG,Eastern and Southern Asia
PRK,2,1,3.3061632882486795e-5,PRK,Eastern and Southern Asia
RUS,2,1,2.5188610760838108e-5,RUS,Eastern and Southern Asia
SGP,2,1,1.2559230313210441e-5,SGP,Eastern and Southern Asia
THA,2,1,6.358367294333851e-5,THA,Eastern and Southern Asia
TLS,2,1,3.079691402818749e-4,TLS,Eastern and Southern Asia
VNM,2,1,5.474233366470864e-5,VNM,Eastern and Southern Asia
JPN,2,1,2.5742761134326565e-6,JPN,Eastern and Southern Asia
TWN,2,1,2.5678142664262114e-6,TWN,Eastern and Southern Asia
BGD,3,1,4.5237499069476376e-4,BGD,Eastern and Southern Asia
BRN,3,1,2.03190158396002e-5,BRN,Eastern and Southern Asia
BTN,3,1,9.8337835656808e-4,BTN,Eastern and Southern Asia
CHN,3,1,1.5983269930581562e-5,CHN,Eastern and Southern Asia
HKG,3,1,3.4595933711775056e-6,HKG,Eastern and Southern Asia
IDN,3,1,1.2281849020671153e-4,IDN,Eastern and Southern Asia
IND,3,1,8.823775152398263e-5,IND,Eastern and Southern Asia
KHM,3,1,3.773107453762359e-4,KHM,Eastern and Southern Asia
KOR,3,1,2.0782865359106545e-6,KOR,Eastern and Southern Asia
LAO,3,1,9.087888288921384e-5,LAO,Eastern and Southern Asia
LKA,3,1,3.228338111138819e-5,LKA,Eastern and Southern Asia
MAC,3,1,1.2513849901559078e-5,MAC,Eastern and Southern Asia
MDV,3,1,4.692426209214662e-5,MDV,Eastern and Southern Asia
MMR,3,1,6.371232381155835e-4,MMR,Eastern and Southern Asia
MNG,3,1,3.6062785214509124e-5,MNG,Eastern and Southern Asia
MYS,3,1,1.4935149267463515e-4,MYS,Eastern and Southern Asia
NPL,3,1,9.799445915599835e-5,NPL,Eastern and Southern Asia
PHL,3,1,2.3732686487109184e-4,PHL,Eastern and Southern Asia
PNG,3,1,1.1392529538510367e-4,PNG,Eastern and Southern Asia
PRK,3,1,4.6055680052413645e-5,PRK,Eastern and Southern Asia
RUS,3,1,5.569929810121618e-6,RUS,Eastern and Southern Asia
SGP,3,1,1.4100814351378503e-5,SGP,Eastern and Southern Asia
THA,3,1,1.1829471026183697e-5,THA,Eastern and Southern Asia
TLS,3,1,1.6792075374588732e-4,TLS,Eastern and Southern Asia
VNM,3,1,5.537619625413738e-5,VNM,Eastern and Southern Asia
JPN,3,1,2.0989807859522524e-6,JPN,Eastern and Southern Asia
TWN,3,1,2.703337275870041e-6,TWN,Eastern and Southern Asia
BGD,4,1,1.4036037536596427e-4,BGD,Eastern and Southern Asia
BRN,4,1,1.7573805657025986e-5,BRN,Eastern and Southern Asia
BTN,4,1,2.990023477388066e-5,BTN,Eastern and Southern Asia
CHN,4,1,1.5680263077247225e-5,CHN,Eastern and Southern Asia
HKG,4,1,3.2761177865641407e-6,HKG,Eastern and Southern Asia
IDN,4,1,1.891270122304979e-4,IDN,Eastern and Southern Asia
IND,4,1,3.245187207690141e-4,IND,Eastern and Southern Asia
KHM,4,1,4.070041770770557e-4,KHM,Eastern and Southern Asia
KOR,4,1,1.8654773605948067e-6,KOR,Eastern and Southern Asia
LAO,4,1,2.1104201766643571e-4,LAO,Eastern and Southern Asia
LKA,4,1,9.650478816415576e-6,LKA,Eastern and Southern Asia
MAC,4,1,1.2860093435951325e-5,MAC,Eastern and Southern Asia
MDV,4,1,2.215846253806511e-5,MDV,Eastern and Southern Asia
MMR,4,1,3.4693008371002006e-5,MMR,Eastern and Southern Asia
MNG,4,1,4.688559718777367e-5,MNG,Eastern and Southern Asia
MYS,4,1,3.6852050922457995e-5,MYS,Eastern and Southern Asia
NPL,4,1,1.224010648895973e-4,NPL,Eastern and Southern Asia
PHL,4,1,2.992836770182326e-4,PHL,Eastern and Southern Asia
PNG,4,1,2.8238811815278357e-4,PNG,Eastern and Southern Asia
PRK,4,1,2.330702967163053e-5,PRK,Eastern and Southern Asia
RUS,4,1,2.863740312544276e-5,RUS,Eastern and Southern Asia
SGP,4,1,1.4266609756473842e-5,SGP,Eastern and Southern Asia
THA,4,1,9.525565175149495e-6,THA,Eastern and Southern Asia
TLS,4,1,4.214629876363376e-4,TLS,Eastern and Southern Asia
VNM,4,1,1.5200495304752008e-5,VNM,Eastern and Southern Asia
JPN,4,1,3.4189444883844983e-6,JPN,Eastern and Southern Asia
TWN,4,1,2.9284559771563744e-6,TWN,Eastern and Southern Asia
BGD,5,1,4.954428659975628e-4,BGD,Eastern and Southern Asia
BRN,5,1,1.5138025036238641e-5,BRN,Eastern and Southern Asia
BTN,5,1,9.692719562608649e-5,BTN,Eastern and Southern Asia
CHN,5,1,2.9223366973696044e-5,CHN,Eastern and Southern Asia
HKG,5,1,3.209546662676264e-6,HKG,Eastern and Southern Asia
IDN,5,1,3.59959195151685e-5,IDN,Eastern and Southern Asia
IND,5,1,5.171946681725268e-5,IND,Eastern and Southern Asia
KHM,5,1,2.88343620623679e-4,KHM,Eastern and Southern Asia
KOR,5,1,1.6971521228288787e-6,KOR,Eastern and Southern Asia
LAO,5,1,3.2670878660340014e-4,LAO,Eastern and Southern Asia
LKA,5,1,8.777951256960757e-6,LKA,Eastern and Southern Asia
MAC,5,1,9.52534585782839e-6,MAC,Eastern and Southern Asia
MDV,5,1,1.9017452450170782e-5,MDV,Eastern and Southern Asia
