country_code,age_grp,cluster_name,yll
ARG,1,Southern America,74.64859560196459
AUS,1,Oceania-Melanesia-Polynesia,81.78715849845044
FJI,1,Oceania-Melanesia-Polynesia,67.41061967975398
NCL,1,Oceania-Melanesia-Polynesia,79.66036901429446
NZL,1,Oceania-Melanesia-Polynesia,81.26087907331704
SLB,1,Oceania-Melanesia-Polynesia,69.70360114854611
TON,1,Oceania-Melanesia-Polynesia,69.83825965545023
VUT,1,Oceania-Melanesia-Polynesia,69.67438896040656
WSM,1,Oceania-Melanesia-Polynesia,71.56311369856478
BHS,1,Northern America,73.01387525405566
BLZ,1,Northern America,69.5908248444183
CAN,1,Northern America,81.13185646495445
CUB,1,Northern America,76.43709513449565
ECU,1,Northern America,76.6296594231528
GTM,1,Northern America,67.89438835423333
HND,1,Northern America,69.52582239717381
MEX,1,Northern America,73.55404018927392
NIC,1,Northern America,73.43375470934113
PER,1,Northern America,72.02732950636964
PRI,1,Northern America,78.21165190766914
USA,1,Northern America,76.5475935609479
ALB,1,Europe,75.36729748484085
AUT,1,Europe,80.59583631986919
BEL,1,Europe,80.50220582344976
BGR,1,Europe,69.85677953280975
BIH,1,Europe,73.61092062905048
BLR,1,Europe,71.37556108834042
CHE,1,Europe,82.48046520531605
CZE,1,Europe,76.29169336254724
DEU,1,Europe,79.19905559337357
DNK,1,Europe,80.0886724972679
DZA,1,Europe,76.27129075469806
ESP,1,Europe,82.07430678700536
EST,1,Europe,77.2843100987974
FIN,1,Europe,80.47204404415788
FRA,1,Europe,81.47116231177681
GBR,1,Europe,80.38673104616049
GRC,1,Europe,78.84922199363245
HRV,1,Europe,77.45657094088139
HUN,1,Europe,73.17640237372281
IRL,1,Europe,80.89267820271724
ISL,1,Europe,80.92444602019833
ITA,1,Europe,82.21604014307088
LBY,1,Europe,70.72951734731619
LTU,1,Europe,72.4754931836333
LUX,1,Europe,80.81369056141301
LVA,1,Europe,74.1244115752023
MAR,1,Europe,73.91614861587439
MDA,1,Europe,67.36759142828652
MKD,1,Europe,72.23625638582764
MLT,1,Europe,82.08503963575396
MNE,1,Europe,74.93754673566015
NLD,1,Europe,80.6662644887107
NOR,1,Europe,81.52923145348107
POL,1,Europe,75.22232824108039
PRT,1,Europe,80.41595548511576
ROU,1,Europe,72.4767883536805
SRB,1,Europe,72.439196323849
SVK,1,Europe,73.64654957708699
SVN,1,Europe,80.24181236332471
SWE,1,Europe,81.64101709383726
TUN,1,Europe,73.14605001644446
UKR,1,Europe,66.98593566569748
XKX,1,Europe,77.95454819663478
BOL,1,Southern America,64.46177489221499
BRA,1,Southern America,72.19677555712155
BRB,1,Southern America,76.3955431830692
CHL,1,Southern America,77.86083617308488
COL,1,Southern America,72.36419347272705
CRI,1,Southern America,75.7826661164549
DOM,1,Southern America,73.86031682718323
GUF,1,Southern America,75.965258171946
GUY,1,Southern America,65.41113303636116
HTI,1,Southern America,64.35981946215284
JAM,1,Southern America,69.33605080830597
LCA,1,Southern America,70.05059365143684
PAN,1,Southern America,75.74381224944504
PRY,1,Southern America,69.50210014779732
SLV,1,Southern America,70.09589242755563
SUR,1,Southern America,69.26439434371892
TTO,1,Southern America,73.674146963615
URY,1,Southern America,76.39980130501324
VCT,1,Southern America,67.74196434709843
VEN,1,Southern America,70.03139968139062
