country,kmeans_cluster_num,kmeans_cluster_name,hi_cluster_ward_num,hi_cluster_ward_name,country_altern_name
Uruguay,1,Southern America,1,Southern America,Uruguay
Argentina,1,Southern America,1,Southern America,Argentina
Bolivia,1,Southern America,1,Southern America,Bolivia (Plurinational State of)
Brazil,1,Southern America,1,Southern America,Brazil
Colombia,1,Southern America,1,Southern America,Colombia
French Guiana,1,Southern America,1,Southern America,French Guiana
Panama,1,Southern America,1,Southern America,Panama
Chile,1,Southern America,1,Southern America,Chile
Paraguay,1,Southern America,1,Southern America,Paraguay
Jamaica,1,Southern America,1,Southern America,Jamaica
Venezuela,1,Southern America,1,Southern America,Venezuela (Bolivarian Republic of)
Suriname,1,Southern America,1,Southern America,Suriname
Dominican Republic,1,Southern America,1,Southern America,Dominican Republic
El Salvador,1,Southern America,1,Southern America,El Salvador
Haiti,1,Southern America,1,Southern America,Haiti
Costa Rica,1,Southern America,1,Southern America,Costa Rica
Ecuador,2,Northern America,1,Southern America,Ecuador
Honduras,2,Northern America,2,Northern America,Honduras
Nicaragua,2,Northern America,2,Northern America,Nicaragua
Peru,2,Northern America,2,Northern America,Peru
Cuba,2,Northern America,2,Northern America,Cuba
Belize,2,Northern America,2,Northern America,Belize
Canada,2,Northern America,2,Northern America,Canada
United States,2,Northern America,2,Northern America,United States of America
Guatemala,2,Northern America,2,Northern America,Guatemala
Mexico,2,Northern America,2,Northern America,Mexico
Fiji,3,Oceania-Melanesia-Polynesia,3,Oceania-Melanesia-Polynesia,Fiji
Australia,3,Oceania-Melanesia-Polynesia,3,Oceania-Melanesia-Polynesia,Australia
New Caledonia,3,Oceania-Melanesia-Polynesia,3,Oceania-Melanesia-Polynesia,New Caledonia
Papua New Guinea,4,Eastern and Southern Asia,3,Oceania-Melanesia-Polynesia,Papua New Guinea
Nepal,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Nepal
Singapore,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Singapore
Philippines,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Philippines
Laos,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Lao People's Democratic Republic
Cambodia,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Cambodia
Thailand,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Thailand
Russia,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Russian Federation
Mongolia,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Mongolia
China,4,Eastern and Southern Asia,4,Eastern and Southern Asia,China
Republic of Korea,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Republic of Korea
Bangladesh,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Bangladesh
Bhutan,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Bhutan
Maldives,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Maldives
India,4,Eastern and Southern Asia,4,Eastern and Southern Asia,India
Sri Lanka,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Sri Lanka
Viet Nam,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Viet Nam
Malaysia,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Malaysia
Indonesia,4,Eastern and Southern Asia,4,Eastern and Southern Asia,Indonesia
Cote d'Ivoire,5,Africa,5,Africa,Côte d'Ivoire
Ghana,5,Africa,5,Africa,Ghana
Burkina Faso,5,Africa,5,Africa,Burkina Faso
Niger,5,Africa,5,Africa,Niger
Senegal,5,Africa,5,Africa,Senegal
Sierra Leone,5,Africa,5,Africa,Sierra Leone
Cameroon,5,Africa,5,Africa,Cameroon
Togo,5,Africa,5,Africa,Togo
Mali,5,Africa,5,Africa,Mali
Nigeria,5,Africa,5,Africa,Nigeria
Kenya,5,Africa,5,Africa,Kenya
Central African Republic,5,Africa,5,Africa,Central African Republic
Uganda,5,Africa,5,Africa,Uganda
Mauritius,5,Africa,5,Africa,Mauritius
Zambia,5,Africa,5,Africa,Zambia
South Africa,5,Africa,5,Africa,South Africa
Madagascar,5,Africa,5,Africa,Madagascar
Mozambique,5,Africa,5,Africa,Mozambique
Bulgaria,6,Europe,6,Europe,Bulgaria
Greece,6,Europe,6,Europe,Greece
Austria,6,Europe,6,Europe,Austria
Slovenia,6,Europe,6,Europe,Slovenia
Poland,6,Europe,6,Europe,Poland
Slovakia,6,Europe,6,Europe,Slovakia
Ukraine,6,Europe,6,Europe,Ukraine
Finland,6,Europe,6,Europe,Finland
Estonia,6,Europe,6,Europe,Estonia
Belarus,6,Europe,6,Europe,Belarus
Lithuania,6,Europe,6,Europe,Lithuania
Malta,6,Europe,6,Europe,Malta
Spain,6,Europe,6,Europe,Spain
Morocco,6,Europe,6,Europe,Morocco
Norway,6,Europe,6,Europe,Norway
France,6,Europe,6,Europe,France
Netherlands,6,Europe,6,Europe,Netherlands
Denmark,6,Europe,6,Europe,Denmark
Germany,6,Europe,6,Europe,Germany
Iceland,6,Europe,6,Europe,Iceland
Ireland,6,Europe,6,Europe,Ireland
United Kingdom,6,Europe,6,Europe,"United Kingdom, England, UK"
Afghanistan,7,Asia-Europe,7,Asia-Europe,Afghanistan
Pakistan,7,Asia-Europe,7,Asia-Europe,Pakistan
Kazakhstan,7,Asia-Europe,7,Asia-Europe,Kazakhstan
Kyrgyzstan,7,Asia-Europe,7,Asia-Europe,Kyrgyzstan
Armenia,7,Asia-Europe,7,Asia-Europe,Armenia
Iran,7,Asia-Europe,7,Asia-Europe,Iran (Islamic Republic of)
Azerbaijan,7,Asia-Europe,7,Asia-Europe,Azerbaijan
Georgia,7,Asia-Europe,7,Asia-Europe,Georgia
Jordan,7,Asia-Europe,7,Asia-Europe,Jordan
