country,code,strain,year,yearID,num_epis,epidID
Argentina,ARG,INF_A,2010,ARGA10,1,ARGA100906
Argentina,ARG,INF_A,2011,ARGA11,1,ARGA110509
Argentina,ARG,INF_A,2012,ARGA12,1,ARGA120625
Argentina,ARG,INF_A,2013,ARGA13,1,ARGA130506
Argentina,ARG,INF_A,2014,ARGA14,1,ARGA140526
Argentina,ARG,INF_A,2015,ARGA15,1,ARGA150601
Argentina,ARG,INF_A,2016,ARGA16,1,ARGA160307
Argentina,ARG,INF_A,2017,ARGA17,1,ARGA170327
Argentina,ARG,INF_A,2018,ARGA18,1,ARGA180521
Argentina,ARG,INF_A,2019,ARGA19,1,ARGA190318
Australia,AUS,INF_A,2010,AUSA10,1,AUSA100816
Australia,AUS,INF_A,2011,AUSA11,1,AUSA110704
Australia,AUS,INF_A,2012,AUSA12,1,AUSA120521
Australia,AUS,INF_A,2013,AUSA13,1,AUSA130708
Australia,AUS,INF_A,2014,AUSA14,1,AUSA140623
Australia,AUS,INF_A,2015,AUSA15,1,AUSA150629
Australia,AUS,INF_A,2016,AUSA16,1,AUSA160516
Australia,AUS,INF_A,2017,AUSA17,1,AUSA170612
Australia,AUS,INF_A,2018,AUSA18,2,"c(""AUSA180611"", ""AUSA181105"")"
Australia,AUS,INF_A,2019,AUSA19,1,AUSA191230
Canada,CAN,INF_A,2010,CANA10,1,CANA101122
Canada,CAN,INF_A,2011,CANA11,1,CANA111226
Canada,CAN,INF_A,2012,CANA12,1,CANA121105
Canada,CAN,INF_A,2013,CANA13,1,CANA131125
Canada,CAN,INF_A,2014,CANA14,1,CANA141103
Canada,CAN,INF_A,2015,CANA15,1,CANA151214
Canada,CAN,INF_A,2016,CANA16,1,CANA161017
Canada,CAN,INF_A,2017,CANA17,1,CANA170925
Canada,CAN,INF_A,2018,CANA18,1,CANA181015
Canada,CAN,INF_A,2019,CANA19,1,CANA191014
China,CHN,INF_A,2010,CHNA10,2,"c(""CHNA100802"", ""CHNA101220"")"
China,CHN,INF_A,2011,CHNA11,0,character(0)
China,CHN,INF_A,2012,CHNA12,3,"c(""CHNA120220"", ""CHNA120625"", ""CHNA121210"")"
China,CHN,INF_A,2013,CHNA13,2,"c(""CHNA130218"", ""CHNA131111"")"
China,CHN,INF_A,2014,CHNA14,2,"c(""CHNA140602"", ""CHNA141103"")"
China,CHN,INF_A,2015,CHNA15,2,"c(""CHNA150601"", ""CHNA151207"")"
China,CHN,INF_A,2016,CHNA16,1,CHNA160919
China,CHN,INF_A,2017,CHNA17,2,"c(""CHNA170626"", ""CHNA171106"")"
