COUNTRY_AREA_TERRITORY,STRAIN,ISO_YEAR,ISO_WEEK,COUNTRY_CODE,ORIGIN_SOURCE,SPEC_PROCESSED_NB,ISO_WEEKSTARTDATE,country,cluster_name,metasource,value,positivity,STRAIN_SOURCE
Argentina,INF_A,2008,1,ARG,NOTDEFINED,19,31/12/2007,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,2,ARG,NOTDEFINED,21,07/01/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,3,ARG,NOTDEFINED,27,14/01/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,4,ARG,NOTDEFINED,25,21/01/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,5,ARG,NOTDEFINED,26,28/01/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,6,ARG,NOTDEFINED,25,04/02/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,7,ARG,NOTDEFINED,27,11/02/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,8,ARG,NOTDEFINED,25,18/02/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,9,ARG,NOTDEFINED,20,25/02/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,10,ARG,NOTDEFINED,28,03/03/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,11,ARG,NOTDEFINED,54,10/03/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,12,ARG,NOTDEFINED,42,17/03/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,13,ARG,NOTDEFINED,58,24/03/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,14,ARG,NOTDEFINED,57,31/03/2008,Argentina,Southern America,NONSENT,1,1.754385965,INF_A (NONSENT)
Argentina,INF_A,2008,15,ARG,NOTDEFINED,57,07/04/2008,Argentina,Southern America,NONSENT,1,1.754385965,INF_A (NONSENT)
Argentina,INF_A,2008,16,ARG,NOTDEFINED,55,14/04/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,17,ARG,NOTDEFINED,77,21/04/2008,Argentina,Southern America,NONSENT,1,1.298701299,INF_A (NONSENT)
Argentina,INF_A,2008,18,ARG,NOTDEFINED,380,28/04/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,19,ARG,NOTDEFINED,685,05/05/2008,Argentina,Southern America,NONSENT,0,0,INF_A (NONSENT)
Argentina,INF_A,2008,20,ARG,NOTDEFINED,670,12/05/2008,Argentina,Southern America,NONSENT,1,0.149253731,INF_A (NONSENT)
Argentina,INF_A,2008,21,ARG,NOTDEFINED,856,19/05/2008,Argentina,Southern America,NONSENT,2,0.23364486,INF_A (NONSENT)
Argentina,INF_A,2008,22,ARG,NOTDEFINED,783,26/05/2008,Argentina,Southern America,NONSENT,2,0.255427842,INF_A (NONSENT)
Argentina,INF_A,2008,23,ARG,NOTDEFINED,1144,02/06/2008,Argentina,Southern America,NONSENT,4,0.34965035,INF_A (NONSENT)
Argentina,INF_A,2008,24,ARG,NOTDEFINED,1186,09/06/2008,Argentina,Southern America,NONSENT,5,0.42158516,INF_A (NONSENT)
Argentina,INF_A,2008,25,ARG,NOTDEFINED,1260,16/06/2008,Argentina,Southern America,NONSENT,14,1.111111111,INF_A (NONSENT)
Argentina,INF_A,2008,26,ARG,NOTDEFINED,1192,23/06/2008,Argentina,Southern America,NONSENT,30,2.516778523,INF_A (NONSENT)
Argentina,INF_A,2008,27,ARG,NOTDEFINED,1138,30/06/2008,Argentina,Southern America,NONSENT,49,4.305799649,INF_A (NONSENT)
Argentina,INF_A,2008,28,ARG,NOTDEFINED,924,07/07/2008,Argentina,Southern America,NONSENT,54,5.844155844,INF_A (NONSENT)
Argentina,INF_A,2008,29,ARG,NOTDEFINED,962,14/07/2008,Argentina,Southern America,NONSENT,48,4.98960499,INF_A (NONSENT)
