country,code,strain,year,month,day,epidID,epidemic_index
Argentina,ARG,INF_A,2010,09,06,ARGA100906,1
Argentina,ARG,INF_A,2011,05,09,ARGA110509,2
Argentina,ARG,INF_A,2012,06,25,ARGA120625,3
Argentina,ARG,INF_A,2013,05,06,ARGA130506,4
Argentina,ARG,INF_A,2014,05,26,ARGA140526,5
Argentina,ARG,INF_A,2015,06,01,ARGA150601,6
Argentina,ARG,INF_A,2016,03,07,ARGA160307,7
Argentina,ARG,INF_A,2017,03,27,ARGA170327,8
Argentina,ARG,INF_A,2018,05,21,ARGA180521,9
Argentina,ARG,INF_A,2019,03,18,ARGA190318,10
Argentina,ARG,INF_B,2010,05,24,ARGB100524,1
Argentina,ARG,INF_B,2012,07,02,ARGB120702,2
Argentina,ARG,INF_B,2013,06,17,ARGB130617,3
Argentina,ARG,INF_B,2014,06,02,ARGB140602,4
Argentina,ARG,INF_B,2016,03,14,ARGB160314,5
Argentina,ARG,INF_B,2017,04,24,ARGB170424,6
Argentina,ARG,INF_B,2018,05,14,ARGB180514,7
Argentina,ARG,INF_B,2019,07,15,ARGB190715,8
Australia,AUS,INF_A,2010,08,16,AUSA100816,1
Australia,AUS,INF_A,2011,07,04,AUSA110704,2
Australia,AUS,INF_A,2012,05,21,AUSA120521,3
Australia,AUS,INF_A,2013,07,08,AUSA130708,4
Australia,AUS,INF_A,2014,06,23,AUSA140623,5
Australia,AUS,INF_A,2015,06,29,AUSA150629,6
Australia,AUS,INF_A,2016,05,16,AUSA160516,7
Australia,AUS,INF_A,2017,06,12,AUSA170612,8
Australia,AUS,INF_A,2018,06,11,AUSA180611,9
Australia,AUS,INF_A,2018,11,05,AUSA181105,10
Australia,AUS,INF_A,2019,12,30,AUSA191230,11
Australia,AUS,INF_B,2010,08,09,AUSB100809,1
Australia,AUS,INF_B,2011,07,04,AUSB110704,2
Australia,AUS,INF_B,2012,05,14,AUSB120514,3
Australia,AUS,INF_B,2013,07,08,AUSB130708,4
Australia,AUS,INF_B,2014,07,14,AUSB140714,5
