country,country_code,vacc_program,year,age1,age2,age3,age4
Argentina,ARG,1,2025,1921871.7639655455,6583690.609587075,0,3552851.4799855636
Argentina,ARG,1,2026,1753610.9398676355,5640245.2888289485,0,3272158.836055246
Argentina,ARG,1,2027,1773267.312175945,5601621.529412483,0,3416210.9788849037
Argentina,ARG,1,2028,1792617.8340384802,5569728.9478748785,0,3552828.46575282
Argentina,ARG,1,2029,1810455.195391111,5543761.1082411595,0,3682222.443148196
Argentina,ARG,1,2030,1827002.8597802592,5523012.491770597,0,3804721.5533181936
Argentina,ARG,1,2031,1850806.867731573,5539498.021624736,0,3941692.886593904
Argentina,ARG,1,2032,1857380.3347980354,5494848.101632901,0,4030342.733008007
Argentina,ARG,1,2033,1870899.1784554606,5486518.016910177,0,4134091.5538139283
Argentina,ARG,1,2034,1883754.4150899467,5481395.000890562,0,4232220.502560541
Argentina,ARG,1,2035,1895971.9118918986,5479126.122330183,0,4325011.349418291
Argentina,ARG,1,2036,1916298.4988867482,5511819.929104197,0,4436706.9332959065
Argentina,ARG,1,2037,1919219.693888219,5481884.225899372,0,4495715.698259846
Argentina,ARG,1,2038,1929740.4401125298,5486469.915082572,0,4574145.056822995
Argentina,ARG,1,2039,1939910.3176094126,5492811.552066778,0,4648307.818426672
Argentina,ARG,1,2040,1949703.8440462737,5500708.533652084,0,4718439.702601882
Argentina,ARG,1,2041,1959150.8066872542,5509976.463252187,0,4784767.844438195
Argentina,ARG,1,2042,1977246.3166153466,5553151.58363625,0,4874041.074105369
Argentina,ARG,1,2043,1977592.3591052669,5532024.047453654,0,4906873.581514018
Argentina,ARG,1,2044,1985985.6474813365,5544610.9404768525,0,4963046.292786117
Argentina,ARG,1,2045,1994199.1679790523,5557991.714044693,0,5016228.860588721
Argentina,ARG,1,2046,2002182.8376926663,5572078.0047901245,0,5066603.605464437
Argentina,ARG,1,2047,2009944.7955415265,5586773.605762211,0,5114335.615918681
Argentina,ARG,1,2048,2026711.6238040375,5635161.649043679,0,5187960.912143202
Argentina,ARG,1,2049,2025386.1565249073,5617664.208176699,0,5202509.929982074
Argentina,ARG,1,2050,2032413.2498141315,5633810.753006559,0,5243242.376047884
Argentina,ARG,1,2051,2039358.6495221443,5650246.094941401,0,5281936.801301433
Argentina,ARG,1,2052,2046150.4039318291,5666937.988624385,0,5318713.562827742
Argentina,ARG,1,2053,2062179.093547027,5717478.173160045,0,5383223.335509358
Argentina,ARG,1,2054,2059857.7646696297,5700867.12753059,0,5387022.751225455
Bolivia,BOL,1,2025,794419.598676476,2305444.5005515097,0,400616.3589530753
Bolivia,BOL,1,2026,726739.9758143203,1994338.2179571968,0,417438.7779275656
Bolivia,BOL,1,2027,737293.8106545397,1999483.62309036,0,471839.2533947456
Bolivia,BOL,1,2028,748652.4425491972,2006426.552556031,0,522826.1641444416
Bolivia,BOL,1,2029,760100.856057161,2015085.1720503718,0,570598.5234216097
Bolivia,BOL,1,2030,771571.735251825,2025363.2739977846,0,615385.9087334374
Bolivia,BOL,1,2031,786533.7056629191,2049219.3429770004,0,660708.6458575557
Bolivia,BOL,1,2032,794628.6916204637,2050361.0931312747,0,696862.8092991188
Bolivia,BOL,1,2033,805895.0672590851,2064920.3368419977,0,733945.9391463053
Bolivia,BOL,1,2034,817112.7586934175,2080666.196346566,0,768837.6772330994
Bolivia,BOL,1,2035,828240.9722733452,2097518.434983081,0,801707.6759913965
Bolivia,BOL,1,2036,843049.5215473585,2127898.682392354,0,837034.7063917428
Bolivia,BOL,1,2037,850452.1685047736,2134157.2890062635,0,861997.2072397982
Bolivia,BOL,1,2038,861241.9355581482,2153823.511911907,0,889695.0434010021
Bolivia,BOL,1,2039,871982.3152145563,2174251.439497619,0,915940.3869393724
Bolivia,BOL,1,2040,882651.6339574223,2195368.849745149,0,940851.7819796081
Bolivia,BOL,1,2041,893255.3556420915,2217119.621943209,0,964543.9535765287
Bolivia,BOL,1,2042,907867.9810074181,2252708.179007686,0,992330.0292412648
Bolivia,BOL,1,2043,914539.4115382063,2262296.840441027,0,1008672.2513862702
Bolivia,BOL,1,2044,924915.3459281407,2285683.058645522,0,1029295.2766436941
Bolivia,BOL,1,2045,935294.6624724711,2309494.2614582134,0,1049072.9711236395
Bolivia,BOL,1,2046,945647.2948999092,2333698.3090615305,0,1068083.8938287075
Bolivia,BOL,1,2047,955989.7165200288,2358263.132460414,0,1086396.9774994354
Bolivia,BOL,1,2048,970676.887707023,2397276.221829742,0,1109961.2546130647
Bolivia,BOL,1,2049,976921.2996812114,2408378.9753158004,0,1121206.0918710416
Bolivia,BOL,1,2050,987176.4855090404,2433921.8264756673,0,1137816.19707271
Bolivia,BOL,1,2051,997489.9965521977,2459729.3220232246,0,1153971.551405016
Bolivia,BOL,1,2052,1007823.3888153302,2485785.3520476012,0,1169726.345604388
Bolivia,BOL,1,2053,1022779.2427927377,2526948.739874885,0,1191456.0940077903
Bolivia,BOL,1,2054,1028873.355611313,2538578.9571274817,0,1200207.130484981
Brazil,BRA,1,2025,8305118.117250803,27436808.441825468,0,14851149.46543989
Brazil,BRA,1,2026,7530800.647123344,23553163.536852363,0,13972353.16751832
Brazil,BRA,1,2027,7587672.117497307,23429942.925010204,0,14797150.311864227
Brazil,BRA,1,2028,7647111.900919404,23327161.904936805,0,15568217.917946517
Brazil,BRA,1,2029,7703467.633250936,23242836.57722932,0,16288111.032318888
Brazil,BRA,1,2030,7756757.467192511,23175130.98773827,0,16959728.47589335
Brazil,BRA,1,2031,7842544.957128642,23259260.88483435,0,17679189.017778497
Brazil,BRA,1,2032,7856162.481897268,23082885.354341406,0,18169327.41219174
Brazil,BRA,1,2033,7900145.67250859,23055593.94492535,0,18712491.951711133
Brazil,BRA,1,2034,7941679.965242623,23038757.741984,0,19217902.369679395
Brazil,BRA,1,2035,7980623.277368724,23031141.365109265,0,19687835.29849277
Brazil,BRA,1,2036,8053622.330627146,23168016.7300935,0,20233017.24268295
