country,country_code,vacc_program,year,age1,age2,age3,age4
Australia,AUS,1,2025,944032.9754236278,2995706.5674366965,0,2987337.842681591
Australia,AUS,1,2026,866893.9426006111,2578787.484511001,0,2680558.8288842514
Australia,AUS,1,2027,880006.3733838452,2573974.9877508758,0,2746333.632165528
Australia,AUS,1,2028,891982.450047155,2572235.2460302846,0,2808541.909157066
Australia,AUS,1,2029,902425.2975350813,2572972.832248873,0,2867294.7027035095
Australia,AUS,1,2030,911601.2928044576,2575722.7456776765,0,2922755.5704823835
Australia,AUS,1,2031,923913.8815514714,2595377.823951846,0,2991449.019746675
Australia,AUS,1,2032,927232.7886739777,2585776.4460733393,0,3024455.92869068
Australia,AUS,1,2033,933712.6850741608,2592550.9326578653,0,3071009.776610445
Australia,AUS,1,2034,939622.51734426,2600151.2761717774,0,3114902.7982895286
Australia,AUS,1,2035,945025.6563321482,2608409.0333858957,0,3156282.3794317474
Australia,AUS,1,2036,954331.1183822736,2632669.0563133825,0,3212966.501436315
Australia,AUS,1,2037,954831.0880002922,2626319.630105808,0,3232038.641306791
Australia,AUS,1,2038,959036.0855934445,2635803.9424837474,0,3266667.7691232804
Australia,AUS,1,2039,962999.3819245559,2645480.751108177,0,3299301.9031055784
Australia,AUS,1,2040,966721.4471464661,2655285.8356018267,0,3330053.4341563466
Australia,AUS,1,2041,970231.937587504,2665155.0580109605,0,3359028.930131943
Australia,AUS,1,2042,978003.0540889484,2690896.28296299,0,3405165.6986537524
Australia,AUS,1,2043,976951.6770244285,2684933.6734298924,0,3412069.587935474
Australia,AUS,1,2044,979877.9717892776,2694810.8286950067,0,3436322.6466032467
Australia,AUS,1,2045,982701.0494554926,2704607.8958964697,0,3459192.3515203767
Australia,AUS,1,2046,985407.087601546,2714308.756252345,0,3480761.727819605
Australia,AUS,1,2047,988001.1813943542,2723881.3407673314,0,3501104.9966570204
Australia,AUS,1,2048,995024.4098495994,2749510.615711624,0,3539940.3913769214
Australia,AUS,1,2049,993143.0429763284,2742625.7340292805,0,3538424.2982713454
Australia,AUS,1,2050,995376.2668103878,2751813.404825817,0,3555529.172897879
Australia,AUS,1,2051,997566.9812286868,2760824.782501551,0,3571696.5755309453
Australia,AUS,1,2052,999692.0804391968,2769659.780934732,0,3586979.7699375274
Australia,AUS,1,2053,1006335.4448939214,2794777.84871459,0,3621561.7248157416
Australia,AUS,1,2054,1004002.319193154,2786808.7448340943,0,3615123.7414919236
Fiji,FJI,1,2025,53308.09630590375,161816.9938512391,0,38129.34497624214
Fiji,FJI,1,2026,48508.15799957515,139620.35113012145,0,37720.56745412805
Fiji,FJI,1,2027,49005.47064291467,139596.18287381117,0,41205.902941896704
Fiji,FJI,1,2028,49540.63267075589,139676.35524667497,0,44430.42409638662
Fiji,FJI,1,2029,50075.325965035634,139852.73454240293,0,47417.59259542875
Fiji,FJI,1,2030,50601.307575279796,140125.3207165161,0,50182.948571924484
Fiji,FJI,1,2031,51349.801935614574,141301.83385378146,0,53008.11037348583
Fiji,FJI,1,2032,51640.21066745939,140894.98020699638,0,55112.479837703264
Fiji,FJI,1,2033,52133.62594441319,141400.06191113344,0,57311.10905470757
Fiji,FJI,1,2034,52617.67462200733,141953.25147737053,0,59349.53001770518
Fiji,FJI,1,2035,53087.87821132197,142570.57896452595,0,61241.07088632795
Fiji,FJI,1,2036,53792.34393252912,144092.2245399849,0,63327.78222750991
Fiji,FJI,1,2037,54016.19369584823,143949.54877751227,0,64631.74419367831
Fiji,FJI,1,2038,54454.34491473714,144711.18206206185,0,66149.20011549648
Fiji,FJI,1,2039,54883.375083807274,145504.888823522,0,67562.6797764949
Fiji,FJI,1,2040,55304.20309963634,146330.6645463453,0,68885.46823547753
Fiji,FJI,1,2041,55716.8528323048,147172.47474861366,0,70120.1499470591
Fiji,FJI,1,2042,56372.960961323995,148914.92284363773,0,71651.77686314154
Fiji,FJI,1,2043,56527.289223538035,148928.254989661,0,72357.42312501837
Fiji,FJI,1,2044,56910.711509534296,149842.21567490976,0,73375.8383551148
Fiji,FJI,1,2045,57290.57458246851,150764.1982733653,0,74332.90674178844
Fiji,FJI,1,2046,57667.68855269943,151702.2153536861,0,75236.66646043207
Fiji,FJI,1,2047,58036.61336923546,152648.24967374155,0,76089.85766886604
Fiji,FJI,1,2048,58665.23111039359,154511.8335644366,0,77307.21089332835
Fiji,FJI,1,2049,58776.44756376153,154564.37488805462,0,77665.86836357736
Fiji,FJI,1,2050,59129.76558494572,155526.43883501424,0,78396.21141733137
Fiji,FJI,1,2051,59485.1653678454,156496.5248722302,0,79094.82802050722
Fiji,FJI,1,2052,59837.83000278474,157474.62815161282,0,79766.93140240095
Fiji,FJI,1,2053,60458.388978454066,159390.9848361017,0,80839.11339646968
Fiji,FJI,1,2054,60545.03277902933,159422.82247762545,0,81028.57975014052
