country,country_code,vacc_program,year,age1,age2,age3,age4
Bahamas,BHS,1,2025,14000.44972888709,50453.57563001196,0,28597.781895961652
Bahamas,BHS,1,2026,12636.970991578946,43084.68371939553,0,26985.494486478336
Bahamas,BHS,1,2027,12688.118749281779,42627.66498795446,0,28637.439691152766
Bahamas,BHS,1,2028,12745.558824431786,42218.78574467744,0,30175.594143977985
Bahamas,BHS,1,2029,12800.189585558639,41841.97547069341,0,31604.31900683856
Bahamas,BHS,1,2030,12907.831697070056,41742.95363108621,0,33102.87749750813
Bahamas,BHS,1,2031,12895.832636257133,41192.580338610234,0,34157.29812850367
Bahamas,BHS,1,2032,12933.492942004497,40911.97564572836,0,35289.302219239806
Bahamas,BHS,1,2033,12968.813582762456,40663.44120912482,0,36338.76544483547
Bahamas,BHS,1,2034,12998.56135427881,40430.94125254455,0,37307.95749550825
Bahamas,BHS,1,2035,13022.831975080831,40222.4930155301,0,38196.99745309253
Bahamas,BHS,1,2036,13104.01115095239,40275.175913469764,0,39227.657982162375
Bahamas,BHS,1,2037,13060.750558324256,39869.73571561885,0,39766.94446050794
Bahamas,BHS,1,2038,13073.73227395272,39717.4069026342,0,40452.95548975251
Bahamas,BHS,1,2039,13081.552326605157,39573.096583952465,0,41083.09158204291
Bahamas,BHS,1,2040,13086.682366832541,39444.820745380806,0,41657.154527431565
Bahamas,BHS,1,2041,13146.214252200067,39565.48119085175,0,42410.93919580896
Bahamas,BHS,1,2042,13089.04471281689,39220.339262080364,0,42653.0262183295
Bahamas,BHS,1,2043,13085.52573307671,39116.11390887919,0,43080.23375900802
Bahamas,BHS,1,2044,13079.638328640433,39011.88978918187,0,43464.72613663475
Bahamas,BHS,1,2045,13068.250469333743,38915.68290981304,0,43806.51932515405
Bahamas,BHS,1,2046,13054.167696211352,38835.51051018535,0,44113.62789096432
Bahamas,BHS,1,2047,13099.942827341707,38984.821869271604,0,44624.938918945394
Bahamas,BHS,1,2048,13023.653527721139,38675.16692795896,0,44615.805958766454
Bahamas,BHS,1,2049,13000.978711334707,38594.99331110911,0,44824.16272663189
Bahamas,BHS,1,2050,12978.718167846828,38522.838150680545,0,45003.12443287136
Bahamas,BHS,1,2051,12956.47599654955,38450.68299062049,0,45155.533656453415
Bahamas,BHS,1,2052,12990.781296667677,38597.715652679566,0,45531.40492165726
Bahamas,BHS,1,2053,12909.506167776526,38298.35663599527,0,45385.666773943216
Bahamas,BHS,1,2054,12878.574455155098,38218.18303081588,0,45468.715581359604
Belize,BLZ,1,2025,21617.659289799118,70057.91643659778,0,17269.38619087817
Belize,BLZ,1,2026,19953.690175202097,60209.52265215122,0,17450.30738820196
Belize,BLZ,1,2027,20368.032466036897,60017.05863399403,0,19397.91128574466
Belize,BLZ,1,2028,20767.006455162427,59920.85174643177,0,21243.051461969484
Belize,BLZ,1,2029,21141.79534631178,59912.8345160381,0,22983.89819085207
Belize,BLZ,1,2030,21594.364218873867,60332.11683542253,0,24751.265640432666
Belize,BLZ,1,2031,21840.810826727666,60105.25018062737,0,26179.69951031056
Belize,BLZ,1,2032,22166.402333969178,60297.66205951005,0,27645.15059440508
Belize,BLZ,1,2033,22476.31493362338,60530.1620246292,0,29033.255419417088
Belize,BLZ,1,2034,22778.216133379192,60818.782669725166,0,30346.503680963062
Belize,BLZ,1,2035,23066.490703991156,61139.472274190644,0,31587.643340349543
Belize,BLZ,1,2036,23454.95427560644,61856.34759630977,0,32938.05868343096
Belize,BLZ,1,2037,23627.600960790824,61877.06030464829,0,33877.72069540847
Belize,BLZ,1,2038,23890.73207567357,62301.97208531736,0,34931.8887563803
Belize,BLZ,1,2039,24152.01149619858,62742.92028683196,0,35935.405533571626
Belize,BLZ,1,2040,24404.971200324897,63207.920209067146,0,36888.111423856135
Belize,BLZ,1,2041,24767.024087511796,64058.014216562435,0,37992.98155296382
Belize,BLZ,1,2042,24906.4110398232,64178.00826740311,0,38652.29949444994
Belize,BLZ,1,2043,25147.812579430727,64691.10961450485,0,39471.61005755201
Belize,BLZ,1,2044,25384.456684363333,65220.247454684446,0,40250.82602750986
Belize,BLZ,1,2045,25618.441539027073,65757.40253532838,0,40998.1258600968
Belize,BLZ,1,2046,25849.74985877316,66302.57485590149,0,41708.079393121065
Belize,BLZ,1,2047,26199.371267575712,67251.64051063584,0,42618.39934888804
Belize,BLZ,1,2048,26315.90968748014,67408.95609317391,0,43045.6454982935
Belize,BLZ,1,2049,26538.10322171721,67970.1607781007,0,43675.64170042026
Belize,BLZ,1,2050,26761.289440326505,68539.38481723116,0,44284.448288035186
Belize,BLZ,1,2051,26981.723567995054,69116.62609734673,0,44866.542256162684
Belize,BLZ,1,2052,27328.41075993439,70114.6135732677,0,45677.16117863156
Belize,BLZ,1,2053,27431.589105522253,70287.14534405124,0,45977.5423051958
Belize,BLZ,1,2054,27648.320180047624,70872.4016580267,0,46503.53072704914
Canada,CAN,1,2025,1168569.0151113672,3793936.317221197,0,5103471.645363797
Canada,CAN,1,2026,1075135.9701365181,3261183.4538932294,0,4523978.848153035
Canada,CAN,1,2027,1091763.6385327554,3250894.6120806024,0,4589525.238133731
Canada,CAN,1,2028,1106089.9957039228,3244793.4915502397,0,4650389.83715476
