country,country_code,vacc_program,year,age1,age2,age3,age4
Bangladesh,BGD,1,2025,8822256.443165518,27700182.044511955,0,8318614.464195081
Bangladesh,BGD,1,2026,8126660.659076636,23848013.81842066,0,8189608.406699348
Bangladesh,BGD,1,2027,8280395.687172935,23810328.925585598,0,8948145.912958803
Bangladesh,BGD,1,2028,8430816.09795472,23806472.62949241,0,9663424.243769113
Bangladesh,BGD,1,2029,8572621.699740909,23832143.835341737,0,10337444.924665792
Bangladesh,BGD,1,2030,8746135.586210076,24025086.046467338,0,11029006.480846643
Bangladesh,BGD,1,2031,8837248.949267363,23957830.864954416,0,11571297.2870248
Bangladesh,BGD,1,2032,8959097.345456522,24052249.150459193,0,12135679.73402819
Bangladesh,BGD,1,2033,9076449.308067286,24164041.546680808,0,12667989.640210385
Bangladesh,BGD,1,2034,9189586.514563572,24291090.750676446,0,13170254.479862906
Bangladesh,BGD,1,2035,9298991.289792057,24431544.779719703,0,13644415.355481027
Bangladesh,BGD,1,2036,9447509.795817785,24729329.04228291,0,14167083.598836204
Bangladesh,BGD,1,2037,9510608.050990451,24746318.43594151,0,14515742.094728895
Bangladesh,BGD,1,2038,9610356.699237244,24918343.57892191,0,14916254.337057665
Bangladesh,BGD,1,2039,9708104.891136955,25098194.32426622,0,15295501.673824595
Bangladesh,BGD,1,2040,9803759.79258334,25284899.81002909,0,15654938.67599897
Bangladesh,BGD,1,2041,9942261.330628408,25628439.687606275,0,16081893.777375117
Bangladesh,BGD,1,2042,9992139.219444895,25675468.480875175,0,16319919.940719914
Bangladesh,BGD,1,2043,10081855.085145583,25878311.864773817,0,16627949.417328063
Bangladesh,BGD,1,2044,10170582.281610942,26084956.225650776,0,16921307.33580013
Bangladesh,BGD,1,2045,10258096.982482482,26294887.655232187,0,17201061.27541702
Bangladesh,BGD,1,2046,10344508.134516755,26507649.17047378,0,17468239.936426125
Bangladesh,BGD,1,2047,10477141.069058781,26881075.08294449,0,17819799.686493002
Bangladesh,BGD,1,2048,10517203.156478927,26940091.92468598,0,17968715.401865035
Bangladesh,BGD,1,2049,10600098.600395354,27159563.024313215,0,18203696.1451092
Bangladesh,BGD,1,2050,10682727.945626287,27380389.88241896,0,18429639.85519574
Bangladesh,BGD,1,2051,10764783.446777405,27602363.20621747,0,18647270.57470556
Bangladesh,BGD,1,2052,10895480.728895659,27990045.682018336,0,18959798.749258317
Bangladesh,BGD,1,2053,10930350.210387655,28048996.50977581,0,19060345.124750156
Bangladesh,BGD,1,2054,11010218.149684297,28273847.142476372,0,19256974.801408228
Brunei,BRN,1,2025,17832.249422744182,61253.127309551004,0,23717.57211637616
Brunei,BRN,1,2026,16127.148715828434,52448.8278549097,0,23217.432311572462
Brunei,BRN,1,2027,16226.051463384469,52039.90475502691,0,25236.593071831754
Brunei,BRN,1,2028,16339.13004253215,51679.128950674945,0,27110.085280957304
Brunei,BRN,1,2029,16446.394379328685,51366.45659833983,0,28852.884019622223
Brunei,BRN,1,2030,16626.08969294008,51396.41492101026,0,30624.2872191124
Brunei,BRN,1,2031,16655.515318722744,50853.35485176973,0,31964.141392535363
Brunei,BRN,1,2032,16750.969039179738,50660.93949685678,0,33351.340314115165
Brunei,BRN,1,2033,16844.149328706793,50500.59470090266,0,34631.70167469948
Brunei,BRN,1,2034,16931.750785431104,50364.301625027256,0,35815.999277452
Brunei,BRN,1,2035,17011.017394195445,50260.077508624054,0,36912.05866782196
Brunei,BRN,1,2036,17162.73979980609,50468.97296883422,0,38127.15359064999
Brunei,BRN,1,2037,17159.13404405097,50099.734290462315,0,38858.485585263305
Brunei,BRN,1,2038,17221.413267827455,50051.629277135486,0,39719.45845782112
Brunei,BRN,1,2039,17278.782430768348,50019.56031840511,0,40508.34507471165
Brunei,BRN,1,2040,17336.12647997559,49995.50859998301,0,41233.06876548779
Brunei,BRN,1,2041,17467.28596133459,50291.54929564815,0,42127.698465659516
Brunei,BRN,1,2042,17437.418471369398,50003.52741529816,0,42514.583459116555
Brunei,BRN,1,2043,17480.52919285121,50011.54308370067,0,43073.780571007024
Brunei,BRN,1,2044,17515.853087478514,50035.59480386727,0,43585.02743383409
Brunei,BRN,1,2045,17551.2975001535,50059.646524133284,0,44056.252634538294
Brunei,BRN,1,2046,17578.38370954985,50091.71548452357,0,44484.65862854352
Brunei,BRN,1,2047,17683.3174835221,50428.64941702837,0,45116.88843184707
Brunei,BRN,1,2048,17630.511563229848,50171.889462507745,0,45224.03243953122
Brunei,BRN,1,2049,17648.9008099672,50211.97408488568,0,45542.997866341466
Brunei,BRN,1,2050,17667.866110992447,50252.060284027844,0,45832.62641539833
Brunei,BRN,1,2051,17681.32083421187,50300.1637237913,0,46092.999909003374
Brunei,BRN,1,2052,17773.070311547315,50638.33195000797,0,46576.81588479553
Brunei,BRN,1,2053,17706.113548307254,50388.354947899716,0,46536.45215385203
Brunei,BRN,1,2054,17713.598865078744,50420.42232303909,0,46724.693738696405
Bhutan,BTN,1,2025,28381.296037551772,110528.40133878829,0,37575.759709736645
Bhutan,BTN,1,2026,25730.14858838915,93970.14846948898,0,37319.10949776615
Bhutan,BTN,1,2027,25916.59574486637,92607.13899675748,0,40923.15861421766
Bhutan,BTN,1,2028,26107.997340365837,91388.5185165774,0,44262.29335255755
Bhutan,BTN,1,2029,26285.602540165622,90290.15665483575,0,47353.039446005285
Bhutan,BTN,1,2030,26572.24508552689,89824.7715227437,0,50467.71122282884
Bhutan,BTN,1,2031,26605.57697448806,88390.07359144442,0,52850.23136166897
Bhutan,BTN,1,2032,26741.18342404618,87588.34682030173,0,55283.11604257892
Bhutan,BTN,1,2033,26866.524322994326,86858.77799136455,0,57526.31316288072
Bhutan,BTN,1,2034,26975.272649717484,86201.36432207433,0,59587.567886972094
Bhutan,BTN,1,2035,27073.182691235743,85616.10581137786,0,61483.26673801664
Bhutan,BTN,1,2036,27283.756373111,85590.79734234812,0,63555.81675391505
Bhutan,BTN,1,2037,27244.935327776748,84613.9534913621,0,64814.840261825
Bhutan,BTN,1,2038,27309.032434445802,84189.03711453547,0,66271.96970762001
Bhutan,BTN,1,2039,27368.572409986198,83804.20959922994,0,67600.97178928433
Bhutan,BTN,1,2040,27417.03153869797,83451.45104433851,0,68809.71832965719
Bhutan,BTN,1,2041,27579.83176938888,83631.07214763697,0,70286.96233846051
Bhutan,BTN,1,2042,27492.874548852305,82858.17790042066,0,70912.1718841718
Bhutan,BTN,1,2043,27513.16254958552,82601.62361643492,0,71816.26213476816
Bhutan,BTN,1,2044,27526.12392714086,82361.10641816852,0,72629.64066437307
Bhutan,BTN,1,2045,27536.400059373987,82136.62370048724,0,73362.9904110288
Bhutan,BTN,1,2046,27538.33850462287,81928.17546261127,0,74016.10443294025
Bhutan,BTN,1,2047,27657.935010638404,82227.8121266945,0,75004.01611324488
Bhutan,BTN,1,2048,27529.43836862707,81559.38499220506,0,75119.70730312982
Bhutan,BTN,1,2049,27514.165613724406,81391.0203875675,0,75575.13756309729
Bhutan,BTN,1,2050,27494.291321960583,81238.69282747444,0,75977.43346534917
Bhutan,BTN,1,2051,27471.711487670156,81094.38250802596,0,76328.95381064648
Bhutan,BTN,1,2052,27566.415645552475,81429.4055586319,0,77049.48157806846
Bhutan,BTN,1,2053,27413.57797411896,80805.76441164628,0,76887.90142104094
Bhutan,BTN,1,2054,27379.270742361885,80669.46878978996,0,77103.2727548102
China,CHN,1,2025,32103272.455437396,154572405.93513203,0,136368413.18163678
China,CHN,1,2026,28891638.81426652,130169556.59236708,0,123733208.54417132
China,CHN,1,2027,28911050.49731545,127045120.91594079,0,127646467.61311689
China,CHN,1,2028,28931341.59346797,124138390.39218174,0,131279564.29087994
China,CHN,1,2029,28933606.546076838,121430639.76887487,0,134641743.7778761
China,CHN,1,2030,29052542.084894672,119609078.39344017,0,138489855.23782888
China,CHN,1,2031,28897903.114435107,116546132.01862064,0,140601036.82938293
China,CHN,1,2032,28855125.13918,114341098.74214008,0,143221407.23785022
China,CHN,1,2033,28801704.96111238,112275849.72255872,0,145617733.93836263
China,CHN,1,2034,28737829.389797397,110338756.2834665,0,147800865.88706434
China,CHN,1,2035,28664374.834617227,108519203.59834553,0,149781390.40780073
China,CHN,1,2036,28713607.64124836,107439878.45288806,0,152399700.67059445
China,CHN,1,2037,28497887.641576327,105194521.6619207,0,153175330.86418244
China,CHN,1,2038,28398145.581675746,103673327.24006426,0,154607839.93517825
China,CHN,1,2039,28292475.771500766,102234970.25885347,0,155876613.842287
China,CHN,1,2040,28180514.154301435,100872592.66093147,0,156990344.50766525
China,CHN,1,2041,28191988.489914,100169515.69045903,0,158828349.29097834
China,CHN,1,2042,27945544.192886546,98350997.42627357,0,158786187.1048164
China,CHN,1,2043,27815333.477402095,97181695.9148454,0,159483870.66453493
China,CHN,1,2044,27681411.76017857,96065712.14935358,0,160058300.9997773
China,CHN,1,2045,27543252.95611667,94998617.51356986,0,160516485.998498
China,CHN,1,2046,27401133.768159308,93976291.1452896,0,160865183.1083402
China,CHN,1,2047,27381068.301130157,93545628.35880315,0,162003894.87571895
China,CHN,1,2048,27112155.05891689,92051186.37535818,0,161259842.42252797
China,CHN,1,2049,26957931.51856459,91142798.11844149,0,161317601.44183192
China,CHN,1,2050,26801786.820818126,90265583.79113866,0,161290107.41064203
China,CHN,1,2051,26643107.432599057,89416910.83870786,0,161182600.5542789
China,CHN,1,2052,26604344.348720416,89118972.01946361,0,161895302.84783024
China,CHN,1,2053,26324829.457455173,87795771.56698854,0,160747680.6295705
China,CHN,1,2054,26157863.353076026,87020108.85100257,0,160429428.43668342
Hong Kong SAR China,HKG,1,2025,126854.52771802257,562819.9346943318,0,1098430.689641646
Hong Kong SAR China,HKG,1,2026,111993.22252330866,475807.55663912965,0,970880.6986153553
Hong Kong SAR China,HKG,1,2027,110529.87746514482,465785.60731524363,0,982856.7604880402
Hong Kong SAR China,HKG,1,2028,109316.41901055988,456156.902087177,0,993769.9127254168
Hong Kong SAR China,HKG,1,2029,108236.09764136602,446929.05894394807,0,1003652.9854965198
Hong Kong SAR China,HKG,1,2030,107756.97567140267,440712.36118607287,0,1018188.3875979605
Hong Kong SAR China,HKG,1,2031,106387.108495201,429700.0239376368,0,1020496.2800944739
Hong Kong SAR China,HKG,1,2032,105539.8892902278,421674.7532046289,0,1027538.0705732341
Hong Kong SAR China,HKG,1,2033,104743.59170969564,414018.28907625406,0,1033714.5654685858
Hong Kong SAR China,HKG,1,2034,103984.33114446579,406714.5835066071,0,1039065.5127632631
Hong Kong SAR China,HKG,1,2035,103245.86713201158,399739.5847724156,0,1043628.3459821523
Hong Kong SAR China,HKG,1,2036,102997.49535250409,395412.8695295007,0,1053308.5398996559
Hong Kong SAR China,HKG,1,2037,101838.00671866658,386743.65106221644,0,1050527.1327605476
Hong Kong SAR China,HKG,1,2038,101127.51679109508,380682.60546757956,0,1052934.1343355025
Hong Kong SAR China,HKG,1,2039,100425.22327399804,374902.17547370365,0,1054687.2894234897
